i,t,capcost,fom,vom,conversionrate
dac,2020,8151254,304912,46.69,0.2273
dac,2021,8151254,304912,46.69,0.2273
dac,2022,8151254,304912,46.69,0.2273
dac,2023,8151254,304912,46.69,0.2273
dac,2024,8151254,304912,46.69,0.2273
dac,2025,8151254,304912,46.69,0.2273
dac,2026,8151254,304912,46.69,0.2273
dac,2027,8151254,304912,46.69,0.2273
dac,2028,8151254,304912,46.69,0.2273
dac,2029,8151254,304912,46.69,0.2273
dac,2030,8151254,304912,46.69,0.2273
dac,2031,8151254,304912,46.69,0.2273
dac,2032,8151254,304912,46.69,0.2273
dac,2033,8151254,304912,46.69,0.2273
dac,2034,8151254,304912,46.69,0.2273
dac,2035,8151254,304912,46.69,0.2273
dac,2036,8151254,304912,46.69,0.2273
dac,2037,8151254,304912,46.69,0.2273
dac,2038,8151254,304912,46.69,0.2273
dac,2039,8151254,304912,46.69,0.2273
dac,2040,8151254,304912,46.69,0.2273
dac,2041,8151254,304912,46.69,0.2273
dac,2042,8151254,304912,46.69,0.2273
dac,2043,8151254,304912,46.69,0.2273
dac,2044,8151254,304912,46.69,0.2273
dac,2045,8151254,304912,46.69,0.2273
dac,2046,8151254,304912,46.69,0.2273
dac,2047,8151254,304912,46.69,0.2273
dac,2048,8151254,304912,46.69,0.2273
dac,2049,8151254,304912,46.69,0.2273
dac,2050,8151254,304912,46.69,0.2273
