*h2_st,rb
h2_storage_hardrock,p1
h2_storage_hardrock,p2
h2_storage_hardrock,p3
h2_storage_hardrock,p4
h2_storage_hardrock,p5
h2_storage_hardrock,p6
h2_storage_hardrock,p7
h2_storage_hardrock,p8
h2_storage_hardrock,p9
h2_storage_saltcavern,p10
h2_storage_hardrock,p11
h2_storage_undergroundpipe,p12
h2_storage_saltcavern,p13
h2_storage_hardrock,p14
h2_storage_hardrock,p15
h2_storage_saltcavern,p16
h2_storage_hardrock,p17
h2_storage_hardrock,p18
h2_storage_saltcavern,p19
h2_storage_saltcavern,p20
h2_storage_saltcavern,p21
h2_storage_saltcavern,p22
h2_storage_saltcavern,p23
h2_storage_hardrock,p24
h2_storage_saltcavern,p25
h2_storage_hardrock,p26
h2_storage_saltcavern,p27
h2_storage_saltcavern,p28
h2_storage_saltcavern,p29
h2_storage_undergroundpipe,p30
h2_storage_saltcavern,p31
h2_storage_saltcavern,p32
h2_storage_saltcavern,p33
h2_storage_saltcavern,p34
h2_storage_saltcavern,p35
h2_storage_saltcavern,p36
h2_storage_saltcavern,p37
h2_storage_saltcavern,p38
h2_storage_saltcavern,p39
h2_storage_undergroundpipe,p40
h2_storage_undergroundpipe,p41
h2_storage_hardrock,p42
h2_storage_hardrock,p43
h2_storage_hardrock,p44
h2_storage_undergroundpipe,p45
h2_storage_hardrock,p46
h2_storage_saltcavern,p47
h2_storage_saltcavern,p48
h2_storage_saltcavern,p49
h2_storage_saltcavern,p50
h2_storage_undergroundpipe,p51
h2_storage_saltcavern,p52
h2_storage_saltcavern,p53
h2_storage_undergroundpipe,p54
h2_storage_undergroundpipe,p55
h2_storage_undergroundpipe,p56
h2_storage_saltcavern,p57
h2_storage_saltcavern,p58
h2_storage_undergroundpipe,p59
h2_storage_saltcavern,p60
h2_storage_saltcavern,p61
h2_storage_saltcavern,p62
h2_storage_saltcavern,p63
h2_storage_saltcavern,p64
h2_storage_saltcavern,p65
h2_storage_saltcavern,p66
h2_storage_saltcavern,p67
h2_storage_hardrock,p68
h2_storage_undergroundpipe,p69
h2_storage_undergroundpipe,p70
h2_storage_undergroundpipe,p71
h2_storage_hardrock,p72
h2_storage_hardrock,p73
h2_storage_hardrock,p74
h2_storage_hardrock,p75
h2_storage_hardrock,p76
h2_storage_undergroundpipe,p77
h2_storage_undergroundpipe,p78
h2_storage_undergroundpipe,p79
h2_storage_undergroundpipe,p80
h2_storage_undergroundpipe,p81
h2_storage_undergroundpipe,p82
h2_storage_undergroundpipe,p83
h2_storage_undergroundpipe,p84
h2_storage_saltcavern,p85
h2_storage_saltcavern,p86
h2_storage_saltcavern,p87
h2_storage_undergroundpipe,p88
h2_storage_saltcavern,p89
h2_storage_saltcavern,p90
h2_storage_saltcavern,p91
h2_storage_undergroundpipe,p92
h2_storage_undergroundpipe,p93
h2_storage_hardrock,p94
h2_storage_hardrock,p95
h2_storage_hardrock,p96
h2_storage_hardrock,p97
h2_storage_hardrock,p98
h2_storage_hardrock,p99
h2_storage_hardrock,p100
h2_storage_saltcavern,p101
h2_storage_undergroundpipe,p102
h2_storage_saltcavern,p103
h2_storage_undergroundpipe,p104
h2_storage_undergroundpipe,p105
h2_storage_undergroundpipe,p106
h2_storage_undergroundpipe,p107
h2_storage_undergroundpipe,p108
h2_storage_undergroundpipe,p109
h2_storage_undergroundpipe,p110
h2_storage_saltcavern,p111
h2_storage_saltcavern,p112
h2_storage_undergroundpipe,p113
h2_storage_undergroundpipe,p114
h2_storage_saltcavern,p115
h2_storage_saltcavern,p116
h2_storage_undergroundpipe,p117
h2_storage_hardrock,p118
h2_storage_saltcavern,p119
h2_storage_saltcavern,p120
h2_storage_saltcavern,p121
h2_storage_saltcavern,p122
h2_storage_hardrock,p123
h2_storage_undergroundpipe,p124
h2_storage_hardrock,p125
h2_storage_hardrock,p126
h2_storage_saltcavern,p127
h2_storage_undergroundpipe,p128
h2_storage_hardrock,p129
h2_storage_hardrock,p130
h2_storage_hardrock,p131
h2_storage_hardrock,p132
h2_storage_hardrock,p133
h2_storage_hardrock,p134
