*r,rr,multiplier
p1,p2,1.64
p1,p3,1.452
p1,p4,1.563
p1,p5,1.48
p1,p6,1.435
p1,p7,1.457
p1,p8,1.453
p1,p9,1.75
p1,p10,1.545
p1,p11,1.444
p1,p12,1.446
p1,p13,1.289
p1,p14,1.444
p1,p15,1.434
p1,p16,1.322
p1,p17,1.519
p1,p18,1.511
p1,p19,1.416
p1,p20,1.461
p1,p21,1.359
p1,p22,1.434
p1,p23,1.427
p1,p24,1.321
p1,p25,1.31
p1,p26,1.335
p1,p27,1.292
p1,p28,1.283
p1,p29,1.326
p1,p30,1.267
p1,p31,1.319
p1,p32,1.352
p1,p33,1.315
p1,p34,1.309
p1,p35,1.412
p1,p36,1.34
p1,p37,1.296
p1,p38,1.272
p1,p39,1.313
p1,p40,1.269
p1,p41,1.259
p1,p42,1.27
p1,p43,1.255
p1,p44,1.268
p1,p45,1.252
p1,p46,1.238
p1,p47,1.302
p1,p48,1.225
p1,p49,1.252
p1,p50,1.229
p1,p51,1.227
p1,p52,1.265
p1,p53,1.236
p1,p54,1.243
p1,p55,1.226
p1,p56,1.216
p1,p57,1.222
p1,p58,1.195
p1,p59,1.298
p1,p60,1.273
p1,p61,1.287
p1,p62,1.276
p1,p63,1.248
p1,p64,1.315
p1,p65,1.315
p1,p66,1.216
p1,p67,1.28
p1,p68,1.252
p1,p69,1.232
p1,p70,1.239
p1,p71,1.233
p1,p72,1.219
p1,p73,1.23
p1,p74,1.258
p1,p75,1.227
p1,p76,1.226
p1,p77,1.237
p1,p78,1.23
p1,p79,1.222
p1,p80,1.207
p1,p81,1.218
p1,p82,1.212
p1,p83,1.201
p1,p84,1.228
p1,p85,1.214
p1,p86,1.215
p1,p87,1.206
p1,p88,1.227
p1,p89,1.266
p1,p90,1.235
p1,p91,1.249
p1,p92,1.232
p1,p93,1.204
p1,p94,1.286
p1,p95,1.317
p1,p96,1.351
p1,p97,1.327
p1,p98,1.347
p1,p99,1.361
p1,p100,1.465
p1,p101,1.317
p1,p102,1.333
p1,p103,1.187
p1,p104,1.197
p1,p105,1.21
p1,p106,1.19
p1,p107,1.194
p1,p108,1.193
p1,p109,1.209
p1,p110,1.27
p1,p111,1.242
p1,p112,1.242
p1,p113,1.222
p1,p114,1.239
p1,p115,1.323
p1,p116,1.296
p1,p117,1.322
p1,p118,1.32
p1,p119,1.406
p1,p120,1.458
p1,p121,1.455
p1,p122,1.523
p1,p123,1.498
p1,p124,1.534
p1,p125,1.517
p1,p126,1.52
p1,p127,1.44
p1,p128,1.597
p1,p129,1.474
p1,p130,1.559
p1,p131,1.57
p1,p132,1.51
p1,p133,1.553
p1,p134,1.627
p2,p1,1.64
p2,p3,1.302
p2,p4,1.409
p2,p5,1.742
p2,p6,1.423
p2,p7,1.368
p2,p8,1.364
p2,p9,1.726
p2,p10,1.577
p2,p11,1.458
p2,p12,1.387
p2,p13,1.281
p2,p14,1.348
p2,p15,1.349
p2,p16,1.249
p2,p17,1.504
p2,p18,1.499
p2,p19,1.394
p2,p20,1.444
p2,p21,1.312
p2,p22,1.417
p2,p23,1.41
p2,p24,1.277
p2,p25,1.244
p2,p26,1.285
p2,p27,1.285
p2,p28,1.276
p2,p29,1.288
p2,p30,1.259
p2,p31,1.283
p2,p32,1.329
p2,p33,1.274
p2,p34,1.27
p2,p35,1.391
p2,p36,1.316
p2,p37,1.272
p2,p38,1.247
p2,p39,1.271
p2,p40,1.217
p2,p41,1.236
p2,p42,1.245
p2,p43,1.232
p2,p44,1.244
p2,p45,1.228
p2,p46,1.215
p2,p47,1.269
p2,p48,1.19
p2,p49,1.214
p2,p50,1.194
p2,p51,1.192
p2,p52,1.227
p2,p53,1.199
p2,p54,1.187
p2,p55,1.175
p2,p56,1.182
p2,p57,1.192
p2,p58,1.167
p2,p59,1.267
p2,p60,1.241
p2,p61,1.258
p2,p62,1.245
p2,p63,1.218
p2,p64,1.291
p2,p65,1.291
p2,p66,1.188
p2,p67,1.256
p2,p68,1.228
p2,p69,1.209
p2,p70,1.216
p2,p71,1.211
p2,p72,1.198
p2,p73,1.209
p2,p74,1.238
p2,p75,1.205
p2,p76,1.204
p2,p77,1.214
p2,p78,1.208
p2,p79,1.201
p2,p80,1.186
p2,p81,1.196
p2,p82,1.19
p2,p83,1.18
p2,p84,1.176
p2,p85,1.182
p2,p86,1.186
p2,p87,1.177
p2,p88,1.179
p2,p89,1.223
p2,p90,1.21
p2,p91,1.226
p2,p92,1.214
p2,p93,1.186
p2,p94,1.255
p2,p95,1.306
p2,p96,1.313
p2,p97,1.317
p2,p98,1.338
p2,p99,1.353
p2,p100,1.46
p2,p101,1.301
p2,p102,1.319
p2,p103,1.167
p2,p104,1.177
p2,p105,1.19
p2,p106,1.169
p2,p107,1.174
p2,p108,1.173
p2,p109,1.19
p2,p110,1.256
p2,p111,1.226
p2,p112,1.226
p2,p113,1.204
