*r,t,fraction
p01033,2021,0.002865616
p01097,2021,0.016150083
p01125,2021,0.001387762
p05139,2021,0.011812987
p06029,2021,0.001804091
p06037,2021,0.040654494
p06083,2021,0.000346941
p06095,2021,0.029913215
p08031,2021,0.003833693
p12033,2021,0.00017347
p13245,2021,0.013492276
p17031,2021,0.021343783
p17091,2021,0.009020454
p17095,2021,0.014805683
p17119,2021,0.012247002
p18163,2021,0.001068577
p18167,2021,0.008500044
p19061,2021,0.005970034
p19169,2021,0.006089434
p19175,2021,0.000716404
p20057,2021,0.005014828
p20155,2021,0.00338267
p20173,2021,0.005238802
p21125,2021,0.000218573
p22017,2021,0.002869198
p22019,2021,0.028379737
p22033,2021,0.118988144
p22051,2021,0.073842795
p22055,2021,0.002879607
p26125,2021,0.004995944
p27053,2021,0.015359058
p27137,2021,0.001734703
p28049,2021,0.010618602
p28067,2021,0.000433676
p30013,2021,0.001214292
p30111,2021,0.006501666
p31043,2021,0.022089124
p31079,2021,0.000597003
p31109,2021,0.006089434
p32023,2021,0.00017347
p34011,2021,0.006598809
p35005,2021,0.003989816
p35031,2021,0.000902045
p36013,2021,0.002837974
p36061,2021,0.008895556
p38015,2021,0.002588177
p38057,2021,0.006447636
p38089,2021,0.000693881
p39003,2021,0.019074871
p39029,2021,0.000797963
p39087,2021,0.010130664
p39095,2021,0.012073531
p39151,2021,0.003469406
p40027,2021,0.002602054
p40047,2021,0.020059313
p40101,2021,0.004298424
p40119,2021,0.007601468
p40143,2021,0.02535827
p40147,2021,0.011620198
p40153,2021,0.007641643
p42045,2021,0.027824632
p47157,2021,0.006765341
p47163,2021,0.001074606
p48029,2021,0.000728575
p48039,2021,0.02251273
p48141,2021,0.004649003
p48167,2021,0.027807285
p48181,2021,0.003053077
p48201,2021,0.057609479
p48209,2021,0.000520411
p48245,2021,0.06363417
p48297,2021,0.003157159
p48329,2021,0.00256736
p48341,2021,0.006938811
p48355,2021,0.030097093
p48375,2021,0.012984528
p48423,2021,0.002602054
p49035,2021,0.007254527
p51760,2021,0.009910256
p53015,2021,0.00179101
p53029,2021,0.005169414
p53033,2021,0.00145715
p53057,2021,0.004336757
p53073,2021,0.011917408
p56007,2021,0.003122465
p56021,2021,0.005027909
p56025,2021,0.000884698
p56037,2021,0.003343219
p56041,2021,0.00011796
p56045,2021,0.00064184
p01015,2050,0.001620774
p01033,2050,0.002647873
p01069,2050,0.001374614
p01073,2050,0.001644351
p01089,2050,0.001932413
p01097,2050,0.006371734
p01101,2050,0.001626917
p01125,2050,0.002249521
p04003,2050,1.55E-05
p04005,2050,9.59E-05
p04007,2050,0.000279197
p04013,2050,0.010007961
p04015,2050,7.19E-05
p04019,2050,0.001391781
p04021,2050,6.31E-05
p04023,2050,1.62E-05
p04025,2050,0.000162575
p04027,2050,0.000261084
p05007,2050,3.45E-05
p05031,2050,8.38E-07
p05045,2050,1.35E-06
p05051,2050,3.20E-06
p05069,2050,0.000962707
p05115,2050,6.26E-07
p05119,2050,7.17E-05
p05131,2050,2.02E-05
p05139,2050,0.008028914
p06001,2050,0.010866914
p06007,2050,0.000204402
p06013,2050,0.003061649
p06019,2050,0.002101607
p06023,2050,9.13E-05
p06025,2050,0.000224533
p06029,2050,0.002698346
p06031,2050,6.25E-05
p06037,2050,0.060831026
p06039,2050,0.000182088
p06047,2050,0.000167383
p06053,2050,0.000571382
p06055,2050,0.000189996
p06057,2050,4.98E-05
p06059,2050,0.002557327
p06061,2050,5.33E-06
p06065,2050,0.008115048
p06067,2050,0.004432164
p06069,2050,6.60E-05
p06071,2050,0.000538002
p06073,2050,0.01225365
p06077,2050,0.00115029
p06079,2050,0.000370637
p06083,2050,0.001257439
p06085,2050,0.00765587
p06087,2050,0.000940196
p06089,2050,0.000189037
p06095,2050,0.009470243
p06097,2050,0.001899124
p06099,2050,0.000676266
p06101,2050,0.000235688
p06107,2050,0.00054265
p06111,2050,0.003536805
p06113,2050,0.000223823
p08013,2050,0.000428549
p08031,2050,0.009093877
p08041,2050,0.000679704
p08069,2050,0.00023961
p08077,2050,0.000165677
p08101,2050,4.59E-05
p08123,2050,0.000138347
p09110,2050,0.00174202
p09120,2050,0.001809242
p09140,2050,0.000137771
p09160,2050,1.06E-05
p09170,2050,0.001594925
p09180,2050,0.00011985
p09190,2050,0.000293227
p10001,2050,0.000287765
p12001,2050,9.19E-05
p12005,2050,0.001932245
p12009,2050,0.000330007
