input_dict,input_key,input_value
inputs,distloss,0.05
inputs,working_capital_days,45
inputs,FOM_capitalization_rate,0.5
inputs,trans_timeframe,40
inputs,eval_period_overwrite,0
inputs,financefile,capital_financing_assumptions.csv
inputs,dollar_year,2004
input_daproj,numslopeyears,10
input_daproj,numprojyears,10
input_daproj,current_t,2020
input_daproj,aggregation,best
input_daproj,drop_pgesce_20182019,1
input_daproj,cleanup,1
input_eval_periods,fom_capitalized,20
input_eval_periods,inv_investment_spurline_costs_rsc_technologies,20
input_eval_periods,inv_transmission_line_investment,30
input_eval_periods,inv_converter_costs,30
input_eval_periods,inv_substation_investment_costs,30
input_eval_periods,init_trans_capex,30
input_eval_periods,dist_capex,20
input_eval_periods,admin_capex,20
input_eval_periods,special_costs,15
input_depreciation_schedules,fom_capitalized,20
input_depreciation_schedules,nongen_capex,20
input_depreciation_schedules,init_trans_capex,20
input_depreciation_schedules,dist_capex,20
input_depreciation_schedules,admin_capex,20
