t,state,end_use_load
1960,AK,296391
1960,AL,15484637
1960,AR,5662057
1960,AZ,6137607
1960,CA,57270021
1960,CO,4837421
1960,CT,7385967
1960,DC,2653504
1960,DE,1719903
1960,FL,16806623
1960,GA,11990122
1960,HI,1284901
1960,IA,8208143
1960,ID,5573171
1960,IL,34000728
1960,IN,17497992
1960,KS,7018912
1960,KY,28167910
1960,LA,9859391
1960,MA,12381381
1960,MD,8756268
1960,ME,2781959
1960,MI,27599473
1960,MN,8821279
1960,MO,11429341
1960,MS,5371120
1960,MT,4574510
1960,NC,17236144
1960,ND,1152891
1960,NE,4065184
1960,NH,1586094
1960,NJ,17495698
1960,NM,3382797
1960,NV,2167289
1960,NY,46515828
1960,OH,57717585
1960,OK,6837832
1960,OR,13592708
1960,PA,39216957
1960,RI,1911464
1960,SC,11462963
1960,SD,1513969
1960,TN,38994257
1960,TX,35726253
1960,UT,3473838
1960,VA,11561185
1960,VT,874503
1960,WA,25950921
1960,WI,12586253
1960,WV,8762795
1960,WY,718622
1961,AK,344335
1961,AL,16008518
1961,AR,5496030
1961,AZ,6661970
1961,CA,62385922
1961,CO,5189850
1961,CT,7843269
1961,DC,2838668
1961,DE,1740025
1961,FL,18377852
1961,GA,12520473
1961,HI,1553828
1961,IA,8659446
1961,ID,6191636
1961,IL,35811159
1961,IN,18539224
1961,KS,7379858
1961,KY,28103413
1961,LA,10598911
1961,MA,13142944
1961,MD,9387434
1961,ME,2937099
1961,MI,28157098
1961,MN,9493449
1961,MO,11886970
1961,MS,5800386
1961,MT,4695340
1961,NC,18114090
1961,ND,1201114
1961,NE,4427269
1961,NH,1685657
1961,NJ,19081400
1961,NM,3638382
1961,NV,2660198
1961,NY,49120035
1961,OH,58467162
1961,OK,7217578
1961,OR,14220449
1961,PA,40754499
1961,RI,2067363
1961,SC,12746266
1961,SD,1640635
1961,TN,38826393
1961,TX,37437609
1961,UT,3737400
1961,VA,12603214
1961,VT,931364
1961,WA,26662112
1961,WI,13063305
1961,WV,9119169
1961,WY,782413
1962,AK,398247
1962,AL,17811947
1962,AR,6311664
1962,AZ,7302271
1962,CA,64910170
1962,CO,5491249
1962,CT,8440814
1962,DC,2929180
1962,DE,1894989
1962,FL,20872296
1962,GA,14067710
1962,HI,1820187
1962,IA,9210488
1962,ID,6420169
1962,IL,38727197
1962,IN,20232652
1962,KS,8041587
1962,KY,27394149
1962,LA,12449098
1962,MA,13870044
1962,MD,10093275
1962,ME,3121412
1962,MI,30818614
1962,MN,10244683
1962,MO,12950111
1962,MS,6676218
1962,MT,4944209
1962,NC,19740679
1962,ND,1290347
1962,NE,4789665
1962,NH,1809143
1962,NJ,20501784
1962,NM,3942698
1962,NV,2841099
1962,NY,55164571
1962,OH,61014843
1962,OK,8111639
1962,OR,15146681
1962,PA,43124800
