i,tech,color
biopower,biopower,#5B9844
beccs_mod,beccs_mod,#66C238
beccs_max,beccs_max,#99F56B
can-imports,canada,#193A71
csp-ns,csp-ns,#FC761A
distpv,distpv,#FEE603
geothermal,geothermal,#A96235
upv_1,upv,#FFC903
upv_2,upv,#FFC903
upv_3,upv,#FFC903
upv_4,upv,#FFC903
upv_5,upv,#FFC903
upv_6,upv,#FFC903
upv_7,upv,#FFC903
upv_8,upv,#FFC903
upv_9,upv,#FFC903
upv_10,upv,#FFC903
dupv_1,dupv,#FFC903
dupv_2,dupv,#FFC903
dupv_3,dupv,#FFC903
dupv_4,dupv,#FFC903
dupv_5,dupv,#FFC903
dupv_6,dupv,#FFC903
dupv_7,dupv,#FFC903
dupv_8,dupv,#FFC903
dupv_9,dupv,#FFC903
dupv_10,dupv,#FFC903
wind-ofs_1,wind-ofs,#106BA7
wind-ofs_2,wind-ofs,#106BA7
wind-ofs_3,wind-ofs,#106BA7
wind-ofs_4,wind-ofs,#106BA7
wind-ofs_5,wind-ofs,#106BA7
wind-ofs_6,wind-ofs,#106BA7
wind-ofs_7,wind-ofs,#106BA7
wind-ofs_8,wind-ofs,#106BA7
wind-ofs_9,wind-ofs,#106BA7
wind-ofs_10,wind-ofs,#106BA7
wind-ofs_11,wind-ofs,#106BA7
wind-ofs_12,wind-ofs,#106BA7
wind-ofs_13,wind-ofs,#106BA7
wind-ofs_14,wind-ofs,#106BA7
wind-ofs_15,wind-ofs,#106BA7
wind-ons_1,wind-ons,#00B6EF
wind-ons_2,wind-ons,#00B6EF
wind-ons_3,wind-ons,#00B6EF
wind-ons_4,wind-ons,#00B6EF
wind-ons_5,wind-ons,#00B6EF
wind-ons_6,wind-ons,#00B6EF
wind-ons_7,wind-ons,#00B6EF
wind-ons_8,wind-ons,#00B6EF
wind-ons_9,wind-ons,#00B6EF
wind-ons_10,wind-ons,#00B6EF
csp1_1,csp1,#FC761A
csp1_2,csp1,#FC761A
csp1_3,csp1,#FC761A
csp1_4,csp1,#FC761A
csp1_5,csp1,#FC761A
csp1_6,csp1,#FC761A
csp1_7,csp1,#FC761A
csp1_8,csp1,#FC761A
csp1_9,csp1,#FC761A
csp1_10,csp1,#FC761A
csp1_11,csp1,#FC761A
csp1_12,csp1,#FC761A
csp2_1,csp2,#FC761A
csp2_2,csp2,#FC761A
csp2_3,csp2,#FC761A
csp2_4,csp2,#FC761A
csp2_5,csp2,#FC761A
csp2_6,csp2,#FC761A
csp2_7,csp2,#FC761A
csp2_8,csp2,#FC761A
csp2_9,csp2,#FC761A
csp2_10,csp2,#FC761A
csp2_11,csp2,#FC761A
csp2_12,csp2,#FC761A
hydD,hydd,#187F94
hydND,hydnd,#187F94
hydSD,hydsd,#187F94
hydSND,hydsnd,#187F94
hydUD,hydud,#187F94
hydUND,hydund,#187F94
hydNPD,hyudnpd,#187F94
hydNPND,hydnpnd,#187F94
hydED,hyded,#187F94
hydEND,hydend,#187F94
deep-egs_pbinary_1,geothermal,#A96235
deep-egs_pbinary_2,geothermal,#A96235
deep-egs_pbinary_3,geothermal,#A96235
deep-egs_pbinary_4,geothermal,#A96235
deep-egs_pbinary_5,geothermal,#A96235
deep-egs_pbinary_6,geothermal,#A96235
deep-egs_pbinary_7,geothermal,#A96235
deep-egs_pbinary_8,geothermal,#A96235
deep-egs_pflash_1,geothermal,#A96235
deep-egs_pflash_2,geothermal,#A96235
deep-egs_pflash_3,geothermal,#A96235
deep-egs_pflash_4,geothermal,#A96235
deep-egs_pflash_5,geothermal,#A96235
deep-egs_pflash_6,geothermal,#A96235
deep-egs_pflash_7,geothermal,#A96235
deep-egs_pflash_8,geothermal,#A96235
geohydro_pbinary_1,geothermal,#A96235
geohydro_pbinary_2,geothermal,#A96235
geohydro_pbinary_3,geothermal,#A96235
geohydro_pbinary_4,geothermal,#A96235
geohydro_pbinary_5,geothermal,#A96235
geohydro_pbinary_6,geothermal,#A96235
geohydro_pbinary_7,geothermal,#A96235
geohydro_pbinary_8,geothermal,#A96235
geohydro_pflash_1,geothermal,#A96235
geohydro_pflash_2,geothermal,#A96235
geohydro_pflash_3,geothermal,#A96235
geohydro_pflash_4,geothermal,#A96235
geohydro_pflash_5,geothermal,#A96235
geohydro_pflash_6,geothermal,#A96235
geohydro_pflash_7,geothermal,#A96235
geohydro_pflash_8,geothermal,#A96235
NF-EGS_pbinary_1,geothermal,#A96235
NF-EGS_pbinary_2,geothermal,#A96235
NF-EGS_pbinary_3,geothermal,#A96235
NF-EGS_pbinary_4,geothermal,#A96235
NF-EGS_pbinary_5,geothermal,#A96235
NF-EGS_pbinary_6,geothermal,#A96235
NF-EGS_pbinary_7,geothermal,#A96235
NF-EGS_pbinary_8,geothermal,#A96235
NF-EGS_pflash_1,geothermal,#A96235
NF-EGS_pflash_2,geothermal,#A96235
NF-EGS_pflash_3,geothermal,#A96235
NF-EGS_pflash_4,geothermal,#A96235
NF-EGS_pflash_5,geothermal,#A96235
NF-EGS_pflash_6,geothermal,#A96235
NF-EGS_pflash_7,geothermal,#A96235
NF-EGS_pflash_8,geothermal,#A96235
undisc_pbinary_1,geothermal,#A96235
undisc_pbinary_2,geothermal,#A96235
undisc_pbinary_3,geothermal,#A96235
undisc_pbinary_4,geothermal,#A96235
undisc_pbinary_5,geothermal,#A96235
undisc_pbinary_6,geothermal,#A96235
undisc_pbinary_7,geothermal,#A96235
undisc_pbinary_8,geothermal,#A96235
undisc_pflash_1,geothermal,#A96235
undisc_pflash_2,geothermal,#A96235
undisc_pflash_3,geothermal,#A96235
undisc_pflash_4,geothermal,#A96235
undisc_pflash_5,geothermal,#A96235
undisc_pflash_6,geothermal,#A96235
undisc_pflash_7,geothermal,#A96235
undisc_pflash_8,geothermal,#A96235
Nuclear,nuclear,#820000
coal-CCS_mod,coal-ccs-90,#707685
coal-CCS_max,coal-ccs-98,#c6c8ce
Gas-CC-CCS_mod,gas-cc-ccs-90,#5E1688
Gas-CC-CCS_max,gas-cc-ccs-98,#70298D
lfill-gas,lfill-gas,#5B9844
Ocean,ocean,#187F94
hydro,hydro,#187F94
MHKwave,MHKwave,#187F94
CoalOldUns,coal,#222222
Coal-IGCC,coal,#222222
Gas-CC,gas-cc,#52216B
Gas-CT,gas-ct,#C2A1DB
battery_2,battery,#FF4A88
battery_4,battery,#FF4A88
battery_6,battery,#FF4A88
battery_8,battery,#FF4A88
battery_10,battery,#FF4A88
gas-CT,gas-ct,#C2A1DB
gas-CC,gas-cc,#52216B
pumped-hydro,phs,#FF4A88
nuclear,nuclear,#820000
wind-ons,wind-ons,#00B6EF
DUPV,dupv,#FFC903
coal-new,coal,#222222
UPV,upv,#FFC903
CoalOldScr,coal,#222222
coal-IGCC,coal,#222222
battery,battery,#FF4A88
o-g-s,o-g-s,#52216B
RE-CT,re-ct,#000000
csp2_10_r_fsa,csp2,#FC761A
csp2_10_r_ww,csp2,#FC761A
csp2_12_r_sg,csp2,#FC761A
csp2_12_r_ww,csp2,#FC761A
