PCA_REG,nonUS_PCA,FIPS,fracdata
p36,p142,p38013,1.0
p103,p146,p26163,0.7070493879273956
p127,p148,p36089,1.0
p42,p143,p27007,0.5818948983505946
p37,p143,p38067,0.5504375863657301
p42,p143,p27135,0.4181051016494055
p37,p143,p38079,0.4495624136342699
p134,p152,p23019,0.89408
p134,p152,p23003,0.10592
p103,p146,p26147,0.29295061207260453
p42,p144,p27077,1.0
p129,p150,p50019,1.0
p129,p148,p50011,1.0
p127,p146,p36029,0.5876068376068376
p28,p203,p04027,1.0
p3,p138,p53051,1.0
p1,p137,p53073,1.0
p10,p203,p06025,1.0
p59,p163,p48141,1.0
p31,p163,p35013,1.0
p127,p146,p36063,0.41239316239316237
p18,p141,p30035,1.0
