FIPS,value
p01001,59095
p01003,239294
p01005,24964
p01007,22477
p01009,59041
p01011,10320
p01013,18884
p01015,115972
p01017,34541
p01019,24996
p01021,45274
p01023,12533
p01025,22760
p01027,14190
p01029,15103
p01031,54174
p01033,57474
p01035,11328
p01037,10450
p01039,37524
p01041,13083
p01043,89496
p01045,49342
p01047,37619
p01049,71813
p01051,89304
p01053,36699
p01055,103162
p01057,16148
p01059,32013
p01061,26701
p01063,7629
p01065,14754
p01067,17459
p01069,107458
p01071,52773
p01073,667820
p01075,13689
p01077,94043
p01079,33090
p01081,177218
p01083,107517
p01085,9965
p01087,18895
p01089,395211
p01091,18996
p01093,29246
p01095,98228
p01097,413073
p01099,19648
p01101,227434
p01103,123668
p01105,8355
p01107,18801
p01109,32991
p01111,21989
p01113,58722
p01115,92748
p01117,226902
p01119,12164
p01121,81524
p01123,41023
p01125,227007
p01127,64818
p01129,15147
p01131,10446
p01133,23652
p04001,65623
p04003,126050
p04005,145052
p04007,53589
p04009,39050
p04011,9404
p04012,16408
p04013,4496588
p04015,217692
p04017,108147
p04019,1052030
p04021,449557
p04023,47883
p04025,242253
p04027,206990
p05001,16722
p05003,18674
p05005,42144
p05007,293692
p05009,37830
p05011,10408
p05013,4741
p05015,28435
p05017,10019
p05019,21321
p05021,14350
p05023,25015
p05025,7514
p05027,22672
p05029,20873
p05031,112218
p05033,60378
p05035,47525
p05037,16681
p05039,6308
p05041,11090
p05043,17110
p05045,125106
p05047,17173
p05049,12145
p05051,100330
p05053,18090
p05055,46317
p05057,19694
p05059,33148
p05061,12698
p05063,37723
p05065,13911
p05067,16811
p05069,65861
p05071,25845
p05073,6163
p05075,16292
p05077,8619
p05079,13037
p05081,11944
p05083,21215
p05085,74722
p05087,16960
p05089,16978
p05091,42649
p05093,39661
p05095,6683
p05097,8611
p05099,8187
p05101,7204
p05103,22306
p05105,9964
p05107,15906
p05109,10066
p05111,22660
p05113,19353
p05115,63789
p05117,8135
p05119,397821
p05121,18865
p05123,22739
p05125,125233
p05127,9822
p05129,7880
p05131,128400
p05133,15783
p05135,17622
p05137,12481
p05139,38340
p05141,15694
p05143,250057
p05145,77207
p05147,6116
p05149,20155
p06001,1648556
p06003,1235
p06005,41259
p06007,208309
p06009,46221
p06011,21917
p06013,1161413
p06015,28100
p06017,193221
p06019,1013581
p06021,28805
p06023,136310
