,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17
p1,0.004,0.342,0.426,0.052,0.0,0.242,0.256,0.006,0.0,0.114,0.121,0.0,0.002,0.276,0.308,0.025,0.396
p10,0.003,0.44,0.488,0.032,0.0,0.395,0.369,0.004,0.0,0.292,0.275,0.001,0.002,0.42,0.449,0.019,0.472
p100,0.002,0.345,0.36,0.039,0.0,0.288,0.277,0.008,0.0,0.222,0.242,0.003,0.001,0.329,0.35,0.029,0.346
p101,0.0,0.348,0.352,0.029,0.0,0.323,0.32,0.011,0.0,0.284,0.328,0.008,0.0,0.381,0.427,0.031,0.264
p102,0.0,0.348,0.36,0.027,0.0,0.323,0.314,0.008,0.0,0.287,0.327,0.006,0.0,0.383,0.423,0.024,0.28
p103,0.001,0.341,0.401,0.057,0.0,0.253,0.283,0.015,0.0,0.147,0.2,0.005,0.0,0.314,0.369,0.04,0.393
p104,0.001,0.338,0.42,0.061,0.0,0.246,0.297,0.017,0.0,0.135,0.197,0.006,0.0,0.299,0.379,0.043,0.425
p105,0.002,0.341,0.417,0.053,0.0,0.271,0.309,0.015,0.0,0.159,0.217,0.005,0.001,0.309,0.375,0.037,0.39
p106,0.0,0.324,0.415,0.062,0.0,0.267,0.328,0.021,0.0,0.157,0.238,0.008,0.0,0.291,0.372,0.045,0.348
p107,0.002,0.335,0.422,0.053,0.0,0.291,0.337,0.016,0.0,0.179,0.248,0.006,0.001,0.304,0.379,0.038,0.38
p108,0.004,0.4,0.357,0.021,0.0,0.364,0.273,0.002,0.0,0.233,0.204,0.0,0.002,0.372,0.327,0.011,0.356
p109,0.001,0.336,0.412,0.049,0.0,0.291,0.332,0.014,0.0,0.192,0.256,0.005,0.0,0.31,0.377,0.035,0.383
p11,0.002,0.451,0.438,0.019,0.0,0.417,0.341,0.001,0.0,0.328,0.27,0.0,0.001,0.441,0.416,0.01,0.454
p110,0.0,0.312,0.41,0.05,0.0,0.274,0.35,0.015,0.0,0.187,0.273,0.005,0.0,0.293,0.373,0.035,0.409
p111,0.001,0.329,0.409,0.052,0.0,0.262,0.301,0.012,0.0,0.156,0.204,0.003,0.0,0.305,0.372,0.035,0.384
p112,0.001,0.341,0.382,0.048,0.0,0.282,0.29,0.013,0.0,0.167,0.201,0.004,0.0,0.312,0.338,0.033,0.364
p113,0.001,0.335,0.408,0.053,0.0,0.279,0.319,0.015,0.0,0.171,0.229,0.005,0.0,0.307,0.362,0.037,0.385
p114,0.001,0.329,0.393,0.055,0.0,0.279,0.311,0.018,0.0,0.176,0.235,0.007,0.0,0.301,0.342,0.04,0.351
p115,0.001,0.333,0.37,0.043,0.0,0.275,0.283,0.01,0.0,0.18,0.213,0.002,0.001,0.311,0.336,0.029,0.344
p116,0.001,0.336,0.377,0.043,0.0,0.287,0.292,0.01,0.0,0.195,0.232,0.003,0.001,0.314,0.343,0.03,0.349
