rs,state
Andhra_Pradesh,Andhra_Pradesh
Arunachal_Pradesh,Arunachal_Pradesh
Assam,Assam
Bihar,Bihar
Chandigarh,Chandigarh
Chhattisgarh,Chhattisgarh
Dadra_Nagar_Haveli,Dadra_Nagar_Haveli
Daman_Diu,Daman_Diu
Delhi,Delhi
Goa,Goa
Gujarat,Gujarat
Haryana,Haryana
Himachal_Pradesh,Himachal_Pradesh
Jammu_Kashmir,Jammu_Kashmir
Jharkhand,Jharkhand
Karnataka,Karnataka
Kerala,Kerala
Madhya_Pradesh,Madhya_Pradesh
Maharashtra,Maharashtra
Manipur,Manipur
Meghalaya,Meghalaya
Mizoram,Mizoram
Nagaland,Nagaland
Odisha,Odisha
Puducherry,Puducherry
Punjab,Punjab
Rajasthan,Rajasthan
Sikkim,Sikkim
Tamil_Nadu,Tamil_Nadu
Telangana,Telangana
Tripura,Tripura
UP_Agra,UP_Agra
UP_Kanpur,UP_Kanpur
UP_Lucknow,UP_Lucknow
UP_Meerut,UP_Meerut
UP_Varanasi,UP_Varanasi
Uttarakhand,Uttarakhand
West_Bengal,West_Bengal
1,Andhra_Pradesh
2,Andhra_Pradesh
3,Andhra_Pradesh
4,Andhra_Pradesh
5,Andhra_Pradesh
6,Andhra_Pradesh
7,Andhra_Pradesh
8,Andhra_Pradesh
9,Andhra_Pradesh
10,Andhra_Pradesh
11,Andhra_Pradesh
12,Andhra_Pradesh
13,Andhra_Pradesh
14,Andhra_Pradesh
15,Andhra_Pradesh
16,Gujarat
17,Gujarat
18,Gujarat
19,Gujarat
20,Gujarat
21,Gujarat
22,Gujarat
23,Gujarat
24,Gujarat
25,Gujarat
26,Gujarat
27,Gujarat
28,Karnataka
29,Karnataka
30,Karnataka
31,Karnataka
32,Karnataka
33,Karnataka
34,Karnataka
35,Karnataka
36,Karnataka
37,Karnataka
38,Karnataka
39,Karnataka
40,Karnataka
41,Madhya_Pradesh
42,Madhya_Pradesh
43,Madhya_Pradesh
44,Madhya_Pradesh
45,Madhya_Pradesh
46,Madhya_Pradesh
47,Madhya_Pradesh
48,Madhya_Pradesh
49,Madhya_Pradesh
50,Madhya_Pradesh
51,Madhya_Pradesh
52,Madhya_Pradesh
53,Madhya_Pradesh
54,Madhya_Pradesh
55,Madhya_Pradesh
56,Madhya_Pradesh
57,Madhya_Pradesh
58,Madhya_Pradesh
59,Maharashtra
60,Maharashtra
61,Maharashtra
62,Maharashtra
63,Maharashtra
64,Maharashtra
65,Maharashtra
66,Maharashtra
67,Maharashtra
68,Maharashtra
69,Maharashtra
70,Maharashtra
71,Maharashtra
72,Maharashtra
73,Maharashtra
74,Maharashtra
75,Maharashtra
76,Rajasthan
77,Rajasthan
78,Rajasthan
79,Rajasthan
80,Rajasthan
81,Rajasthan
82,Rajasthan
83,Rajasthan
84,Rajasthan
85,Rajasthan
86,Rajasthan
87,Rajasthan
88,Rajasthan
89,Rajasthan
90,Rajasthan
91,Rajasthan
92,Rajasthan
93,Rajasthan
94,Rajasthan
95,Tamil_Nadu
96,Tamil_Nadu
97,Tamil_Nadu
98,Tamil_Nadu
99,Tamil_Nadu
100,Tamil_Nadu
101,Tamil_Nadu
102,Tamil_Nadu
103,Tamil_Nadu
104,Telangana
105,Telangana
106,Telangana
107,Telangana
108,Telangana
109,Telangana
110,Telangana
111,Telangana
112,West_Bengal
113,Odisha
114,Odisha
115,Odisha
116,Uttarakhand
117,Goa
118,Daman_Diu
122,Chandigarh
123,Haryana
124,Himachal_Pradesh
125,Jharkhand
126,Jammu_Kashmir
127,Jammu_Kashmir
128,Jammu_Kashmir
129,Punjab
130,Bihar
131,Chhattisgarh
132,Chhattisgarh
133,Chhattisgarh
134,Kerala
135,Kerala
136,Kerala
137,Dadra_Nagar_Haveli
138,Delhi
139,Puducherry
140,Sikkim
141,Assam
142,Mizoram
143,Nagaland
144,Arunachal_Pradesh
145,Tripura
146,Manipur
147,Meghalaya
199,UP_Varanasi
200,UP_Varanasi
201,UP_Varanasi
202,UP_Varanasi
203,UP_Varanasi
204,UP_Agra
205,UP_Agra
206,UP_Agra
207,UP_Agra
208,UP_Agra
209,UP_Lucknow
210,UP_Lucknow
211,UP_Lucknow
212,UP_Lucknow
213,UP_Lucknow
214,UP_Kanpur
215,UP_Meerut
216,UP_Meerut
217,UP_Meerut
218,UP_Meerut
219,UP_Meerut
