time_slice,h,hours
Winter_night,H1,434
Winter_sunrise,H2,186
Winter_morning,H3,186
Winter_afternoon,H4,310
Winter_sunset,H5,170
Winter_evening,H6,162
Winter_peak,H7,40
Spring_night,H8,413
Spring_sunrise,H9,177
Spring_morning,H10,177
Spring_afternoon,H11,354
Spring_sunset,H12,154
Spring_evening,H13,101
Spring_peak,H14,40
Summer_night,H15,546
Summer_sunrise,H16,273
Summer_morning,H17,364
Summer_afternoon,H18,546
Summer_sunset,H19,272
Summer_evening,H20,143
Summer_peak,H21,40
Rainy_night,H22,552
Rainy_sunrise,H23,276
Rainy_morning,H24,368
Rainy_afternoon,H25,552
Rainy_sunset,H26,267
Rainy_evening,H27,153
Rainy_peak,H28,40
Autumn_night,H29,427
Autumn_sunrise,H30,183
Autumn_morning,H31,183
Autumn_afternoon,H32,305
Autumn_sunset,H33,180
Autumn_evening,H34,40
Autumn_peak,H35,146
