*i,geotech
egs_allkm_1,egs_allkm
egs_allkm_2,egs_allkm
egs_allkm_3,egs_allkm
egs_allkm_4,egs_allkm
egs_allkm_5,egs_allkm
egs_allkm_6,egs_allkm
egs_allkm_7,egs_allkm
egs_allkm_8,egs_allkm
egs_allkm_9,egs_allkm
egs_allkm_10,egs_allkm
geohydro_allkm_1,geohydro_allkm
geohydro_allkm_2,geohydro_allkm
geohydro_allkm_3,geohydro_allkm
geohydro_allkm_4,geohydro_allkm
geohydro_allkm_5,geohydro_allkm
geohydro_allkm_6,geohydro_allkm
geohydro_allkm_7,geohydro_allkm
geohydro_allkm_8,geohydro_allkm
geohydro_allkm_9,geohydro_allkm
geohydro_allkm_10,geohydro_allkm
egs_nearfield_1,egs_nearfield
egs_nearfield_2,egs_nearfield
egs_nearfield_3,egs_nearfield
egs_nearfield_4,egs_nearfield
egs_nearfield_5,egs_nearfield
egs_nearfield_6,egs_nearfield
egs_nearfield_7,egs_nearfield
egs_nearfield_8,egs_nearfield
egs_nearfield_9,egs_nearfield
egs_nearfield_10,egs_nearfield
