*ofstype,i
ofs_all,wind-ofs_1
ofs_all,wind-ofs_2
ofs_all,wind-ofs_3
ofs_all,wind-ofs_4
ofs_all,wind-ofs_5
ofs_all,wind-ofs_6
ofs_all,wind-ofs_7
ofs_all,wind-ofs_8
ofs_all,wind-ofs_9
ofs_all,wind-ofs_10
ofs_all,wind-ofs_11
ofs_all,wind-ofs_12
ofs_all,wind-ofs_13
ofs_all,wind-ofs_14
ofs_all,wind-ofs_15
ofs_fix,wind-ofs_1
ofs_fix,wind-ofs_2
ofs_fix,wind-ofs_3
ofs_fix,wind-ofs_4
ofs_fix,wind-ofs_5
ofs_fix,wind-ofs_6
ofs_fix,wind-ofs_7
ofs_float,wind-ofs_8
ofs_float,wind-ofs_9
ofs_float,wind-ofs_10
ofs_float,wind-ofs_11
ofs_float,wind-ofs_12
ofs_float,wind-ofs_13
ofs_float,wind-ofs_14
ofs_float,wind-ofs_15
