*i,ii
csp1_1,csp1_1
csp1_1,csp2_1
csp1_1,csp3_1
csp1_1,csp4_1
csp1_2,csp1_2
csp1_2,csp2_2
csp1_2,csp3_2
csp1_2,csp4_2
csp1_3,csp1_3
csp1_3,csp2_3
csp1_3,csp3_3
csp1_3,csp4_3
csp1_4,csp1_4
csp1_4,csp2_4
csp1_4,csp3_4
csp1_4,csp4_4
csp1_5,csp1_5
csp1_5,csp2_5
csp1_5,csp3_5
csp1_5,csp4_5
csp1_6,csp1_6
csp1_6,csp2_6
csp1_6,csp3_6
csp1_6,csp4_6
csp1_7,csp1_7
csp1_7,csp2_7
csp1_7,csp3_7
csp1_7,csp4_7
csp1_8,csp1_8
csp1_8,csp2_8
csp1_8,csp3_8
csp1_8,csp4_8
csp1_9,csp1_9
csp1_9,csp2_9
csp1_9,csp3_9
csp1_9,csp4_9
csp1_10,csp1_10
csp1_10,csp2_10
csp1_10,csp3_10
csp1_10,csp4_10
csp1_11,csp1_11
csp1_11,csp2_11
csp1_11,csp3_11
csp1_11,csp4_11
csp1_12,csp1_12
csp1_12,csp2_12
csp1_12,csp3_12
csp1_12,csp4_12
