r,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
p53007,0.092,0.184,0.398,0.892,1.35,2.046,3.473,3.426470438,3.557460279,3.659586563,3.728728364,3.77016547,3.353,3.353,3.353,3.353,3.353,3.353,3.353,3.353,3.353
p53029,0.1125,0.225,0.486,1.174,1.85,2.838,4.848,4.546485827,4.733024248,4.916921403,5.101007159,5.294873009,4.914,4.914,4.916,4.952,5.06,5.194,5.439,5.797,6.244
p53033,2.6285,5.257,11.367,26.837,50.081,76.746,129.632,104.6335545,111.0250144,118.2756985,131.1738392,147.6942365,140.339,140.358,140.582,141.73,143.635,146.16,150.969,158.227,168.023
p53035,0.2965,0.593,1.282,2.923,4.512,6.859,11.616,10.99883726,11.42037055,11.78860557,12.13588209,12.48888395,11.3,11.3,11.301,11.35,11.44,11.559,11.787,12.255,12.853
p53037,0.06025,0.1205,0.261,0.621,0.982,1.52,2.607,2.498574477,2.625921321,2.746054218,2.871332131,3.112382351,2.93,2.93,2.93,2.961,3.031,3.198,3.426,3.723,4.023
p53053,0.928,1.856,4.013,9.005,13.837,21.006,35.503,33.89068464,35.23508973,36.3884927,37.41961846,38.48199912,34.728,34.728,34.73,34.855,35.114,35.449,36.252,37.473,39.084
p53055,0.03475,0.0695,0.15,0.362,0.569,0.873,1.491,1.392865853,1.459906157,1.530193964,1.604698786,1.683250137,1.533,1.533,1.533,1.543,1.56,1.613,1.7,1.814,1.951
p53057,0.1385,0.277,0.599,1.398,2.195,3.346,5.675,5.415110901,5.625307008,5.821722257,6.030687121,6.259621585,5.685,5.685,5.687,5.726,5.79,5.858,6.057,6.47,6.982
p53061,0.84425,1.6885,3.651,8.434,13.207,20.347,34.692,33.35111518,34.90936939,37.12084658,40.92704741,45.71536461,43.69,43.69,43.692,44.032,44.948,46.263,48.4,51.195,54.508
p53067,0.322,0.644,1.392,3.185,4.95,7.544,12.765,12.01768337,12.48347081,12.91496803,13.37137782,13.85504889,12.55,12.55,12.555,12.631,12.752,12.918,13.362,14.024,14.892
p53073,0.25025,0.5005,1.082,2.529,3.939,6.019,10.233,9.641738318,10.028367,10.39156686,10.74025009,11.06649823,10.079,10.079,10.082,10.13,10.248,10.455,10.787,11.206,11.677
p53003,0.035,0.07,0.151,0.364,0.569,0.886,1.492,1.452136741,1.543723443,1.657892034,1.874928727,2.283688062,2.231,2.231,2.233,2.247,2.286,2.369,2.464,2.635,2.945
p53005,0.1985,0.397,0.858,1.994,3.126,4.813,8.186,7.793099779,8.132398758,8.475004372,8.848640498,9.705955366,9.086,9.086,9.086,9.126,9.287,9.651,10.154,10.746,11.62
p53009,0.09025,0.1805,0.39,0.886,1.363,2.069,3.524,3.440777204,3.586106693,3.698878277,3.794339749,3.849998977,3.444,3.444,3.444,3.446,3.464,3.498,3.555,3.631,3.73
p53011,0.48025,0.9605,2.077,4.756,7.371,11.207,18.979,18.08579595,18.77825514,19.36535771,19.92028368,21.09403645,19.37,19.37,19.37,19.457,19.62,19.855,20.315,21.222,22.411
p53013,0.00575,0.0115,0.025,0.057,0.087,0.133,0.226,0.218689136,0.228110337,0.236841719,0.244652622,0.256366754,0.236,0.236,0.236,0.237,0.24,0.245,0.254,0.267,0.277
p53015,0.1235,0.247,0.534,1.199,1.839,2.794,4.727,4.49845597,4.682097289,4.829606484,4.947543242,5.081234047,4.581,4.582,4.583,4.59,4.627,4.67,4.726,4.804,4.896
p53023,0.003,0.006,0.013,0.031,0.048,0.071,0.122,0.117519863,0.122012506,0.125515197,0.127886598,0.131556624,0.119,0.119,0.119,0.12,0.121,0.122,0.124,0.126,0.13
p53027,0.10275,0.2055,0.444,1.047,1.638,2.493,4.238,3.94662357,4.098559218,4.222767794,4.349256377,4.506657681,4.102,4.102,4.102,4.128,4.166,4.224,4.297,4.438,4.701
p53031,0.0465,0.093,0.201,0.483,0.762,1.165,1.986,1.892580749,1.964931833,2.033346187,2.105124603,2.177992996,1.974,1.974,1.975,1.988,2.008,2.034,2.09,2.229,2.417
p53039,0.02675,0.0535,0.116,0.276,0.439,0.681,1.168,1.113883918,1.167076143,1.223500309,1.281090091,1.387528837,1.316,1.316,1.317,1.333,1.377,1.446,1.544,1.653,1.793
p53041,0.094,0.188,0.406,0.905,1.367,2.069,3.506,3.456105881,3.58822865,3.691238221,3.811020609,3.907344172,3.502,3.502,3.502,3.502,3.502,3.506,3.518,3.535,3.566
p53045,0.08875,0.1775,0.384,0.879,1.349,2.049,3.488,3.410119848,3.542606582,3.645397888,3.716495733,3.783658458,3.385,3.385,3.385,3.387,3.396,3.417,3.456,3.512,3.585
p53049,0.03925,0.0785,0.17,0.385,0.583,0.884,1.503,1.48483792,1.542662465,1.588040098,1.620267589,1.639397929,1.461,1.461,1.461,1.461,1.462,1.468,1.479,1.499,1.529
p53059,0.0145,0.029,0.063,0.144,0.224,0.34,0.576,0.552854312,0.577172202,0.595924325,0.609407439,0.624050652,0.562,0.562,0.562,0.562,0.566,0.574,0.584,0.595,0.609
p53069,0.00525,0.0105,0.023,0.052,0.081,0.122,0.208,0.195185164,0.202646858,0.20846437,0.213515015,0.21926104,0.197,0.197,0.197,0.197,0.199,0.201,0.204,0.207,0.212
p53071,0.07,0.14,0.303,0.849,2.127,3.629,6.326,3.307928663,3.876814751,4.64733659,5.508020157,6.541849898,6.314,6.317,6.34,6.399,6.545,6.69,7.054,7.309,7.77
p53077,0.265,0.53,1.146,2.773,5.354,8.422,14.633,11.43621553,12.81131311,14.62961476,16.73646343,18.9767619,18.107,18.138,18.195,18.364,18.757,19.425,20.163,20.94,22.222
p53001,0.02,0.04,0.086,0.214,0.34,0.538,0.918,0.904391988,0.979282982,1.146008318,1.372278795,1.666383903,1.641,1.642,1.653,1.675,1.707,1.766,1.83,1.92,2.063
p53019,0.01275,0.0255,0.055,0.132,0.212,0.325,0.544,0.517087397,0.547464809,0.580644215,0.613855669,0.682520263,0.648,0.648,0.648,0.651,0.658,0.682,0.728,0.813,0.919
p53021,0.084,0.168,0.363,0.96,1.462,2.208,3.609,3.41114176,3.543667561,3.661769436,3.778770945,3.907344172,3.544,3.544,3.544,3.567,3.596,3.627,3.667,3.834,4.051
p53043,0.0155,0.031,0.067,0.156,0.243,0.373,0.635,0.596796521,0.620672312,0.643947531,0.666122365,0.693764419,0.633,0.633,0.633,0.636,0.646,0.665,0.691,0.724,0.761
p53047,0.05675,0.1135,0.245,0.565,0.869,1.318,2.243,2.11944518,2.200469018,2.264730724,2.313079331,2.397254036,2.17,2.17,2.17,2.174,2.188,2.211,2.248,2.3,2.463
p53051,0.0205,0.041,0.089,0.199,0.301,0.456,0.772,0.762346241,0.79148982,0.814211624,0.829594798,0.83881403,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.748
p53063,0.6755,1.351,2.921,6.66,10.864,16.977,28.541,27.4546838,29.23950129,32.41020668,37.49746248,44.74611837,43.787,43.787,43.849,44.271,45.146,46.236,47.928,50.401,54.226
p53065,0.0625,0.125,0.27,0.669,1.077,1.691,2.905,2.855221713,3.065166342,3.372538765,3.903321371,4.61909924,4.537,4.538,4.542,4.594,4.699,4.852,5.068,5.329,5.657
p53075,0.056,0.112,0.242,0.587,0.96,1.487,2.522,2.459741826,2.633348169,2.814814717,3.160467047,3.627364691,3.502,3.502,3.502,3.517,3.591,3.658,3.77,3.999,4.257
p53017,0.04175,0.0835,0.181,0.416,0.643,0.975,1.659,1.590094841,1.650882253,1.698275184,1.735921556,1.776576631,1.602,1.602,1.602,1.606,1.619,1.638,1.667,1.698,1.737
p53025,0.09225,0.1845,0.399,0.895,1.353,2.05,3.48,3.432601909,3.563826149,3.666135182,3.735400708,4.115361056,3.833,3.833,3.833,3.833,3.833,3.852,3.951,4.089,4.255
p41003,0.253,0.506,1.355,2.451,2.973,3.768,5.938,7.02666589,7.430031116,8.963967922,12.75863421,18.14806761,19.477,19.477,19.572,19.772,19.968,20.193,20.504,20.902,21.358
