r,szn,HDD-CDD,t,Value
p1,spri,cdd,2010,2.8809402460199998
p1,spri,cdd,2012,2.1342284255200004
p1,spri,cdd,2014,1.9139210066499999
p1,spri,cdd,2016,2.18376386104
p1,spri,cdd,2018,2.07082330032
p1,spri,cdd,2020,1.8530537691
p1,spri,cdd,2022,1.7435981661900002
p1,spri,cdd,2024,2.35230049268
p1,spri,cdd,2026,2.78717572754
p1,spri,cdd,2028,2.65822726728
p1,spri,cdd,2030,2.6488164358
p1,spri,cdd,2032,2.43425689002
p1,spri,cdd,2034,3.10159546347
p1,spri,cdd,2036,2.8671892664999996
p1,spri,cdd,2038,2.72028806303
p1,spri,cdd,2040,2.81921857548
p1,spri,cdd,2042,2.82775527741
p1,spri,cdd,2044,2.21905295092
p1,spri,cdd,2046,1.90772896309
p1,spri,cdd,2048,1.54739022218
p1,spri,cdd,2050,1.54739022218
p1,spri,hdd,2010,883.464392967
p1,spri,hdd,2012,859.21438762
p1,spri,hdd,2014,859.887660744
p1,spri,hdd,2016,843.038211257
p1,spri,hdd,2018,837.747962043
p1,spri,hdd,2020,833.4217303510001
p1,spri,hdd,2022,799.336033108
p1,spri,hdd,2024,772.8290575389999
p1,spri,hdd,2026,755.5696526610001
p1,spri,hdd,2028,749.871604978
p1,spri,hdd,2030,770.725297958
p1,spri,hdd,2032,791.408948525
p1,spri,hdd,2034,798.883769974
p1,spri,hdd,2036,795.646571661
p1,spri,hdd,2038,794.0085360969999
p1,spri,hdd,2040,786.680639368
p1,spri,hdd,2042,800.113027945
p1,spri,hdd,2044,827.6453539260001
p1,spri,hdd,2046,835.62976952
p1,spri,hdd,2048,824.093729033
p1,spri,hdd,2050,806.8502407330001
p1,summ,cdd,2010,98.16338199350001
p1,summ,cdd,2012,98.12225618059999
p1,summ,cdd,2014,100.75602933
p1,summ,cdd,2016,108.498504594
p1,summ,cdd,2018,113.527787174
p1,summ,cdd,2020,117.825575571
p1,summ,cdd,2022,120.34138837
p1,summ,cdd,2024,122.66715379600001
p1,summ,cdd,2026,123.33865708399999
p1,summ,cdd,2028,125.069236176
p1,summ,cdd,2030,117.760623076
p1,summ,cdd,2032,121.44484742
p1,summ,cdd,2034,131.911505183
p1,summ,cdd,2036,131.837036232
p1,summ,cdd,2038,137.30213941600002
p1,summ,cdd,2040,140.000907702
p1,summ,cdd,2042,143.337433314
p1,summ,cdd,2044,139.985762321
p1,summ,cdd,2046,151.878181891
p1,summ,cdd,2048,154.600289089
p1,summ,cdd,2050,168.262202515
p1,summ,hdd,2010,177.00666591900003
p1,summ,hdd,2012,167.328931197
p1,summ,hdd,2014,168.268992805
p1,summ,hdd,2016,154.710025434
p1,summ,hdd,2018,149.536747499
p1,summ,hdd,2020,144.080691244
p1,summ,hdd,2022,142.793159331
p1,summ,hdd,2024,138.762077143
p1,summ,hdd,2026,132.49258654
p1,summ,hdd,2028,132.691083048
p1,summ,hdd,2030,136.886151176
p1,summ,hdd,2032,138.102101526
p1,summ,hdd,2034,134.08448168200002
p1,summ,hdd,2036,141.324306139
p1,summ,hdd,2038,139.235535519
p1,summ,hdd,2040,138.647276939
p1,summ,hdd,2042,134.485517388
p1,summ,hdd,2044,139.218712555
p1,summ,hdd,2046,133.676222582
p1,summ,hdd,2048,129.693105906
p1,summ,hdd,2050,118.578151779
p1,fall,cdd,2010,4.41295091582
p1,fall,cdd,2012,5.117142154880001
p1,fall,cdd,2014,6.53435302656
p1,fall,cdd,2016,8.53044653398
p1,fall,cdd,2018,9.784190256819999
p1,fall,cdd,2020,11.6695901571
p1,fall,cdd,2022,10.0781007448
p1,fall,cdd,2024,12.238011108699999
p1,fall,cdd,2026,13.0019938007
p1,fall,cdd,2028,13.3627403674
p1,fall,cdd,2030,13.3539099025
p1,fall,cdd,2032,13.392630878399999
p1,fall,cdd,2034,15.8821071255
