*r,t,value
p49027,2026,7303582
p49015,2026,7303582
p49049,2026,7303582
p49047,2026,7303582
p49035,2026,7303582
p49027,2029,2424254
p49015,2029,2424254
p49049,2029,2424254
p49047,2029,2424254
p49035,2029,2424254
p49027,2032,211969
p49015,2032,211969
p49049,2032,211969
p49047,2032,211969
p49035,2032,211969
p49027,2035,2331065
p49015,2035,2331065
p49049,2035,2331065
p49047,2035,2331065
p49035,2035,2331065
p49027,2038,881768
p49015,2038,881768
p49049,2038,881768
p49047,2038,881768
p49035,2038,881768
p49027,2041,785484
p49015,2041,785484
p49049,2041,785484
p49047,2041,785484
p49035,2041,785484
p49027,2044,1742070
p49015,2044,1742070
p49049,2044,1742070
p49047,2044,1742070
p49035,2044,1742070
p49027,2047,1171646
p49015,2047,1171646
p49049,2047,1171646
p49047,2047,1171646
p49035,2047,1171646
p49027,2050,390270
p49015,2050,390270
p49049,2050,390270
p49047,2050,390270
p49035,2050,390270
