year,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100,p101,p102,p103,p104,p105,p106,p107,p108,p109,p110,p111,p112,p113,p114,p115,p116,p117,p118,p119,p120,p121,p122,p123,p124,p125,p126,p127,p128,p129,p130,p131,p132,p133,p134
2022,0.034931957,0.034931957,0.034931957,0.034931957,0.034931957,0.034931957,0.034931957,0.034931957,0.034931957,0.034931957,0.034931957,0.035434433,0.035434433,0.035434433,0.035434433,0.035434433,0.035434433,0.035434433,0.035434433,0.035434433,0.035434433,0.035434433,0.035434433,0.035434433,0.035434433,0.035434433,0.035434433,0.035434433,0.035434433,0.035434433,0.035434433,0.035434433,0.035434433,0.035434433,0.03502878,0.03502878,0.03502878,0.03502878,0.03502878,0.03502878,0.03502878,0.03502878,0.03502878,0.03502878,0.03502878,0.034792823,0.035558078,0.035558078,0.035558078,0.035558078,0.035558078,0.03502878,0.03502878,0.03502878,0.03502878,0.035558078,0.035558078,0.035558078,0.035434433,0.035558078,0.035558078,0.035558078,0.035558078,0.035558078,0.035558078,0.035558078,0.035558078,0.03502878,0.03502878,0.03502878,0.03502878,0.03502878,0.03502878,0.034792823,0.034792823,0.034792823,0.034792823,0.034792823,0.034792823,0.034792823,0.034792823,0.034792823,0.034792823,0.03502878,0.035558078,0.035558078,0.03513377,0.03513377,0.03513377,0.03513377,0.03528186,0.03513377,0.03513377,0.03528186,0.03528186,0.03528186,0.03528186,0.03528186,0.03528186,0.03528186,0.03528186,0.03528186,0.034792823,0.034792823,0.034792823,0.034792823,0.034792823,0.03513377,0.03513377,0.03513377,0.034792823,0.034792823,0.034792823,0.034792823,0.034752963,0.03528186,0.03528186,0.03528186,0.034752963,0.034752963,0.03528186,0.034752963,0.03528186,0.03528186,0.03528186,0.034752963,0.034752963,0.034752963,0.034916695,0.034916695,0.034916695,0.034916695,0.034916695,0.034916695
2023,0.070297945,0.070297945,0.070297945,0.070297945,0.070297945,0.070297945,0.070297945,0.070297945,0.070297945,0.070297945,0.070297945,0.071803863,0.071803863,0.071803863,0.071803863,0.071803863,0.071803863,0.071803863,0.071803863,0.071803863,0.071803863,0.071803863,0.071803863,0.071803863,0.071803863,0.071803863,0.071803863,0.071803863,0.071803863,0.071803863,0.071803863,0.071803863,0.071803863,0.071803863,0.070582423,0.070582423,0.070582423,0.070582423,0.070582423,0.070582423,0.070582423,0.070582423,0.070582423,0.070582423,0.070582423,0.069880706,0.072165813,0.072165813,0.072165813,0.072165813,0.072165813,0.070582423,0.070582423,0.070582423,0.070582423,0.072165813,0.072165813,0.072165813,0.071803863,0.072165813,0.072165813,0.072165813,0.072165813,0.072165813,0.072165813,0.072165813,0.072165813,0.070582423,0.070582423,0.070582423,0.070582423,0.070582423,0.070582423,0.069880706,0.069880706,0.069880706,0.069880706,0.069880706,0.069880706,0.069880706,0.069880706,0.069880706,0.069880706,0.070582423,0.072165813,0.072165813,0.070896411,0.070896411,0.070896411,0.070896411,0.071344446,0.070896411,0.070896411,0.071344446,0.071344446,0.071344446,0.071344446,0.071344446,0.071344446,0.071344446,0.071344446,0.071344446,0.069880706,0.069880706,0.069880706,0.069880706,0.069880706,0.070896411,0.070896411,0.070896411,0.069880706,0.069880706,0.069880706,0.069880706,0.069760521,0.071344446,0.071344446,0.071344446,0.069760521,0.069760521,0.071344446,0.069760521,0.071344446,0.071344446,0.071344446,0.069760521,0.069760521,0.069760521,0.070245217,0.070245217,0.070245217,0.070245217,0.070245217,0.070245217
2024,0.106093309,0.106093309,0.106093309,0.106093309,0.106093309,0.106093309,0.106093309,0.106093309,0.106093309,0.106093309,0.106093309,0.109111042,0.109111042,0.109111042,0.109111042,0.109111042,0.109111042,0.109111042,0.109111042,0.109111042,0.109111042,0.109111042,0.109111042,0.109111042,0.109111042,0.109111042,0.109111042,0.109111042,0.109111042,0.109111042,0.109111042,0.109111042,0.109111042,0.109111042,0.106650509,0.106650509,0.106650509,0.106650509,0.106650509,0.106650509,0.106650509,0.106650509,0.106650509,0.106650509,0.106650509,0.105255622,0.109817444,0.109817444,0.109817444,0.109817444,0.109817444,0.106650509,0.106650509,0.106650509,0.106650509,0.109817444,0.109817444,0.109817444,0.109111042,0.109817444,0.109817444,0.109817444,0.109817444,0.109817444,0.109817444,0.109817444,0.109817444,0.106650509,0.106650509,0.106650509,0.106650509,0.106650509,0.106650509,0.105255622,0.105255622,0.105255622,0.105255622,0.105255622,0.105255622,0.105255622,0.105255622,0.105255622,0.105255622,0.106650509,0.109817444,0.109817444,0.107279442,0.107279442,0.107279442,0.107279442,0.108185072,0.107279442,0.107279442,0.108185072,0.108185072,0.108185072,0.108185072,0.108185072,0.108185072,0.108185072,0.108185072,0.108185072,0.105255622,0.105255622,0.105255622,0.105255622,0.105255622,0.107279442,0.107279442,0.107279442,0.105255622,0.105255622,0.105255622,0.105255622,0.105016232,0.108185072,0.108185072,0.108185072,0.105016232,0.105016232,0.108185072,0.105016232,0.108185072,0.108185072,0.108185072,0.105016232,0.105016232,0.105016232,0.105976066,0.105976066,0.105976066,0.105976066,0.105976066,0.105976066
2025,0.1423468,0.1423468,0.1423468,0.1423468,0.1423468,0.1423468,0.1423468,0.1423468,0.1423468,0.1423468,0.1423468,0.147422366,0.147422366,0.147422366,0.147422366,0.147422366,0.147422366,0.147422366,0.147422366,0.147422366,0.147422366,0.147422366,0.147422366,0.147422366,0.147422366,0.147422366,0.147422366,0.147422366,0.147422366,0.147422366,0.147422366,0.147422366,0.147422366,0.147422366,0.143260114,0.143260114,0.143260114,0.143260114,0.143260114,0.143260114,0.143260114,0.143260114,0.143260114,0.143260114,0.143260114,0.140933905,0.148574977,0.148574977,0.148574977,0.148574977,0.148574977,0.143260114,0.143260114,0.143260114,0.143260114,0.148574977,0.148574977,0.148574977,0.147422366,0.148574977,0.148574977,0.148574977,0.148574977,0.148574977,0.148574977,0.148574977,0.148574977,0.143260114,0.143260114,0.143260114,0.143260114,0.143260114,0.143260114,0.140933905,0.140933905,0.140933905,0.140933905,0.140933905,0.140933905,0.140933905,0.140933905,0.140933905,0.140933905,0.143260114,0.148574977,0.148574977,0.144319766,0.144319766,0.144319766,0.144319766,0.145854435,0.144319766,0.144319766,0.145854435,0.145854435,0.145854435,0.145854435,0.145854435,0.145854435,0.145854435,0.145854435,0.145854435,0.140933905,0.140933905,0.140933905,0.140933905,0.140933905,0.144319766,0.144319766,0.144319766,0.140933905,0.140933905,0.140933905,0.140933905,0.140536134,0.145854435,0.145854435,0.145854435,0.140536134,0.140536134,0.145854435,0.140536134,0.145854435,0.145854435,0.145854435,0.140536134,0.140536134,0.140536134,0.142130795,0.142130795,0.142130795,0.142130795,0.142130795,0.142130795
2026,0.179039529,0.179039529,0.179039529,0.179039529,0.179039529,0.179039529,0.179039529,0.179039529,0.179039529,0.179039529,0.179039529,0.186713749,0.186713749,0.186713749,0.186713749,0.186713749,0.186713749,0.186713749,0.186713749,0.186713749,0.186713749,0.186713749,0.186713749,0.186713749,0.186713749,0.186713749,0.186713749,0.186713749,0.186713749,0.186713749,0.186713749,0.186713749,0.186713749,0.186713749,0.180386779,0.180386779,0.180386779,0.180386779,0.180386779,0.180386779,0.180386779,0.180386779,0.180386779,0.180386779,0.180386779,0.176898474,0.188412593,0.188412593,0.188412593,0.188412593,0.188412593,0.180386779,0.180386779,0.180386779,0.180386779,0.188412593,0.188412593,0.188412593,0.186713749,0.188412593,0.188412593,0.188412593,0.188412593,0.188412593,0.188412593,0.188412593,0.188412593,0.180386779,0.180386779,0.180386779,0.180386779,0.180386779,0.180386779,0.176898474,0.176898474,0.176898474,0.176898474,0.176898474,0.176898474,0.176898474,0.176898474,0.176898474,0.176898474,0.180386779,0.188412593,0.188412593,0.181995266,0.181995266,0.181995266,0.181995266,0.184333958,0.181995266,0.181995266,0.184333958,0.184333958,0.184333958,0.184333958,0.184333958,0.184333958,0.184333958,0.184333958,0.184333958,0.176898474,0.176898474,0.176898474,0.176898474,0.176898474,0.181995266,0.181995266,0.181995266,0.176898474,0.176898474,0.176898474,0.176898474,0.176303062,0.184333958,0.184333958,0.184333958,0.176303062,0.176303062,0.184333958,0.176303062,0.184333958,0.184333958,0.184333958,0.176303062,0.176303062,0.176303062,0.178685027,0.178685027,0.178685027,0.178685027,0.178685027,0.178685027
2027,0.21612749,0.21612749,0.21612749,0.21612749,0.21612749,0.21612749,0.21612749,0.21612749,0.21612749,0.21612749,0.21612749,0.226911806,0.226911806,0.226911806,0.226911806,0.226911806,0.226911806,0.226911806,0.226911806,0.226911806,0.226911806,0.226911806,0.226911806,0.226911806,0.226911806,0.226911806,0.226911806,0.226911806,0.226911806,0.226911806,0.226911806,0.226911806,0.226911806,0.226911806,0.217977604,0.217977604,0.217977604,0.217977604,0.217977604,0.217977604,0.217977604,0.217977604,0.217977604,0.217977604,0.217977604,0.213114078,0.229233284,0.229233284,0.229233284,0.229233284,0.229233284,0.217977604,0.217977604,0.217977604,0.217977604,0.229233284,0.229233284,0.229233284,0.226911806,0.229233284,0.229233284,0.229233284,0.229233284,0.229233284,0.229233284,0.229233284,0.229233284,0.217977604,0.217977604,0.217977604,0.217977604,0.217977604,0.217977604,0.213114078,0.213114078,0.213114078,0.213114078,0.213114078,0.213114078,0.213114078,0.213114078,0.213114078,0.213114078,0.217977604,0.229233284,0.229233284,0.220236602,0.220236602,0.220236602,0.220236602,0.223548823,0.220236602,0.220236602,0.223548823,0.223548823,0.223548823,0.223548823,0.223548823,0.223548823,0.223548823,0.223548823,0.223548823,0.213114078,0.213114078,0.213114078,0.213114078,0.213114078,0.220236602,0.220236602,0.220236602,0.213114078,0.213114078,0.213114078,0.213114078,0.212282632,0.223548823,0.223548823,0.223548823,0.212282632,0.212282632,0.223548823,0.212282632,0.223548823,0.223548823,0.223548823,0.212282632,0.212282632,0.212282632,0.215590644,0.215590644,0.215590644,0.215590644,0.215590644,0.215590644
2028,0.253604126,0.253604126,0.253604126,0.253604126,0.253604126,0.253604126,0.253604126,0.253604126,0.253604126,0.253604126,0.253604126,0.268014628,0.268014628,0.268014628,0.268014628,0.268014628,0.268014628,0.268014628,0.268014628,0.268014628,0.268014628,0.268014628,0.268014628,0.268014628,0.268014628,0.268014628,0.268014628,0.268014628,0.268014628,0.268014628,0.268014628,0.268014628,0.268014628,0.268014628,0.25602149,0.25602149,0.25602149,0.25602149,0.25602149,0.25602149,0.25602149,0.25602149,0.25602149,0.25602149,0.25602149,0.249572569,0.271023212,0.271023212,0.271023212,0.271023212,0.271023212,0.25602149,0.25602149,0.25602149,0.25602149,0.271023212,0.271023212,0.271023212,0.268014628,0.271023212,0.271023212,0.271023212,0.271023212,0.271023212,0.271023212,0.271023212,0.271023212,0.25602149,0.25602149,0.25602149,0.25602149,0.25602149,0.25602149,0.249572569,0.249572569,0.249572569,0.249572569,0.249572569,0.249572569,0.249572569,0.249572569,0.249572569,0.249572569,0.25602149,0.271023212,0.271023212,0.259030315,0.259030315,0.259030315,0.259030315,0.263489705,0.259030315,0.259030315,0.263489705,0.263489705,0.263489705,0.263489705,0.263489705,0.263489705,0.263489705,0.263489705,0.263489705,0.249572569,0.249572569,0.249572569,0.249572569,0.249572569,0.259030315,0.259030315,0.259030315,0.249572569,0.249572569,0.249572569,0.249572569,0.248466895,0.263489705,0.263489705,0.263489705,0.248466895,0.248466895,0.263489705,0.248466895,0.263489705,0.263489705,0.263489705,0.248466895,0.248466895,0.248466895,0.252835887,0.252835887,0.252835887,0.252835887,0.252835887,0.252835887
2029,0.291463138,0.291463138,0.291463138,0.291463138,0.291463138,0.291463138,0.291463138,0.291463138,0.291463138,0.291463138,0.291463138,0.310020625,0.310020625,0.310020625,0.310020625,0.310020625,0.310020625,0.310020625,0.310020625,0.310020625,0.310020625,0.310020625,0.310020625,0.310020625,0.310020625,0.310020625,0.310020625,0.310020625,0.310020625,0.310020625,0.310020625,0.310020625,0.310020625,0.310020625,0.294506911,0.294506911,0.294506911,0.294506911,0.294506911,0.294506911,0.294506911,0.294506911,0.294506911,0.294506911,0.294506911,0.28626556,0.313761335,0.313761335,0.313761335,0.313761335,0.313761335,0.294506911,0.294506911,0.294506911,0.294506911,0.313761335,0.313761335,0.313761335,0.310020625,0.313761335,0.313761335,0.313761335,0.313761335,0.313761335,0.313761335,0.313761335,0.313761335,0.294506911,0.294506911,0.294506911,0.294506911,0.294506911,0.294506911,0.28626556,0.28626556,0.28626556,0.28626556,0.28626556,0.28626556,0.28626556,0.28626556,0.28626556,0.28626556,0.294506911,0.313761335,0.313761335,0.29835834,0.29835834,0.29835834,0.29835834,0.304141553,0.29835834,0.29835834,0.304141553,0.304141553,0.304141553,0.304141553,0.304141553,0.304141553,0.304141553,0.304141553,0.304141553,0.28626556,0.28626556,0.28626556,0.28626556,0.28626556,0.29835834,0.29835834,0.29835834,0.28626556,0.28626556,0.28626556,0.28626556,0.2848488,0.304141553,0.304141553,0.304141553,0.2848488,0.2848488,0.304141553,0.2848488,0.304141553,0.304141553,0.304141553,0.2848488,0.2848488,0.2848488,0.290410187,0.290410187,0.290410187,0.290410187,0.290410187,0.290410187
2030,0.329707727,0.329707727,0.329707727,0.329707727,0.329707727,0.329707727,0.329707727,0.329707727,0.329707727,0.329707727,0.329707727,0.35294686,0.35294686,0.35294686,0.35294686,0.35294686,0.35294686,0.35294686,0.35294686,0.35294686,0.35294686,0.35294686,0.35294686,0.35294686,0.35294686,0.35294686,0.35294686,0.35294686,0.35294686,0.35294686,0.35294686,0.35294686,0.35294686,0.35294686,0.333432209,0.333432209,0.333432209,0.333432209,0.333432209,0.333432209,0.333432209,0.333432209,0.333432209,0.333432209,0.333432209,0.323190628,0.357450935,0.357450935,0.357450935,0.357450935,0.357450935,0.333432209,0.333432209,0.333432209,0.333432209,0.357450935,0.357450935,0.357450935,0.35294686,0.357450935,0.357450935,0.357450935,0.357450935,0.357450935,0.357450935,0.357450935,0.357450935,0.333432209,0.333432209,0.333432209,0.333432209,0.333432209,0.333432209,0.323190628,0.323190628,0.323190628,0.323190628,0.323190628,0.323190628,0.323190628,0.323190628,0.323190628,0.323190628,0.333432209,0.357450935,0.357450935,0.338218741,0.338218741,0.338218741,0.338218741,0.345508547,0.338218741,0.338218741,0.345508547,0.345508547,0.345508547,0.345508547,0.345508547,0.345508547,0.345508547,0.345508547,0.345508547,0.323190628,0.323190628,0.323190628,0.323190628,0.323190628,0.338218741,0.338218741,0.338218741,0.323190628,0.323190628,0.323190628,0.323190628,0.321429278,0.345508547,0.345508547,0.345508547,0.321429278,0.321429278,0.345508547,0.321429278,0.345508547,0.345508547,0.345508547,0.321429278,0.321429278,0.321429278,0.328313509,0.328313509,0.328313509,0.328313509,0.328313509,0.328313509
2031,0.368321943,0.368321943,0.368321943,0.368321943,0.368321943,0.368321943,0.368321943,0.368321943,0.368321943,0.368321943,0.368321943,0.39677253,0.39677253,0.39677253,0.39677253,0.39677253,0.39677253,0.39677253,0.39677253,0.39677253,0.39677253,0.39677253,0.39677253,0.39677253,0.39677253,0.39677253,0.39677253,0.39677253,0.39677253,0.39677253,0.39677253,0.39677253,0.39677253,0.39677253,0.372778193,0.372778193,0.372778193,0.372778193,0.372778193,0.372778193,0.372778193,0.372778193,0.372778193,0.372778193,0.372778193,0.360334329,0.402069997,0.402069997,0.402069997,0.402069997,0.402069997,0.372778193,0.372778193,0.372778193,0.372778193,0.402069997,0.402069997,0.402069997,0.39677253,0.402069997,0.402069997,0.402069997,0.402069997,0.402069997,0.402069997,0.402069997,0.402069997,0.372778193,0.372778193,0.372778193,0.372778193,0.372778193,0.372778193,0.360334329,0.360334329,0.360334329,0.360334329,0.360334329,0.360334329,0.360334329,0.360334329,0.360334329,0.360334329,0.372778193,0.402069997,0.402069997,0.378593094,0.378593094,0.378593094,0.378593094,0.387574709,0.378593094,0.378593094,0.387574709,0.387574709,0.387574709,0.387574709,0.387574709,0.387574709,0.387574709,0.387574709,0.387574709,0.360334329,0.360334329,0.360334329,0.360334329,0.360334329,0.378593094,0.378593094,0.378593094,0.360334329,0.360334329,0.360334329,0.360334329,0.358193662,0.387574709,0.387574709,0.387574709,0.358193662,0.358193662,0.387574709,0.358193662,0.387574709,0.387574709,0.387574709,0.358193662,0.358193662,0.358193662,0.366524853,0.366524853,0.366524853,0.366524853,0.366524853,0.366524853
