st,year,multiplier
IL,2010,1.000075555
IL,2011,0.987122063
IL,2012,0.991686463
IL,2013,0.979702693
IL,2014,0.977932945
IL,2015,0.957798834
IL,2016,0.974658865
IL,2017,0.948182116
IL,2018,0.986170088
IL,2019,0.956862312
IL,2020,0.918089456
IL,2021,0.943753372
IL,2022,0.949193415
IL,2023,0.941809654
IL,2024,0.951388755
IL,2025,0.960304044
IL,2026,0.972424379
IL,2027,0.98351345
IL,2028,0.994210963
IL,2029,1.002827156
IL,2030,1.01011943
IL,2031,1.016386369
IL,2032,1.023272547
IL,2033,1.029043085
IL,2034,1.035923638
IL,2035,1.043745445
IL,2036,1.052976232
IL,2037,1.061362785
IL,2038,1.069278379
IL,2039,1.075015907
IL,2040,1.082058095
IL,2041,1.08931577
IL,2042,1.097733349
IL,2043,1.106750841
IL,2044,1.115949212
IL,2045,1.125126075
IL,2046,1.133764217
IL,2047,1.142406217
IL,2048,1.152045095
IL,2049,1.16181443
IL,2050,1.173363207
IN,2010,1.000024006
IN,2011,0.99839401
IN,2012,0.992317799
IN,2013,0.995293258
IN,2014,1.009056042
IN,2015,0.986174661
IN,2016,0.978583187
IN,2017,0.934042605
IN,2018,0.98396742
IN,2019,0.964542348
IN,2020,0.918229976
IN,2021,0.943093958
IN,2022,0.948922166
IN,2023,0.941538405
IN,2024,0.951117506
IN,2025,0.960032795
IN,2026,0.97215313
IN,2027,0.983242201
IN,2028,0.993939714
IN,2029,1.002555907
IN,2030,1.009848181
IN,2031,1.01611512
IN,2032,1.023001298
IN,2033,1.028771836
IN,2034,1.035652389
IN,2035,1.043474196
IN,2036,1.052704983
IN,2037,1.061091536
IN,2038,1.06900713
IN,2039,1.074744658
IN,2040,1.081786846
IN,2041,1.089044521
IN,2042,1.0974621
IN,2043,1.106479592
IN,2044,1.115677963
IN,2045,1.124854826
IN,2046,1.133492968
IN,2047,1.142134968
IN,2048,1.151773846
IN,2049,1.161543181
IN,2050,1.173091958
MI,2010,1.000031598
MI,2011,1.013666512
MI,2012,1.011552627
MI,2013,0.994405594
MI,2014,0.997105702
MI,2015,0.989085845
MI,2016,1.008431569
MI,2017,0.98374973
MI,2018,1.012562427
MI,2019,0.977919321
MI,2020,0.937468792
MI,2021,0.964852082
MI,2022,0.970742045
MI,2023,0.963358284
MI,2024,0.972937385
MI,2025,0.981852674
MI,2026,0.993973009
MI,2027,1.00506208
MI,2028,1.015759593
MI,2029,1.024375786
MI,2030,1.03166806
MI,2031,1.037934999
MI,2032,1.044821177
MI,2033,1.050591715
MI,2034,1.057472268
MI,2035,1.065294075
MI,2036,1.074524862
MI,2037,1.082911415
MI,2038,1.090827009
MI,2039,1.096564537
MI,2040,1.103606725
MI,2041,1.1108644
MI,2042,1.119281979
MI,2043,1.128299471
MI,2044,1.137497842
MI,2045,1.146674705
MI,2046,1.155312847
MI,2047,1.163954847
MI,2048,1.173593725
MI,2049,1.18336306
MI,2050,1.194911837
OH,2010,1.000057177
OH,2011,1.0040135
OH,2012,0.989421437
OH,2013,0.975579028
OH,2014,0.978085462
OH,2015,0.968666225
OH,2016,0.977729512
OH,2017,0.952215901
OH,2018,0.993054079
OH,2019,0.964829428
OH,2020,0.926770864
OH,2021,0.960163522
OH,2022,0.97648367
OH,2023,0.969099909
OH,2024,0.97867901
OH,2025,0.987594299
OH,2026,0.999714634
OH,2027,1.010803705
OH,2028,1.021501218
OH,2029,1.030117411
OH,2030,1.037409685
OH,2031,1.043676624
OH,2032,1.050562802
OH,2033,1.05633334
OH,2034,1.063213893
OH,2035,1.0710357
OH,2036,1.080266487
OH,2037,1.08865304
OH,2038,1.096568634
OH,2039,1.102306162
OH,2040,1.10934835
OH,2041,1.116606025
OH,2042,1.125023604
OH,2043,1.134041096
OH,2044,1.143239467
OH,2045,1.15241633
OH,2046,1.161054472
OH,2047,1.169696472
OH,2048,1.17933535
OH,2049,1.189104685
