i,region,t,cap_new,capex
hydND,p75,1891,0.5,2980065.4620000003
hydND,p75,1891,0.5,2980065.4620000003
hydND,p75,1891,0.5,2980065.4620000003
hydND,p75,1891,0.5,2980065.4620000003
hydND,p75,1891,0.5,2980065.4620000003
hydND,p75,1891,0.3,1788039.2772000001
hydND,p75,1891,0.5,2980065.4620000003
hydND,p75,1891,0.3,1788039.2772000001
hydND,p75,1891,0.3,1788039.2772000001
hydND,p131,1893,0.6,3361671.8499454544
hydND,p25,1896,1.2,6497060.980467326
hydND,p76,1896,0.4,2328901.343485714
hydND,p76,1896,0.4,2328901.343485714
hydND,p76,1896,0.4,2328901.343485714
hydND,p76,1896,0.8,4657802.686971428
hydND,p76,1896,0.4,2328901.343485714
hydND,p1,1898,1.5,8083323.205433197
hydND,p1,1898,1.5,8083323.205433197
hydND,p1,1898,1.5,8083323.205433197
hydND,p1,1898,1.5,8083323.205433197
hydND,p10,1899,0.8,4244697.842626866
hydND,p10,1899,0.8,4244697.842626866
hydND,p10,1899,0.8,4244697.842626866
hydND,p10,1899,0.8,4244697.842626866
hydND,p9,1900,0.9,4650883.347187428
hydND,p75,1900,1.0,5960130.924000001
hydND,p75,1900,1.0,5960130.924000001
hydND,p9,1900,5.5,28422064.899478722
hydND,p75,1900,0.8,4768104.739200001
hydND,p103,1901,0.4,2364003.7904800004
hydND,p46,1901,0.5,2820403.8294166666
hydND,p46,1901,0.4,2256323.0635333336
hydND,p103,1901,0.4,2364003.7904800004
hydND,p46,1901,0.5,2820403.8294166666
hydND,p127,1902,0.4,1993987.8196869113
hydND,p9,1902,1.0,5167648.163541586
hydND,p9,1902,1.0,5167648.163541586
hydND,p94,1903,1.5,7837912.465734637
hydND,p94,1903,1.5,7837912.465734637
hydND,p94,1903,1.5,7837912.465734637
hydND,p76,1903,0.3,1746676.0076142852
hydND,p76,1903,0.6,3493352.0152285704
hydND,p76,1903,0.6,3493352.0152285704
hydND,p132,1903,1.4,7565576.254705
hydND,p76,1903,0.3,1746676.0076142852
hydND,p76,1903,0.6,3493352.0152285704
hydND,p76,1903,0.6,3493352.0152285704
hydND,p76,1903,0.6,3493352.0152285704
hydND,p118,1903,2.5,11483668.990628418
hydND,p8,1903,0.4,2019223.276942857
hydND,p118,1903,2.5,11483668.990628418
hydND,p76,1903,0.6,3493352.0152285704
hydND,p94,1903,1.5,7837912.465734637
hydND,p10,1903,1.0,5305872.303283582
hydND,p94,1903,1.5,7837912.465734637
hydND,p132,1903,1.4,7565576.254705
hydND,p132,1903,1.4,7565576.254705
hydND,p118,1903,2.5,11483668.990628418
hydND,p118,1903,2.5,11483668.990628418
hydND,p132,1903,1.4,7565576.254705
hydND,p132,1903,1.4,7565576.254705
hydND,p132,1903,1.4,7565576.254705
hydND,p118,1903,2.5,11483668.990628418
hydND,p127,1903,0.4,1993987.8196869113
hydND,p134,1903,0.7,3549061.5910404325
hydND,p94,1903,1.5,7837912.465734637
hydND,p134,1903,0.7,3549061.5910404325
hydND,p94,1903,1.5,7837912.465734637
hydND,p134,1904,0.7,3549061.5910404325
hydND,p9,1904,1.6,8268237.061666538
hydND,p9,1904,1.6,8268237.061666538
hydND,p10,1904,2.5,13264680.758208957
hydND,p1,1904,5.7,30716628.18064615
hydND,p1,1904,6.3,33949957.46281943
hydND,p1,1904,5.9,31794404.60803725
hydND,p10,1904,1.0,5305872.303283582
hydND,p10,1904,1.0,5305872.303283582
hydND,p12,1904,0.9,4912554.090318751
hydND,p12,1904,0.9,4912554.090318751
hydND,p10,1904,2.1,11142331.836895524
hydND,p131,1905,1.4,7843900.983206061
hydND,p10,1905,1.0,5305872.303283582
hydND,p10,1905,1.0,5305872.303283582
hydND,p1,1905,6.5,35027733.890210524
hydND,p74,1905,2.7,17683755.04581429
hydND,p95,1905,1.1,5353378.094212499
hydND,p95,1905,1.1,5353378.094212499
hydND,p34,1905,2.3,12793903.886419443
hydND,p74,1905,1.2,7859446.687028572
hydND,p122,1905,19.0,83665736.88643588
hydND,p129,1905,0.7,3520284.478539062
hydND,p129,1905,0.7,3520284.478539062
hydND,p129,1905,0.7,3520284.478539062
hydND,p95,1905,1.1,5353378.094212499
hydND,p95,1905,1.1,5353378.094212499
hydND,p131,1906,0.6,3361671.8499454544
hydND,p9,1906,1.0,5167648.163541586
hydND,p9,1906,1.0,5167648.163541586
hydND,p131,1906,0.8,4482229.133260607
hydND,p14,1906,2.8,15040359.436063303
hydND,p14,1906,2.8,15040359.436063303
hydND,p17,1906,2.0,10432992.365236
