"Dim1","Dim2","Dim3","Dim4","Dim5","Val"
"p1","s2","wind-ofs_14","bin1","cap",187.2
"p1","s2","wind-ofs_14","bin1","cost",138903.512293094
"p1","s2","wind-ofs_14","bin2","cap",187.2
"p1","s2","wind-ofs_14","bin2","cost",145585.060336317
"p1","s2","wind-ons_9","bin1","cap",33.86205089
"p1","s2","wind-ons_9","bin1","cost",4101.80475458064
"p1","s2","wind-ons_9","bin2","cap",99.80010666
"p1","s2","wind-ons_9","bin2","cost",9000.77219660665
"p1","s2","wind-ons_9","bin3","cap",66.88575304
"p1","s2","wind-ons_9","bin3","cost",13357.6867154349
"p1","s2","wind-ons_9","bin4","cap",72.70560801
"p1","s2","wind-ons_9","bin4","cost",20855.8865424943
"p1","s2","wind-ons_9","bin5","cap",137.3557563
"p1","s2","wind-ons_9","bin5","cost",42424.1522732079
"p1","s2","wind-ons_10","bin1","cap",333.6511656
"p1","s2","wind-ons_10","bin1","cost",14545.5637287518
"p1","s2","wind-ons_10","bin2","cap",478.7100206
"p1","s2","wind-ons_10","bin2","cost",36271.5775033382
"p1","s2","wind-ons_10","bin3","cap",592.2396289
"p1","s2","wind-ons_10","bin3","cost",77499.7934754927
"p1","s2","wind-ons_10","bin4","cap",353.2734118
"p1","s2","wind-ons_10","bin4","cost",134839.347841924
"p1","s2","wind-ons_10","bin5","cap",160.9146037
"p1","s2","wind-ons_10","bin5","cost",217100.202790575
"p1","s3","wind-ofs_15","bin1","cap",187.2
"p1","s3","wind-ofs_15","bin1","cost",125465.400344542
"p1","s3","wind-ons_7","bin1","cap",18.23715019
"p1","s3","wind-ons_7","bin1","cost",12997.6723166778
"p1","s3","wind-ons_8","bin1","cap",19.58580045
"p1","s3","wind-ons_8","bin1","cost",9770.5786933328
"p1","s3","wind-ons_8","bin2","cap",74.01780252
"p1","s3","wind-ons_8","bin2","cost",14843.7546106758
"p1","s3","wind-ons_8","bin3","cap",68.62320364
"p1","s3","wind-ons_8","bin3","cost",20278.9953504087
"p1","s3","wind-ons_8","bin4","cap",51.98985207
"p1","s3","wind-ons_8","bin4","cost",25692.4976562814
"p1","s3","wind-ons_8","bin5","cap",36.27990246
"p1","s3","wind-ons_8","bin5","cost",47261.1936903637
"p1","s3","wind-ons_9","bin1","cap",170.5738521
"p1","s3","wind-ons_9","bin1","cost",6702.46055989551
"p1","s3","wind-ons_9","bin2","cap",512.620666
"p1","s3","wind-ons_9","bin2","cost",14575.3551648842
"p1","s3","wind-ons_9","bin3","cap",393.1497129
"p1","s3","wind-ons_9","bin3","cost",27110.925924826
"p1","s3","wind-ons_9","bin4","cap",554.5867825
"p1","s3","wind-ons_9","bin4","cost",44254.9364718742
"p1","s3","wind-ons_9","bin5","cap",196.2954068
"p1","s3","wind-ons_9","bin5","cost",73890.9070044638
"p1","s3","wind-ons_10","bin1","cap",740.1658709
"p1","s3","wind-ons_10","bin1","cost",15347.8673747774
"p1","s3","wind-ons_10","bin2","cap",797.9877429
"p1","s3","wind-ons_10","bin2","cost",37125.9177839252
"p1","s3","wind-ons_10","bin3","cap",750.45692
"p1","s3","wind-ons_10","bin3","cost",66780.3450369346
"p1","s3","wind-ons_10","bin4","cap",832.542336
"p1","s3","wind-ons_10","bin4","cost",95249.6627052472
"p1","s3","wind-ons_10","bin5","cap",737.8209343
"p1","s3","wind-ons_10","bin5","cost",140522.461501223
"p1","s4","wind-ons_6","bin1","cost",14138.3694633941
"p1","s4","wind-ons_6","bin2","cost",15780.8460728171
"p1","s4","wind-ons_6","bin3","cap",4.50999999657142E-6
"p1","s4","wind-ons_6","bin3","cost",25991.5347178501
"p1","s4","wind-ons_7","bin1","cap",41.6840784
"p1","s4","wind-ons_7","bin1","cost",11701.9419607472
"p1","s4","wind-ons_7","bin2","cap",158.4481636
"p1","s4","wind-ons_7","bin2","cost",14465.5287122393
"p1","s4","wind-ons_7","bin3","cap",249.6582198
"p1","s4","wind-ons_7","bin3","cost",19389.9787524159
"p1","s4","wind-ons_7","bin4","cap",71.12610126
"p1","s4","wind-ons_7","bin4","cost",24172.6362287405
"p1","s4","wind-ons_7","bin5","cap",199.6731212
"p1","s4","wind-ons_7","bin5","cost",33404.8209166551
"p1","s4","wind-ons_8","bin1","cap",356.8941325
"p1","s4","wind-ons_8","bin1","cost",12648.9902198238
"p1","s4","wind-ons_8","bin2","cap",419.6974854
"p1","s4","wind-ons_8","bin2","cost",16590.2703533346
"p1","s4","wind-ons_8","bin3","cap",124.744059
"p1","s4","wind-ons_8","bin3","cost",22188.156342185
"p1","s4","wind-ons_8","bin4","cap",237.2530632
"p1","s4","wind-ons_8","bin4","cost",28183.4004978998
"p1","s4","wind-ons_8","bin5","cap",304.8556859
"p1","s4","wind-ons_8","bin5","cost",46404.7559845726
"p1","s4","wind-ons_9","bin1","cap",244.8954283
"p1","s4","wind-ons_9","bin1","cost",7474.13954903485
"p1","s4","wind-ons_9","bin2","cap",286.3147703
"p1","s4","wind-ons_9","bin2","cost",20296.1434514865
"p1","s4","wind-ons_9","bin3","cap",497.3603042
"p1","s4","wind-ons_9","bin3","cost",32927.1560801288
"p1","s4","wind-ons_9","bin4","cap",158.3752627
"p1","s4","wind-ons_9","bin4","cost",65070.2787419764
