*i,ii,ctt,wst
coal-CCS_mod_o_fsu,coal-CCS_mod,o,fsu
coal-CCS_mod_o_fsa,coal-CCS_mod,o,fsa
coal-CCS_mod_o_fsl,coal-CCS_mod,o,fsl
coal-CCS_mod_o_fg,coal-CCS_mod,o,fg
coal-CCS_mod_o_sg,coal-CCS_mod,o,sg
coal-CCS_mod_o_ss,coal-CCS_mod,o,ss
coal-CCS_mod_o_ww,coal-CCS_mod,o,ww
coal-CCS_mod_r_fsu,coal-CCS_mod,r,fsu
coal-CCS_mod_r_fsa,coal-CCS_mod,r,fsa
coal-CCS_mod_r_fsl,coal-CCS_mod,r,fsl
coal-CCS_mod_r_fg,coal-CCS_mod,r,fg
coal-CCS_mod_r_sg,coal-CCS_mod,r,sg
coal-CCS_mod_r_ss,coal-CCS_mod,r,ss
coal-CCS_mod_r_ww,coal-CCS_mod,r,ww
coal-CCS_mod_p_fsu,coal-CCS_mod,p,fsu
coal-CCS_mod_p_fsa,coal-CCS_mod,p,fsa
coal-CCS_mod_p_fsl,coal-CCS_mod,p,fsl
coal-CCS_mod_p_fg,coal-CCS_mod,p,fg
coal-CCS_mod_p_sg,coal-CCS_mod,p,sg
coal-CCS_mod_p_ss,coal-CCS_mod,p,ss
coal-CCS_mod_p_ww,coal-CCS_mod,p,ww
coal-CCS_mod_d_fsu,coal-CCS_mod,d,fsu
coal-CCS_mod_d_fsa,coal-CCS_mod,d,fsa
coal-CCS_mod_d_fsl,coal-CCS_mod,d,fsl
coal-CCS_mod_d_fg,coal-CCS_mod,d,fg
coal-CCS_mod_d_sg,coal-CCS_mod,d,sg
coal-CCS_mod_d_ss,coal-CCS_mod,d,ss
coal-CCS_mod_d_ww,coal-CCS_mod,d,ww
coal-CCS_max_o_fsu,coal-CCS_max,o,fsu
coal-CCS_max_o_fsa,coal-CCS_max,o,fsa
coal-CCS_max_o_fsl,coal-CCS_max,o,fsl
coal-CCS_max_o_fg,coal-CCS_max,o,fg
coal-CCS_max_o_sg,coal-CCS_max,o,sg
coal-CCS_max_o_ss,coal-CCS_max,o,ss
coal-CCS_max_o_ww,coal-CCS_max,o,ww
coal-CCS_max_r_fsu,coal-CCS_max,r,fsu
coal-CCS_max_r_fsa,coal-CCS_max,r,fsa
coal-CCS_max_r_fsl,coal-CCS_max,r,fsl
coal-CCS_max_r_fg,coal-CCS_max,r,fg
coal-CCS_max_r_sg,coal-CCS_max,r,sg
coal-CCS_max_r_ss,coal-CCS_max,r,ss
coal-CCS_max_r_ww,coal-CCS_max,r,ww
coal-CCS_max_p_fsu,coal-CCS_max,p,fsu
coal-CCS_max_p_fsa,coal-CCS_max,p,fsa
coal-CCS_max_p_fsl,coal-CCS_max,p,fsl
coal-CCS_max_p_fg,coal-CCS_max,p,fg
coal-CCS_max_p_sg,coal-CCS_max,p,sg
coal-CCS_max_p_ss,coal-CCS_max,p,ss
coal-CCS_max_p_ww,coal-CCS_max,p,ww
coal-CCS_max_d_fsu,coal-CCS_max,d,fsu
coal-CCS_max_d_fsa,coal-CCS_max,d,fsa
coal-CCS_max_d_fsl,coal-CCS_max,d,fsl
coal-CCS_max_d_fg,coal-CCS_max,d,fg
coal-CCS_max_d_sg,coal-CCS_max,d,sg
coal-CCS_max_d_ss,coal-CCS_max,d,ss
coal-CCS_max_d_ww,coal-CCS_max,d,ww
coal-CCS-F1_o_fsu,coal-CCS-F1,o,fsu
coal-CCS-F1_o_fsa,coal-CCS-F1,o,fsa
coal-CCS-F1_o_fsl,coal-CCS-F1,o,fsl
coal-CCS-F1_o_fg,coal-CCS-F1,o,fg
coal-CCS-F1_o_sg,coal-CCS-F1,o,sg
coal-CCS-F1_o_ss,coal-CCS-F1,o,ss
coal-CCS-F1_o_ww,coal-CCS-F1,o,ww
coal-CCS-F1_r_fsu,coal-CCS-F1,r,fsu
coal-CCS-F1_r_fsa,coal-CCS-F1,r,fsa
coal-CCS-F1_r_fsl,coal-CCS-F1,r,fsl
coal-CCS-F1_r_fg,coal-CCS-F1,r,fg
