*i,ii
csp1_8, csp4_8
csp1_8, csp1_8_r_fsu
csp1_8, csp1_8_r_fsa
csp1_8, csp1_8_r_fsl
csp1_8, csp1_8_r_fg
csp1_8, csp1_8_r_sg
csp1_8, csp1_8_r_ss
csp1_8, csp1_8_r_ww
csp1_8, csp1_8_d_fsu
csp1_8, csp1_8_d_fsa
csp1_8, csp1_8_d_fsl
csp1_8, csp1_8_d_fg
csp1_8, csp1_8_d_sg
csp1_8, csp1_8_d_ss
csp1_8, csp1_8_d_ww
csp1_8, csp2_8_r_fsu
csp1_8, csp2_8_r_fsa
csp1_8, csp2_8_r_fsl
csp1_8, csp2_8_r_fg
csp1_8, csp2_8_r_sg
csp1_8, csp2_8_r_ss
csp1_8, csp2_8_r_ww
csp1_8, csp2_8_d_fsu
csp1_8, csp2_8_d_fsa
csp1_8, csp2_8_d_fsl
csp1_8, csp2_8_d_fg
csp1_8, csp2_8_d_sg
csp1_8, csp2_8_d_ss
csp1_8, csp2_8_d_ww
csp1_8, csp3_8_r_fsu
csp1_8, csp3_8_r_fsa
csp1_8, csp3_8_r_fsl
csp1_8, csp3_8_r_fg
csp1_8, csp3_8_r_sg
csp1_8, csp3_8_r_ss
csp1_8, csp3_8_r_ww
csp1_8, csp3_8_d_fsu
csp1_8, csp3_8_d_fsa
csp1_8, csp3_8_d_fsl
csp1_8, csp3_8_d_fg
csp1_8, csp3_8_d_sg
csp1_8, csp3_8_d_ss
csp1_8, csp3_8_d_ww
csp1_8, csp4_8_r_fsu
csp1_8, csp4_8_r_fsa
csp1_8, csp4_8_r_fsl
csp1_8, csp4_8_r_fg
csp1_8, csp4_8_r_sg
csp1_8, csp4_8_r_ss
csp1_8, csp4_8_r_ww
csp1_8, csp4_8_d_fsu
csp1_8, csp4_8_d_fsa
csp1_8, csp4_8_d_fsl
csp1_8, csp4_8_d_fg
csp1_8, csp4_8_d_sg
csp1_8, csp4_8_d_ss
csp1_8, csp4_8_d_ww
csp1_9, csp1_9
csp1_9, csp2_9
csp1_9, csp3_9
csp1_9, csp4_9
csp1_9, csp1_9_r_fsu
csp1_9, csp1_9_r_fsa
csp1_9, csp1_9_r_fsl
csp1_9, csp1_9_r_fg
csp1_9, csp1_9_r_sg
csp1_9, csp1_9_r_ss
csp1_9, csp1_9_r_ww
csp1_9, csp1_9_d_fsu
csp1_9, csp1_9_d_fsa
csp1_9, csp1_9_d_fsl
csp1_9, csp1_9_d_fg
csp1_9, csp1_9_d_sg
csp1_9, csp1_9_d_ss
csp1_9, csp1_9_d_ww
csp1_9, csp2_9_r_fsu
csp1_9, csp2_9_r_fsa
csp1_9, csp2_9_r_fsl
csp1_9, csp2_9_r_fg
csp1_9, csp2_9_r_sg
csp1_9, csp2_9_r_ss
csp1_9, csp2_9_r_ww
csp1_9, csp2_9_d_fsu
csp1_9, csp2_9_d_fsa
csp1_9, csp2_9_d_fsl
csp1_9, csp2_9_d_fg
csp1_9, csp2_9_d_sg
csp1_9, csp2_9_d_ss
csp1_9, csp2_9_d_ww
csp1_9, csp3_9_r_fsu
csp1_9, csp3_9_r_fsa
csp1_9, csp3_9_r_fsl
csp1_9, csp3_9_r_fg
csp1_9, csp3_9_r_sg
csp1_9, csp3_9_r_ss
csp1_9, csp3_9_r_ww
csp1_9, csp3_9_d_fsu
csp1_9, csp3_9_d_fsa
csp1_9, csp3_9_d_fsl
csp1_9, csp3_9_d_fg
csp1_9, csp3_9_d_sg
csp1_9, csp3_9_d_ss
csp1_9, csp3_9_d_ww
csp1_9, csp4_9_r_fsu
csp1_9, csp4_9_r_fsa
csp1_9, csp4_9_r_fsl
csp1_9, csp4_9_r_fg
csp1_9, csp4_9_r_sg
csp1_9, csp4_9_r_ss
csp1_9, csp4_9_r_ww
csp1_9, csp4_9_d_fsu
csp1_9, csp4_9_d_fsa
csp1_9, csp4_9_d_fsl
csp1_9, csp4_9_d_fg
csp1_9, csp4_9_d_sg
csp1_9, csp4_9_d_ss
csp1_9, csp4_9_d_ww
csp1_10, csp1_10
csp1_10, csp2_10
csp1_10, csp3_10
csp1_10, csp4_10
csp1_10, csp1_10_r_fsu
csp1_10, csp1_10_r_fsa
csp1_10, csp1_10_r_fsl
csp1_10, csp1_10_r_fg
csp1_10, csp1_10_r_sg
csp1_10, csp1_10_r_ss
csp1_10, csp1_10_r_ww
csp1_10, csp1_10_d_fsu
csp1_10, csp1_10_d_fsa
csp1_10, csp1_10_d_fsl
csp1_10, csp1_10_d_fg
csp1_10, csp1_10_d_sg
csp1_10, csp1_10_d_ss
csp1_10, csp1_10_d_ww
csp1_10, csp2_10_r_fsu
csp1_10, csp2_10_r_fsa
csp1_10, csp2_10_r_fsl
csp1_10, csp2_10_r_fg
csp1_10, csp2_10_r_sg
csp1_10, csp2_10_r_ss
csp1_10, csp2_10_r_ww
csp1_10, csp2_10_d_fsu
csp1_10, csp2_10_d_fsa
csp1_10, csp2_10_d_fsl
csp1_10, csp2_10_d_fg
csp1_10, csp2_10_d_sg
csp1_10, csp2_10_d_ss
csp1_10, csp2_10_d_ww
csp1_10, csp3_10_r_fsu
csp1_10, csp3_10_r_fsa
csp1_10, csp3_10_r_fsl
csp1_10, csp3_10_r_fg
csp1_10, csp3_10_r_sg
csp1_10, csp3_10_r_ss
csp1_10, csp3_10_r_ww
csp1_10, csp3_10_d_fsu
csp1_10, csp3_10_d_fsa
csp1_10, csp3_10_d_fsl
csp1_10, csp3_10_d_fg
csp1_10, csp3_10_d_sg
csp1_10, csp3_10_d_ss
csp1_10, csp3_10_d_ww
csp1_10, csp4_10_r_fsu
csp1_10, csp4_10_r_fsa
csp1_10, csp4_10_r_fsl
csp1_10, csp4_10_r_fg
csp1_10, csp4_10_r_sg
csp1_10, csp4_10_r_ss
csp1_10, csp4_10_r_ww
csp1_10, csp4_10_d_fsu
csp1_10, csp4_10_d_fsa
csp1_10, csp4_10_d_fsl
csp1_10, csp4_10_d_fg
csp1_10, csp4_10_d_sg
csp1_10, csp4_10_d_ss
csp1_10, csp4_10_d_ww
csp1_11, csp1_11
csp1_11, csp2_11
csp1_11, csp3_11
csp1_11, csp4_11
csp1_11, csp1_11_r_fsu
csp1_11, csp1_11_r_fsa
csp1_11, csp1_11_r_fsl
csp1_11, csp1_11_r_fg
csp1_11, csp1_11_r_sg
csp1_11, csp1_11_r_ss
csp1_11, csp1_11_r_ww
csp1_11, csp1_11_d_fsu
csp1_11, csp1_11_d_fsa
csp1_11, csp1_11_d_fsl
csp1_11, csp1_11_d_fg
csp1_11, csp1_11_d_sg
csp1_11, csp1_11_d_ss
csp1_11, csp1_11_d_ww
csp1_11, csp2_11_r_fsu
csp1_11, csp2_11_r_fsa
csp1_11, csp2_11_r_fsl
csp1_11, csp2_11_r_fg
csp1_11, csp2_11_r_sg
csp1_11, csp2_11_r_ss
csp1_11, csp2_11_r_ww
csp1_11, csp2_11_d_fsu
csp1_11, csp2_11_d_fsa
csp1_11, csp2_11_d_fsl
csp1_11, csp2_11_d_fg
csp1_11, csp2_11_d_sg
csp1_11, csp2_11_d_ss
csp1_11, csp2_11_d_ww
csp1_11, csp3_11_r_fsu
csp1_11, csp3_11_r_fsa
csp1_11, csp3_11_r_fsl
csp1_11, csp3_11_r_fg
csp1_11, csp3_11_r_sg
csp1_11, csp3_11_r_ss
csp1_11, csp3_11_r_ww
csp1_11, csp3_11_d_fsu
csp1_11, csp3_11_d_fsa
csp1_11, csp3_11_d_fsl
csp1_11, csp3_11_d_fg
csp1_11, csp3_11_d_sg
csp1_11, csp3_11_d_ss
csp1_11, csp3_11_d_ww
csp1_11, csp4_11_r_fsu
csp1_11, csp4_11_r_fsa
csp1_11, csp4_11_r_fsl
csp1_11, csp4_11_r_fg
csp1_11, csp4_11_r_sg
csp1_11, csp4_11_r_ss
csp1_11, csp4_11_r_ww
csp1_11, csp4_11_d_fsu
csp1_11, csp4_11_d_fsa
csp1_11, csp4_11_d_fsl
csp1_11, csp4_11_d_fg
csp1_11, csp4_11_d_sg
csp1_11, csp4_11_d_ss
csp1_11, csp4_11_d_ww
csp1_12, csp1_12
csp1_12, csp2_12
csp1_12, csp3_12
csp1_12, csp4_12
csp1_12, csp1_12_r_fsu
csp1_12, csp1_12_r_fsa
csp1_12, csp1_12_r_fsl
csp1_12, csp1_12_r_fg
csp1_12, csp1_12_r_sg
csp1_12, csp1_12_r_ss
csp1_12, csp1_12_r_ww
csp1_12, csp1_12_d_fsu
csp1_12, csp1_12_d_fsa
csp1_12, csp1_12_d_fsl
csp1_12, csp1_12_d_fg
csp1_12, csp1_12_d_sg
csp1_12, csp1_12_d_ss
csp1_12, csp1_12_d_ww
csp1_12, csp2_12_r_fsu
csp1_12, csp2_12_r_fsa
csp1_12, csp2_12_r_fsl
csp1_12, csp2_12_r_fg
csp1_12, csp2_12_r_sg
csp1_12, csp2_12_r_ss
csp1_12, csp2_12_r_ww
csp1_12, csp2_12_d_fsu
csp1_12, csp2_12_d_fsa
csp1_12, csp2_12_d_fsl
csp1_12, csp2_12_d_fg
csp1_12, csp2_12_d_sg
csp1_12, csp2_12_d_ss
csp1_12, csp2_12_d_ww
csp1_12, csp3_12_r_fsu
csp1_12, csp3_12_r_fsa
csp1_12, csp3_12_r_fsl
csp1_12, csp3_12_r_fg
csp1_12, csp3_12_r_sg
csp1_12, csp3_12_r_ss
csp1_12, csp3_12_r_ww
csp1_12, csp3_12_d_fsu
csp1_12, csp3_12_d_fsa
csp1_12, csp3_12_d_fsl
csp1_12, csp3_12_d_fg
csp1_12, csp3_12_d_sg
csp1_12, csp3_12_d_ss
csp1_12, csp3_12_d_ww
csp1_12, csp4_12_r_fsu
csp1_12, csp4_12_r_fsa
csp1_12, csp4_12_r_fsl
csp1_12, csp4_12_r_fg
csp1_12, csp4_12_r_sg
csp1_12, csp4_12_r_ss
csp1_12, csp4_12_r_ww
csp1_12, csp4_12_d_fsu
csp1_12, csp4_12_d_fsa
csp1_12, csp4_12_d_fsl
csp1_12, csp4_12_d_fg
csp1_12, csp4_12_d_sg
csp1_12, csp4_12_d_ss
csp1_12, csp4_12_d_ww
