r,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15
p1,2.594542617,2.525770604,2.778716709,2.713834113,2.883055885,3.220868375,3.222881071,3.697633708,3.270044415,3.673483893,3.704365855,4.493202657,3.753125133,4.719618331,4.686941283
p2,2.465890528,2.710575837,3.848799793,3.534435681,3.222392681,3.547456495,3.75282412,3.767611029,3.8487223,4.121408958,4.256828268,4.429456202,4.359252636,4.234999451,4.681282337
p3,2.373943252,0,3.6076877,4.146617292,3.398591379,4.173216503,4.513892694,4.054660255,3.915496433,3.727609497,4.354046361,4.348299772,4.626925067,4.751460318,4.204975923
p4,1.933506381,3.085951309,2.909797134,3.228963939,2.738286917,3.126944194,3.513192405,3.171201091,3.53471105,4.200431196,3.660707323,4.10101815,4.24822583,4.545216319,4.547762879
p5,2.613267565,2.792647413,3.126189479,3.302201972,3.442378572,3.802569474,3.574968634,3.961056521,3.936675997,4.055333349,4.110096135,4.347341034,4.369974444,4.581361869,4.742137881
p6,3.775658384,3.54061232,3.683592021,3.681383653,4.18239531,4.103483691,4.183495283,4.005330585,4.166322522,4.311831703,4.385227798,4.542371142,4.462310109,4.694386905,4.767878046
p7,2.457875385,3.06537633,3.328361138,3.526582937,3.841931756,3.818043774,4.060110039,4.016125719,4.274756505,4.33229435,4.267782002,4.38993806,4.579030439,4.597848133,4.693198338
p8,2.577438213,3.789908882,3.206501093,3.639286373,3.630592635,3.690371475,3.630698817,3.776678492,3.802156964,3.897789872,4.289824811,3.984010544,4.416276171,4.646629406,4.650038356
p9,2.911642593,3.691473725,3.488374877,3.810665515,3.141143573,3.618869472,3.681133075,4.002197052,4.027744722,4.092716003,4.084110009,4.287848946,4.476803089,4.613453361,4.669537768
p10,1.821503103,2.118100508,2.84149234,3.092639049,3.347386577,3.519729134,3.804548398,3.901496764,4.145383575,4.136538918,4.332553838,4.489145244,4.399844578,4.603673089,4.738400088
p11,2.774862989,3.254772775,2.995719431,0,4.30019337,0,4.054979341,3.95661057,4.601575302,3.842676758,4.206024417,4.461709792,4.475312565,4.893008405,4.43475082
p12,2.296117378,2.703438467,2.890267502,3.238184634,3.533623702,3.642576545,3.796239645,4.014442418,4.051124525,4.203879482,4.32442667,4.460150682,4.515046819,4.618248969,4.761004682
p13,3.060758316,3.657272544,3.863900184,3.85577866,4.066269076,4.353513781,4.274020638,4.417079939,4.529463381,4.318204223,4.502165271,4.58242344,4.641778092,4.719945071,4.823023849
p14,2.450588517,2.596484599,2.978979544,3.398738489,3.083828826,3.095451119,3.99526588,3.276568128,3.557089463,3.058130253,4.541881361,3.341516867,4.21154239,4.456349896,4.704356135
p15,2.314119858,2.70347973,3.197573316,3.45048609,3.552913177,3.758222702,3.959647229,4.089986025,4.008940158,4.100994462,4.290658058,4.425451706,4.473832658,4.541452143,4.606550244
p16,2.533844654,2.813682134,3.090955157,3.29544468,3.826930287,3.614592407,3.984917868,3.998162146,3.952175397,4.234757027,4.277907765,4.509875838,4.615162644,4.619368768,4.744254436
p17,2.566411787,2.643340515,2.849812442,2.983361677,3.194420676,3.530062705,3.617167648,4.040496181,4.278230542,4.339056695,4.259190104,4.395248991,4.428273446,4.592309868,4.596080008
p18,2.188212584,2.630740977,3.059512164,3.165203626,3.258985097,3.442403848,4.215175583,3.740754859,4.230915775,4.15330629,4.264811433,4.652083003,4.463348865,4.747756837,4.752577374
p20,3.620347336,3.94597452,0,2.947595425,4.194007204,4.750493597,0,0,4.727234841,4.572905051,4.617964678,0,4.893008405,4.547318875,4.860604376
p21,2.153923107,3.56722489,3.409734627,4.00453717,3.445876571,3.99780851,4.022838742,3.940814621,4.337016494,4.317110339,4.377880434,4.530669234,4.576777588,4.650638184,4.551555978
p22,2.074910361,2.173169626,2.321469064,2.683691341,2.27055672,2.615078432,2.600905165,2.749166756,3.1755281,3.824569358,4.479390993,4.242454016,4.573328315,4.556028584,4.754764607
p23,3.406557644,4.199222835,3.58900372,3.590044461,3.873093724,3.80950928,3.773528333,3.763852619,3.989517832,4.601575302,4.566759131,4.077977234,4.275820659,4.431166273,4.77720634
p24,2.500615082,3.061909992,3.562533106,3.972070917,3.758296963,4.230876689,3.87491432,4.084681622,4.260578493,4.352114323,4.634650396,4.482374549,4.587354297,4.56335245,4.746839674
p25,1.93971027,2.333868352,2.49901927,2.884737854,3.070985997,3.213080701,3.48445621,3.622709167,3.903122695,4.007806847,4.111759936,4.18616497,4.300573902,4.469337545,4.617764596
p26,2.361744231,2.441742979,2.666525697,2.697745541,3.123848695,3.28879797,3.506506482,3.649130485,3.758927704,4.199499862,3.85104346,4.262318454,4.449608153,4.505289911,4.707629556
p27,2.406592436,2.616714398,3.147726146,3.295444253,3.428974536,3.628539032,3.996812692,4.029024239,4.288687653,4.099442695,4.487897663,4.274967551,4.500024661,4.505083958,4.726403507
p28,2.419854136,2.865282937,2.92725869,2.907481857,3.160600576,3.220014621,3.293907837,3.517610573,3.807875323,3.897969631,4.134757043,4.346115812,4.316747283,4.613716002,4.670911862
p29,2.096668227,2.3707269,2.608064379,3.003042257,2.814583649,2.912595575,3.496814256,3.818312603,3.480833262,3.789734032,3.787373091,3.982075686,3.901321456,4.183429111,4.688673169
p30,3.495006003,0,0,0,0,0,0,0,0,0,0,0,0,0,4.461709792
p31,2.94407522,2.926097574,3.735638339,3.702462659,3.776908897,3.872277698,3.992856188,4.185223196,4.211539581,4.158119408,4.31934859,4.48018589,4.424104306,4.56103287,4.629920468
p32,4.765917277,0,0,0,0,0,0,4.876752563,0,0,0,0,0,0,4.860604376
p33,1.901192586,2.131034885,2.360518963,2.595151994,2.737403248,3.530234792,3.572116004,3.275757552,3.689099883,3.72867906,3.969789981,4.30490446,4.4410988,4.496753432,4.672610297
p34,2.334481661,2.906947413,3.33832598,3.353650579,3.434578458,3.957505167,3.999703623,3.936627449,4.150849945,4.258005562,4.293739047,4.468690782,4.518346143,4.582610181,4.783437358
p47,3.343741507,0,0,0,4.874021541,0,4.893008405,4.750493597,0,4.893008405,0,0,4.893008405,4.893008405,4.876752563
p50,4.844562777,4.704815774,0,4.750493597,4.616045665,0,0,4.43475082,0,0,4.719943799,0,4.660008004,0,4.812795152
p56,4.054979341,4.616045665,4.893008405,3.914406724,3.832643659,4.159583183,0,4.202351541,4.13493668,4.828626715,4.893008405,4.572905051,4.876752563,4.812795152,4.876752563
p59,4.750493597,0,0,0,0,0,0,4.572905051,0,0,0,0,0,0,4.876752563
p61,2.749596939,2.751511959,3.33195008,3.506307243,3.929779906,4.124719487,4.256309044,4.339279455,4.526214237,4.43347486,4.596670597,4.719299115,4.719403214,4.841998481,4.699262821
p85,3.862901372,2.352407887,3.571538982,0,3.571538982,0,4.704815774,4.530563338,4.719943799,4.381798571,0,3.744649289,4.759859826,0,4.880440293
p89,4.876752563,4.719943799,0,4.860604376,0,4.735169424,0,4.679926512,0,4.893008405,4.893008405,0,4.893008405,4.317360357,4.802073824
p90,0,0,0,0,0,0,0,4.304699476,0,0,0,0,0,0,0
p92,3.147434076,3.56458389,3.750044963,3.965176873,4.007343428,4.020792038,4.126089121,4.129048396,4.059268805,4.173633457,4.345369165,4.570296505,4.722064975,4.465509291,4.623498428
p94,3.481212521,3.253506298,4.310792266,4.639485,4.484237167,4.213423506,4.393779608,4.316627866,4.358291372,4.020803851,4.53383579,4.674862218,4.559367733,4.601233284,4.651823834
p95,2.678654236,2.483760612,2.487970375,2.708307235,3.191092438,0,3.130758056,2.723381301,4.558703483,3.51833323,3.639308631,4.333737282,4.360579891,4.070614233,4.79196066
p97,2.68238427,3.369661506,3.098093278,3.141723333,3.560029186,3.447158395,3.344529922,3.363413901,4.060494809,4.095752208,4.297112503,4.230082604,4.639277923,4.440231909,4.623613587
p99,2.402459119,2.707768668,2.929945153,3.967304112,3.120058521,2.822889464,3.237721594,4.027971373,3.796742633,3.862901372,4.593045886,4.304699476,4.083615438,4.387411678,4.475582595
p100,2.713313348,0,0,4.572905051,0,4.601575302,0,0,4.893008405,0,0,4.893008405,0,4.893008405,4.601575302
p109,0,0,0,0,0,0,0,4.630607323,0,0,0,0,0,0,0
p110,3.058130253,0,0,3.58900372,0,0,4.330095933,0,4.077507004,0,4.719943799,0,0,4.587195379,4.43475082
p115,4.43475082,3.783253921,4.735169424,0,3.812733822,4.317360357,0,4.893008405,4.421393137,4.558703483,0,4.860604376,4.860604376,4.765917277,4.876752563
p116,2.868916473,2.691369398,3.037841171,3.122424915,3.598945302,3.250480977,3.521803146,3.967644416,3.734820879,3.943039064,4.019454727,4.085968157,4.623116386,4.440249929,4.685177874
p117,4.704815774,0,0,4.616045665,0,0,0,0,4.616045665,0,0,0,0,0,4.876752563
p118,2.682440971,2.923088003,2.967030372,3.048945968,3.253918307,3.250486798,3.542002546,3.726932117,3.957866717,3.945970569,3.383134096,3.9560984,4.007646083,4.072899215,4.723651671
p119,3.730157013,0,0,4.100286373,4.502768471,0,4.587195379,4.828626715,0,3.580250052,3.978055614,0,4.844562777,4.587195379,4.719943799
p120,3.184170328,4.448189459,0,0,4.828626715,0,4.488998536,4.461709792,4.601575302,0,0,3.903996068,4.735169424,4.750493597,4.355793832
p121,2.535237515,2.769627399,3.198044709,3.058130253,0,4.342736975,0,3.262005603,3.198044709,4.43475082,4.077507004,3.503347306,4.716553725,4.292112636,4.411233303
p122,4.099429984,4.226263533,3.82762237,4.364996807,4.278420313,4.270428512,4.130210901,4.443907196,4.609839035,4.311178559,4.605397107,4.020783505,4.775773333,4.811777063,4.866098671
p127,2.370700507,2.974641354,3.116558598,3.277685312,3.466519735,3.855111008,4.032921172,3.900993819,4.249648354,4.453507056,4.123551946,3.922486728,4.497083141,4.517789561,4.652848241
p129,2.754038502,0,0,3.453888286,0,0,4.043808599,4.893008405,0,0,4.032699235,0,4.704815774,0,4.781441438
p130,2.625943688,2.402459119,2.688466156,2.678654236,4.712820015,4.206024417,3.97819469,4.0984057,4.243325927,4.645261144,4.828626715,4.490924293,4.869342318,4.808763239,4.781355204
p134,2.929945153,3.405806314,2.929945153,0,4.342906868,4.123321689,0,4.43475082,3.822662816,3.486704326,4.704815774,4.170177618,4.123321689,4.674848794,4.751485475
