,o,r,d,p,n
Hydro,0,0,0,0,1
gas-CT,0,0,0,0,1
gas-CC,0.9957,1,1.021,0.9957,0
Gas-CC-CCS_mod,0.9774,1,1.107,0,0
Gas-CC-CCS_max,0.9774,1,1.107,0,0
Gas-CC-CCS-F1,0.9774,1,1.107,0,0
Gas-CC-CCS-F2,0.9774,1,1.107,0,0
Gas-CC-CCS-F3,0.9774,1,1.107,0,0
CoalOldScr,0.9893,1,1.051,0.9893,0
CoalOldUns,0.9893,1,1.051,0.9893,0
coal-new,0.9893,1,1.051,0.9893,0
coal-IGCC,0.9957,1,1.021,0.9957,0
coal-CCS_mod,0.9929,1,1.034,0,0
coal-CCS_max,0.9929,1,1.034,0,0
coal-CCS-F1,0.9929,1,1.034,0,0
coal-CCS-F2,0.9929,1,1.034,0,0
coal-CCS-F3,0.9929,1,1.034,0,0
o-g-s,0.9893,1,1.051,0.9893,0
nuclear,0.9893,1,1.051,0.9893,0
nuclear-SMR,0.9893,1,1.051,0.9893,0
geothermal,0,0,0,0,1
biopower,0.9893,1,1.051,0.9893,0
beccs_mod,0.9893,1,1.051,0.9893,0
beccs_max,0.9893,1,1.051,0.9893,0
CofireOld,0.9893,1,1.051,0.9893,0
CofireNew,0.9893,1,1.051,0.9893,0
lfill-gas,0,0,0,0,1
ocean,0,0,0,0,1
distpv,0,0,0,0,1
csp-ns,0.9048,0.9524,1,0,0
