*wst,sc_cat,r,value
fsu,cap,p1,0.0
fsu,cap,p2,2108105.0
fsu,cap,p3,6047.0
fsu,cap,p4,0.0
fsu,cap,p5,2827000.0
fsu,cap,p6,697633.0
fsu,cap,p7,853740.0
fsu,cap,p8,0.0
fsu,cap,p9,0.0
fsu,cap,p10,0.0
fsu,cap,p11,0.0
fsu,cap,p12,0.0
fsu,cap,p13,0.0
fsu,cap,p14,2108105.0
fsu,cap,p15,1375915.0
fsu,cap,p16,102301.0
fsu,cap,p17,46355.0
fsu,cap,p18,1013688.0
fsu,cap,p19,1013688.0
fsu,cap,p20,1013688.0
fsu,cap,p21,756328.0
fsu,cap,p22,433755.0
fsu,cap,p23,105583.0
fsu,cap,p24,1389325.0
fsu,cap,p25,41398.0
fsu,cap,p26,0.0
fsu,cap,p27,0.0
fsu,cap,p28,217112.0
fsu,cap,p29,0.0
fsu,cap,p30,0.0
fsu,cap,p31,0.0
fsu,cap,p32,17478.0
fsu,cap,p33,234939.0
fsu,cap,p34,52788.0
fsu,cap,p35,1090620.0
fsu,cap,p36,2327321.0
fsu,cap,p37,2929000.0
fsu,cap,p38,3888084.0
fsu,cap,p39,99458.0
fsu,cap,p40,96142.0
fsu,cap,p41,6724421.0
fsu,cap,p42,1917384.0
fsu,cap,p43,2372166.0
fsu,cap,p44,712261.0
fsu,cap,p45,6982289.0
fsu,cap,p46,3376036.0
fsu,cap,p47,0.0
fsu,cap,p48,2.0
fsu,cap,p49,0.0
fsu,cap,p50,3534064.0
fsu,cap,p51,3534064.0
fsu,cap,p52,45343.0
fsu,cap,p53,6646844.0
fsu,cap,p54,10950337.0
fsu,cap,p55,2162598.0
fsu,cap,p56,336467.0
fsu,cap,p57,377906.0
fsu,cap,p58,73397170.0
fsu,cap,p59,0.0
fsu,cap,p60,0.0
fsu,cap,p61,0.0
fsu,cap,p62,0.0
fsu,cap,p63,212144.0
fsu,cap,p64,92064.0
fsu,cap,p65,5975.0
fsu,cap,p66,188030.0
fsu,cap,p67,0.0
fsu,cap,p68,2795085.0
fsu,cap,p69,5149249.0
fsu,cap,p70,6221339.0
fsu,cap,p71,13101254.0
fsu,cap,p72,94412133.0
fsu,cap,p73,30166907.0
fsu,cap,p74,654678.0
fsu,cap,p75,1036493.0
fsu,cap,p76,1731452.0
fsu,cap,p77,6221605.0
fsu,cap,p78,1149837.0
fsu,cap,p79,376534.0
fsu,cap,p80,6221605.0
fsu,cap,p81,64052802.0
fsu,cap,p82,3088964.0
fsu,cap,p83,4479896.0
fsu,cap,p84,66920520.0
fsu,cap,p85,85974485.0
fsu,cap,p86,83789183.0
fsu,cap,p87,85072553.0
fsu,cap,p88,8884256.0
fsu,cap,p89,10845085.0
fsu,cap,p90,12964772.0
fsu,cap,p91,3147203.0
fsu,cap,p92,77556958.0
fsu,cap,p93,110909209.0
fsu,cap,p94,3083539.0
fsu,cap,p95,851391.0
fsu,cap,p96,1959973.0
fsu,cap,p97,2566842.0
fsu,cap,p98,1135186.0
fsu,cap,p99,1981727.0
fsu,cap,p100,1575795.0
fsu,cap,p101,3147203.0
fsu,cap,p102,245550.0
fsu,cap,p103,3071145.0
fsu,cap,p104,579954.0
fsu,cap,p105,1904359.0
fsu,cap,p106,339700.0
fsu,cap,p107,19651980.0
fsu,cap,p108,23377089.0
fsu,cap,p109,14598727.0
fsu,cap,p110,11218717.0
fsu,cap,p111,6279492.0
fsu,cap,p112,11225298.0
fsu,cap,p113,763937.0
fsu,cap,p114,12157037.0
fsu,cap,p115,4636726.0
fsu,cap,p116,6712102.0
fsu,cap,p117,10367970.0
fsu,cap,p118,1616049.0
fsu,cap,p119,3082095.0
fsu,cap,p120,1457574.0
fsu,cap,p121,1669891.0
fsu,cap,p122,4954429.0
fsu,cap,p123,1981727.0
fsu,cap,p124,66047.0
fsu,cap,p125,695038.0
fsu,cap,p126,2758258.0
fsu,cap,p127,3831467.0
fsu,cap,p128,258291.0
fsu,cap,p129,3258525.0
fsu,cap,p130,1475033.0
fsu,cap,p131,2531689.0
fsu,cap,p132,5237113.0
fsu,cap,p133,207499.0
fsu,cap,p134,1857035.0
fsu,cap,p137,310534305.0
fsu,cap,p138,310534305.0
fsu,cap,p139,310534305.0
fsu,cap,p140,310534305.0
fsu,cap,p141,310534305.0
fsu,cap,p142,310534305.0
fsu,cap,p143,310534305.0
fsu,cap,p144,310534305.0
fsu,cap,p145,310534305.0
fsu,cap,p146,310534305.0
fsu,cap,p147,310534305.0
fsu,cap,p148,310534305.0
fsu,cap,p149,310534305.0
fsu,cap,p150,310534305.0
fsu,cap,p151,310534305.0
fsu,cap,p152,310534305.0
fsu,cap,p153,310534305.0
fsu,cap,p154,310534305.0
fsu,cap,p155,310534305.0
fsu,cap,p156,310534305.0
fsu,cap,p157,310534305.0
fsu,cap,p158,310534305.0
fsu,cap,p159,310534305.0
fsu,cap,p160,310534305.0
fsu,cap,p161,310534305.0
fsu,cap,p162,310534305.0
fsu,cap,p163,310534305.0
fsu,cap,p164,310534305.0
fsu,cap,p165,310534305.0
fsu,cap,p166,310534305.0
fsu,cap,p167,310534305.0
fsu,cap,p168,310534305.0
fsu,cap,p169,310534305.0
fsu,cap,p170,310534305.0
fsu,cap,p171,310534305.0
fsu,cap,p172,310534305.0
fsu,cap,p173,310534305.0
fsu,cap,p174,310534305.0
fsu,cap,p175,310534305.0
fsu,cap,p176,310534305.0
fsu,cap,p177,310534305.0
fsu,cap,p178,310534305.0
fsu,cap,p179,310534305.0
fsu,cap,p180,310534305.0
fsu,cap,p181,310534305.0
fsu,cap,p182,310534305.0
fsu,cap,p183,310534305.0
