wst,r,wint,spri,summ,fall
fsu,p1,0,0,0,0
fsu,p2,0.62,0.38,0,0
fsu,p3,0,0.75,0.25,0
fsu,p4,0,0,0,0
fsu,p5,0.42,0.37,0.15,0.05
fsu,p6,0.63,0.37,0,0
fsu,p7,0.62,0.38,0,0
fsu,p8,0,0,0,0
fsu,p9,0,0,0,0
fsu,p10,0,0,0,0
fsu,p11,0,0,0,0
fsu,p12,0,0,0,0
fsu,p13,0,0,0,0
fsu,p14,0.15,0.39,0.38,0.07
fsu,p15,0.14,0.49,0.37,0
fsu,p16,0,1,0,0
fsu,p17,0.27,0.73,0,0
fsu,p18,0.17,0.33,0.4,0.1
fsu,p19,0.17,0.31,0.39,0.13
fsu,p20,0.17,0.28,0.42,0.14
fsu,p21,0.16,0.34,0.41,0.09
fsu,p22,0.13,0.49,0.28,0.09
fsu,p23,0.08,0.44,0.33,0.14
fsu,p24,0.17,0.83,0,0
fsu,p25,0.26,0.74,0,0
fsu,p26,0,0,0,0
fsu,p27,0,0,0,0
fsu,p28,0,0,0,0
fsu,p29,0,0,0,0
fsu,p30,0,0,0,0
fsu,p31,0,0,0,0
fsu,p32,0.08,0.45,0.32,0.15
fsu,p33,0.18,0.59,0.24,0
fsu,p34,0.12,0.79,0.1,0
fsu,p35,0.11,0.3,0.42,0.17
fsu,p36,0.12,0.3,0.4,0.18
fsu,p37,0.25,0.27,0.3,0.18
fsu,p38,0.1,0.39,0.35,0.16
fsu,p39,0.12,0.41,0.37,0.1
fsu,p40,0.29,0.71,0,0
fsu,p41,0,1,0,0
fsu,p42,0.26,0.37,0.21,0.17
fsu,p43,0.19,0.38,0.28,0.15
fsu,p44,0,0.79,0.21,0
fsu,p45,0.16,0.41,0.3,0.13
fsu,p46,0.21,0.4,0.27,0.11
fsu,p47,0.26,0.24,0.28,0.22
fsu,p48,0.3,0.32,0.21,0.17
fsu,p49,0.32,0.33,0.2,0.15
fsu,p50,0.37,0.39,0.12,0.12
fsu,p51,0,0,0,0
fsu,p52,0.28,0.34,0.25,0.13
fsu,p53,0.32,0.35,0.2,0.12
fsu,p54,0.28,0.42,0.16,0.14
fsu,p55,0.44,0.56,0,0
fsu,p56,0.43,0.4,0.09,0.08
fsu,p57,0.41,0.37,0.11,0.11
fsu,p58,0.46,0.29,0.15,0.1
fsu,p59,0,0,0,0
fsu,p60,0.32,0.29,0.18,0.2
fsu,p61,0.31,0.23,0.24,0.23
fsu,p62,0.29,0.24,0.22,0.25
fsu,p63,0,0,0,0
fsu,p64,0.85,0.15,0,0
fsu,p65,0.29,0.19,0.22,0.3
fsu,p66,0.41,0.3,0.15,0.14
fsu,p67,0.97,0.03,0,0
fsu,p68,0.15,0.39,0.34,0.12
fsu,p69,0.19,0.4,0.3,0.11
fsu,p70,0.2,0.39,0.29,0.12
fsu,p71,0.29,0.41,0.2,0.11
fsu,p72,0.37,0.39,0.14,0.1
fsu,p73,0.41,0.4,0.12,0.08
fsu,p74,0.27,0.43,0.17,0.13
fsu,p75,0.28,0.36,0.23,0.13
fsu,p76,0.27,0.37,0.22,0.13
fsu,p77,0.24,0.37,0.27,0.12
fsu,p78,0.22,0.41,0.26,0.11
fsu,p79,0.27,0.39,0.23,0.11
fsu,p80,0.25,0.44,0.22,0.09
fsu,p81,0.35,0.42,0.15,0.08
fsu,p82,0.28,0.46,0.18,0.08
fsu,p83,0.36,0.42,0.15,0.07
fsu,p84,0.42,0.39,0.11,0.08
fsu,p85,0.44,0.4,0.09,0.07
fsu,p86,0.47,0.38,0.09,0.06
fsu,p87,0.44,0.34,0.14,0.08
fsu,p88,0.44,0.35,0.13,0.07
fsu,p89,0.44,0.34,0.14,0.08
fsu,p90,0.39,0.31,0.18,0.12
fsu,p91,0.36,0.28,0.21,0.15
fsu,p92,0.49,0.35,0.1,0.06
fsu,p93,0.49,0.36,0.09,0.06
fsu,p94,0.39,0.31,0.18,0.12
fsu,p95,0.36,0.3,0.19,0.15
fsu,p96,0.36,0.3,0.2,0.15
fsu,p97,0.4,0.31,0.16,0.12
fsu,p98,0.35,0.29,0.21,0.16
fsu,p99,0.4,0.32,0.16,0.12
fsu,p100,0.42,0.33,0.14,0.11
fsu,p101,0.31,0.22,0.25,0.22
fsu,p102,0.29,0.16,0.29,0.26
fsu,p103,0.33,0.4,0.17,0.1
fsu,p104,0.35,0.38,0.18,0.09
fsu,p105,0.36,0.41,0.15,0.08
fsu,p106,0.38,0.41,0.14,0.07
fsu,p107,0.39,0.41,0.13,0.07
fsu,p108,0.46,0.37,0.1,0.06
fsu,p109,0.47,0.37,0.1,0.06
fsu,p110,0.46,0.36,0.11,0.06
fsu,p111,0.38,0.38,0.16,0.08
fsu,p112,0.38,0.4,0.15,0.07
fsu,p113,0.39,0.41,0.13,0.06
fsu,p114,0.41,0.4,0.12,0.06
fsu,p115,0.4,0.41,0.12,0.07
fsu,p116,0.42,0.38,0.13,0.08
fsu,p117,0.45,0.37,0.12,0.07
fsu,p118,0.43,0.34,0.14,0.1
fsu,p119,0.41,0.39,0.12,0.08
fsu,p120,0.43,0.37,0.11,0.09
fsu,p121,0.42,0.36,0.13,0.09
fsu,p122,0.41,0.39,0.12,0.09
fsu,p123,0.42,0.33,0.14,0.11
fsu,p124,0.42,0.34,0.13,0.11
fsu,p125,0.42,0.35,0.13,0.11
fsu,p126,0.42,0.35,0.12,0.11
fsu,p127,0.38,0.42,0.12,0.08
fsu,p128,0.43,0.34,0.12,0.12
fsu,p129,0.35,0.46,0.11,0.08
fsu,p130,0.4,0.43,0.1,0.07
fsu,p131,0.44,0.39,0.1,0.07
fsu,p132,0.45,0.38,0.1,0.07
fsu,p133,0.48,0.35,0.1,0.07
fsu,p134,0.35,0.45,0.11,0.08
fsu,p135,0.33,0.25,0.25,0.17
fsu,p136,0.33,0.25,0.25,0.17
fsu,p137,0.33,0.25,0.25,0.17
fsu,p138,0.33,0.25,0.25,0.17
fsu,p139,0.33,0.25,0.25,0.17
fsu,p140,0.33,0.25,0.25,0.17
fsu,p141,0.33,0.25,0.25,0.17
fsu,p142,0.33,0.25,0.25,0.17
fsu,p143,0.33,0.25,0.25,0.17
fsu,p144,0.33,0.25,0.25,0.17
fsu,p145,0.33,0.25,0.25,0.17
fsu,p146,0.33,0.25,0.25,0.17
fsu,p147,0.33,0.25,0.25,0.17
fsu,p148,0.33,0.25,0.25,0.17
fsu,p149,0.33,0.25,0.25,0.17
fsu,p150,0.33,0.25,0.25,0.17
fsu,p151,0.33,0.25,0.25,0.17
fsu,p152,0.33,0.25,0.25,0.17
fsu,p153,0.33,0.25,0.25,0.17
fsu,p154,0.33,0.25,0.25,0.17
fsu,p155,0.33,0.25,0.25,0.17
fsu,p156,0.33,0.25,0.25,0.17
fsu,p157,0.33,0.25,0.25,0.17
fsu,p158,0.33,0.25,0.25,0.17
fsu,p159,0.33,0.25,0.25,0.17
fsu,p160,0.33,0.25,0.25,0.17
fsu,p161,0.33,0.25,0.25,0.17
fsu,p162,0.33,0.25,0.25,0.17
fsu,p163,0.33,0.25,0.25,0.17
fsu,p164,0.33,0.25,0.25,0.17
fsu,p165,0.33,0.25,0.25,0.17
fsu,p166,0.33,0.25,0.25,0.17
fsu,p167,0.33,0.25,0.25,0.17
fsu,p168,0.33,0.25,0.25,0.17
fsu,p169,0.33,0.25,0.25,0.17
fsu,p170,0.33,0.25,0.25,0.17
fsu,p171,0.33,0.25,0.25,0.17
