state,year,cust_res,cust_com,cust_ind,cust
AK,2000,230534.0,38074.0,854.0,273530.0
AK,2001,234646.0,38290.0,908.0,279149.0
AK,2002,239822.0,37681.0,1842.0,284821.0
AK,2003,246921.0,41843.0,2078.0,290842.0
AK,2004,251198.0,44047.0,1113.0,296358.0
AK,2005,256717.0,44834.0,1123.0,302674.0
AK,2006,261502.0,45690.0,1383.0,308575.0
AK,2007,265449.0,46047.0,1349.0,312845.0
AK,2008,268824.0,47069.0,1350.0,317243.0
AK,2009,269745.0,47350.0,1367.0,318462.0
AK,2010,271956.0,47844.0,1350.0,321150.0
AK,2011,273855.0,48503.0,1250.0,323608.0
AK,2012,275405.0,48790.0,1263.0,325458.0
AK,2013,277275.0,49182.0,1314.0,327771.0
AK,2014,281438.0,51017.0,1287.0,333742.0
AK,2015,282282.0,50642.0,1299.0,334223.0
AK,2016,283260.0,52804.0,1343.0,337407.0
AK,2017,285697.0,53472.0,1374.0,340543.0
AK,2018,287526.0,53957.0,1387.0,342870.0
AL,2000,1930037.0,313017.0,6252.0,2262753.0
AL,2001,1946833.0,318692.0,6053.0,2285407.0
AL,2002,1970678.0,326065.0,6160.0,2317229.0
AL,2003,1988013.0,344491.0,6500.0,2339004.0
AL,2004,2012781.0,346024.0,8490.0,2367295.0
AL,2005,2037474.0,352197.0,8721.0,2398392.0
AL,2006,2065096.0,359846.0,8878.0,2433820.0
AL,2007,2093093.0,365740.0,9828.0,2468661.0
AL,2008,2110859.0,371024.0,9260.0,2491143.0
AL,2009,2128009.0,353885.0,9252.0,2491146.0
AL,2010,2138911.0,356296.0,6915.0,2502122.0
AL,2011,2142625.0,356074.0,6491.0,2505190.0
AL,2012,2150977.0,357395.0,7168.0,2515540.0
AL,2013,2158898.0,358712.0,7029.0,2524639.0
AL,2014,2169790.0,360901.0,7236.0,2537927.0
AL,2015,2182616.0,362871.0,7254.0,2552741.0
AL,2016,2200574.0,367009.0,7266.0,2574849.0
AL,2017,2213592.0,369984.0,8047.0,2591623.0
AL,2018,2229472.0,371097.0,7343.0,2607912.0
AR,2000,1177901.0,143544.0,25597.0,1362838.0
AR,2001,1189161.0,148144.0,25220.0,1376944.0
AR,2002,1201823.0,151692.0,25021.0,1390891.0
AR,2003,1221890.0,162887.0,31145.0,1415922.0
AR,2004,1240613.0,166616.0,31687.0,1438916.0
AR,2005,1260764.0,167772.0,31364.0,1459900.0
AR,2006,1283520.0,171018.0,31422.0,1485960.0
AR,2007,1298492.0,173714.0,31471.0,1503677.0
AR,2008,1308810.0,176049.0,31694.0,1516555.0
AR,2009,1315041.0,177635.0,31757.0,1524435.0
AR,2010,1322833.0,178962.0,32408.0,1534205.0
AR,2011,1328286.0,180291.0,32761.0,1541340.0
AR,2012,1332154.0,181823.0,33926.0,1547905.0
AR,2013,1339680.0,182941.0,34699.0,1557322.0
AR,2014,1345009.0,185842.0,35685.0,1566538.0
