dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Gas-CT_H2-CT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CoalOldUns_CoalOldScr,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CoalOldUns_CofireOld,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CoalOldScr_CofireOld,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gas-CC_Gas-CC-CCS_mod,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,0.977,0.964,0.943,0.923,0.903,0.883,0.864,0.846,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827
Coal-IGCC_coal-CCS_mod,1,1,1,1,1,1,1,1,1,1,1,1,1,0.991,0.981,0.955,0.928,0.902,0.877,0.851,0.826,0.801,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777
coal-new_coal-CCS_mod,1,1,1,1,1,1,1,1,1,1,1,1,1,0.991,0.981,0.955,0.928,0.902,0.877,0.851,0.826,0.801,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777
CoalOldScr_coal-CCS_mod,1,1,1,1,1,1,1,1,1,1,1,1,1,0.991,0.981,0.955,0.928,0.902,0.877,0.851,0.826,0.801,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777
CoalOldUns_coal-CCS_mod,1,1,1,1,1,1,1,1,1,1,1,1,1,0.991,0.981,0.955,0.928,0.902,0.877,0.851,0.826,0.801,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777
CofireNew_coal-CCS_mod,1,1,1,1,1,1,1,1,1,1,1,1,1,0.991,0.981,0.955,0.928,0.902,0.877,0.851,0.826,0.801,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777
CofireOld_coal-CCS_mod,1,1,1,1,1,1,1,1,1,1,1,1,1,0.991,0.981,0.955,0.928,0.902,0.877,0.851,0.826,0.801,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777
Gas-CC_Gas-CC-CCS_max,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,0.977,0.964,0.943,0.923,0.903,0.883,0.864,0.846,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827
Coal-IGCC_coal-CCS_max,1,1,1,1,1,1,1,1,1,1,1,1,1,0.991,0.981,0.955,0.928,0.902,0.877,0.851,0.826,0.801,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777
coal-new_coal-CCS_max,1,1,1,1,1,1,1,1,1,1,1,1,1,0.991,0.981,0.955,0.928,0.902,0.877,0.851,0.826,0.801,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777
CoalOldScr_coal-CCS_max,1,1,1,1,1,1,1,1,1,1,1,1,1,0.991,0.981,0.955,0.928,0.902,0.877,0.851,0.826,0.801,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777
CoalOldUns_coal-CCS_max,1,1,1,1,1,1,1,1,1,1,1,1,1,0.991,0.981,0.955,0.928,0.902,0.877,0.851,0.826,0.801,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777
