*TO-WATER,FROM-WATER,DELTA-WATER
gas-CC_o_fsu_H2-CT,gas-CC_o_fsu,H2-CT
gas-CC_o_fsa_H2-CT,gas-CC_o_fsa,H2-CT
gas-CC_o_fsl_H2-CT,gas-CC_o_fsl,H2-CT
gas-CC_o_fg_H2-CT,gas-CC_o_fg,H2-CT
gas-CC_o_sg_H2-CT,gas-CC_o_sg,H2-CT
gas-CC_o_ss_H2-CT,gas-CC_o_ss,H2-CT
gas-CC_o_ww_H2-CT,gas-CC_o_ww,H2-CT
gas-CC_r_fsu_H2-CT,gas-CC_r_fsu,H2-CT
gas-CC_r_fsa_H2-CT,gas-CC_r_fsa,H2-CT
gas-CC_r_fsl_H2-CT,gas-CC_r_fsl,H2-CT
gas-CC_r_fg_H2-CT,gas-CC_r_fg,H2-CT
gas-CC_r_sg_H2-CT,gas-CC_r_sg,H2-CT
gas-CC_r_ss_H2-CT,gas-CC_r_ss,H2-CT
gas-CC_r_ww_H2-CT,gas-CC_r_ww,H2-CT
gas-CC_p_fsu_H2-CT,gas-CC_p_fsu,H2-CT
gas-CC_p_fsa_H2-CT,gas-CC_p_fsa,H2-CT
gas-CC_p_fsl_H2-CT,gas-CC_p_fsl,H2-CT
gas-CC_p_fg_H2-CT,gas-CC_p_fg,H2-CT
gas-CC_p_sg_H2-CT,gas-CC_p_sg,H2-CT
gas-CC_p_ss_H2-CT,gas-CC_p_ss,H2-CT
gas-CC_p_ww_H2-CT,gas-CC_p_ww,H2-CT
gas-CC_d_fsu_H2-CT,gas-CC_d_fsu,H2-CT
gas-CC_d_fsa_H2-CT,gas-CC_d_fsa,H2-CT
gas-CC_d_fsl_H2-CT,gas-CC_d_fsl,H2-CT
gas-CC_d_fg_H2-CT,gas-CC_d_fg,H2-CT
gas-CC_d_sg_H2-CT,gas-CC_d_sg,H2-CT
gas-CC_d_ss_H2-CT,gas-CC_d_ss,H2-CT
gas-CC_d_ww_H2-CT,gas-CC_d_ww,H2-CT
