*TO,FROM,DELTA
CoalOldUns_CoalOldScr,CoalOldUns,CoalOldScr
CoalOldUns_CofireOld,CoalOldUns,CofireOld
CoalOldScr_CofireOld,CoalOldScr,CofireOld
Gas-CC_Gas-CC-CCS_mod,Gas-CC,Gas-CC-CCS_mod
Coal-IGCC_coal-CCS_mod,Coal-IGCC,coal-CCS_mod
coal-new_coal-CCS_mod,coal-new,coal-CCS_mod
CoalOldScr_coal-CCS_mod,CoalOldScr,coal-CCS_mod
CoalOldUns_coal-CCS_mod,CoalOldUns,coal-CCS_mod
CofireNew_coal-CCS_mod,CofireNew,coal-CCS_mod
CofireOld_coal-CCS_mod,CofireOld,coal-CCS_mod
Gas-CC_Gas-CC-CCS_max,Gas-CC,Gas-CC-CCS_max
Coal-IGCC_coal-CCS_max,Coal-IGCC,coal-CCS_max
coal-new_coal-CCS_max,coal-new,coal-CCS_max
CoalOldScr_coal-CCS_max,CoalOldScr,coal-CCS_max
CoalOldUns_coal-CCS_max,CoalOldUns,coal-CCS_max
CofireNew_coal-CCS_max,CofireNew,coal-CCS_max
CofireOld_coal-CCS_max,CofireOld,coal-CCS_max
Gas-CT_RE-CT,Gas-CT,RE-CT
Gas-CC_RE-CC,Gas-CC,RE-CC
hydEND_hydED,hydEND,hydED
hydED_pumped-hydro,hydED,pumped-hydro
hydED_pumped-hydro-flex,hydED,pumped-hydro-flex
