*i
gas-CC_o_fsu_H2-CC
gas-CC_o_fsa_H2-CC
gas-CC_o_fsl_H2-CC
gas-CC_o_fg_H2-CC
gas-CC_o_sg_H2-CC
gas-CC_o_ss_H2-CC
gas-CC_o_ww_H2-CC
gas-CC_r_fsu_H2-CC
gas-CC_r_fsa_H2-CC
gas-CC_r_fsl_H2-CC
gas-CC_r_fg_H2-CC
gas-CC_r_sg_H2-CC
gas-CC_r_ss_H2-CC
gas-CC_r_ww_H2-CC
gas-CC_p_fsu_H2-CC
gas-CC_p_fsa_H2-CC
gas-CC_p_fsl_H2-CC
gas-CC_p_fg_H2-CC
gas-CC_p_sg_H2-CC
gas-CC_p_ss_H2-CC
gas-CC_p_ww_H2-CC
gas-CC_d_fsu_H2-CC
gas-CC_d_fsa_H2-CC
gas-CC_d_fsl_H2-CC
gas-CC_d_fg_H2-CC
gas-CC_d_sg_H2-CC
gas-CC_d_ss_H2-CC
gas-CC_d_ww_H2-CC
coal-IGCC_o_fsu_coal-CCS_mod_o_fsu
coal-IGCC_o_fsa_coal-CCS_mod_o_fsa
coal-IGCC_o_fsl_coal-CCS_mod_o_fsl
coal-IGCC_o_fg_coal-CCS_mod_o_fg
coal-IGCC_o_sg_coal-CCS_mod_o_sg
coal-IGCC_o_ss_coal-CCS_mod_o_ss
coal-IGCC_o_ww_coal-CCS_mod_o_ww
coal-IGCC_r_fsu_coal-CCS_mod_r_fsu
coal-IGCC_r_fsa_coal-CCS_mod_r_fsa
coal-IGCC_r_fsl_coal-CCS_mod_r_fsl
coal-IGCC_r_fg_coal-CCS_mod_r_fg
coal-IGCC_r_sg_coal-CCS_mod_r_sg
coal-IGCC_r_ss_coal-CCS_mod_r_ss
coal-IGCC_r_ww_coal-CCS_mod_r_ww
coal-IGCC_p_fsu_coal-CCS_mod_p_fsu
coal-IGCC_p_fsa_coal-CCS_mod_p_fsa
coal-IGCC_p_fsl_coal-CCS_mod_p_fsl
coal-IGCC_p_fg_coal-CCS_mod_p_fg
