dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Gas-CT_H2-CT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gas-CC_H2-CC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CoalOldUns_CoalOldScr,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CoalOldUns_CofireOld,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CoalOldScr_CofireOld,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gas-CC_Gas-CC-CCS_mod,1.14187643,1.14187643,1.14187643,1.14187643,1.14187643,1.14187643,1.14187643,1.14187643,1.14187643,1.14187643,1.14187643,1.14187643,1.14187643,1.118169336,1.094553776,1.070938215,1.047231121,1.023615561,1,0.976292906,0.952677346,0.929061785,0.905354691,0.88173913,0.85812357,0.834416476,0.824897025,0.815286041,0.80576659,0.79624714,0.786636156,0.777116705,0.767597254,0.75798627,0.748466819,0.738947368,0.729336384,0.719816934,0.71020595,0.700686499,0.691167048
Coal-IGCC_coal-CCS_mod,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.112247782,1.089809529,1.067371277,1.044876505,1.022438252,1,0.977561748,0.955066976,0.932628723,0.910190471,0.887695699,0.865257446,0.842819194,0.833549992,0.824337309,0.815068106,0.805798904,0.796586221,0.787317018,0.778047816,0.768835133,0.75956593,0.750296728,0.741084045,0.731814842,0.72254564,0.713332957,0.704063754
coal-new_coal-CCS_mod,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.112247782,1.089809529,1.067371277,1.044876505,1.022438252,1,0.977561748,0.955066976,0.932628723,0.910190471,0.887695699,0.865257446,0.842819194,0.833549992,0.824337309,0.815068106,0.805798904,0.796586221,0.787317018,0.778047816,0.768835133,0.75956593,0.750296728,0.741084045,0.731814842,0.72254564,0.713332957,0.704063754
CoalOldScr_coal-CCS_mod,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.112247782,1.089809529,1.067371277,1.044876505,1.022438252,1,0.977561748,0.955066976,0.932628723,0.910190471,0.887695699,0.865257446,0.842819194,0.833549992,0.824337309,0.815068106,0.805798904,0.796586221,0.787317018,0.778047816,0.768835133,0.75956593,0.750296728,0.741084045,0.731814842,0.72254564,0.713332957,0.704063754
CoalOldUns_coal-CCS_mod,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.134686034,1.112247782,1.089809529,1.067371277,1.044876505,1.022438252,1,0.977561748,0.955066976,0.932628723,0.910190471,0.887695699,0.865257446,0.842819194,0.833549992,0.824337309,0.815068106,0.805798904,0.796586221,0.787317018,0.778047816,0.768835133,0.75956593,0.750296728,0.741084045,0.731814842,0.72254564,0.713332957,0.704063754
