dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Gas-CT_H2-CT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CoalOldUns_CoalOldScr,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CoalOldUns_CofireOld,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CoalOldScr_CofireOld,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gas-CC_Gas-CC-CCS_mod,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.987138264,0.974276527,0.938906752,0.903536977,0.871382637,0.837084673,0.803858521,0.772775991,0.739549839,0.739549839,0.739549839,0.739549839,0.739549839,0.739549839,0.739549839,0.739549839,0.739549839,0.739549839,0.739549839,0.739549839,0.739549839,0.739549839,0.739549839,0.739549839,0.739549839,0.739549839,0.739549839
Coal-IGCC_coal-CCS_mod,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.990546218,0.93907563,0.888655462,0.838235294,0.788865546,0.740546218,0.692226891,0.644957983,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286
coal-new_coal-CCS_mod,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.990546218,0.93907563,0.888655462,0.838235294,0.788865546,0.740546218,0.692226891,0.644957983,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286
CoalOldScr_coal-CCS_mod,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.990546218,0.93907563,0.888655462,0.838235294,0.788865546,0.740546218,0.692226891,0.644957983,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286
CoalOldUns_coal-CCS_mod,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.990546218,0.93907563,0.888655462,0.838235294,0.788865546,0.740546218,0.692226891,0.644957983,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286
CofireNew_coal-CCS_mod,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.990546218,0.93907563,0.888655462,0.838235294,0.788865546,0.740546218,0.692226891,0.644957983,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286
CofireOld_coal-CCS_mod,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.990546218,0.93907563,0.888655462,0.838235294,0.788865546,0.740546218,0.692226891,0.644957983,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286
Gas-CC_Gas-CC-CCS_max,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.987138264,0.974276527,0.938906752,0.903536977,0.871382637,0.837084673,0.803858521,0.772775991,0.739549839,0.739549839,0.739549839,0.739549839,0.739549839,0.739549839,0.739549839,0.739549839,0.739549839,0.739549839,0.739549839,0.739549839,0.739549839,0.739549839,0.739549839,0.739549839,0.739549839,0.739549839,0.739549839
Coal-IGCC_coal-CCS_max,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.990546218,0.93907563,0.888655462,0.838235294,0.788865546,0.740546218,0.692226891,0.644957983,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286,0.598214286
