*i,ii,ctt,wst
gas-CC_o_fsu_H2-CT,Gas-CC_H2-CT,o,fsu
gas-CC_o_fsa_H2-CT,Gas-CC_H2-CT,o,fsa
gas-CC_o_fsl_H2-CT,Gas-CC_H2-CT,o,fsl
gas-CC_o_fg_H2-CT,Gas-CC_H2-CT,o,fg
gas-CC_o_sg_H2-CT,Gas-CC_H2-CT,o,sg
gas-CC_o_ss_H2-CT,Gas-CC_H2-CT,o,ss
gas-CC_o_ww_H2-CT,Gas-CC_H2-CT,o,ww
gas-CC_r_fsu_H2-CT,Gas-CC_H2-CT,r,fsu
gas-CC_r_fsa_H2-CT,Gas-CC_H2-CT,r,fsa
gas-CC_r_fsl_H2-CT,Gas-CC_H2-CT,r,fsl
gas-CC_r_fg_H2-CT,Gas-CC_H2-CT,r,fg
gas-CC_r_sg_H2-CT,Gas-CC_H2-CT,r,sg
gas-CC_r_ss_H2-CT,Gas-CC_H2-CT,r,ss
gas-CC_r_ww_H2-CT,Gas-CC_H2-CT,r,ww
gas-CC_p_fsu_H2-CT,Gas-CC_H2-CT,p,fsu
gas-CC_p_fsa_H2-CT,Gas-CC_H2-CT,p,fsa
gas-CC_p_fsl_H2-CT,Gas-CC_H2-CT,p,fsl
gas-CC_p_fg_H2-CT,Gas-CC_H2-CT,p,fg
gas-CC_p_sg_H2-CT,Gas-CC_H2-CT,p,sg
gas-CC_p_ss_H2-CT,Gas-CC_H2-CT,p,ss
gas-CC_p_ww_H2-CT,Gas-CC_H2-CT,p,ww
gas-CC_d_fsu_H2-CT,Gas-CC_H2-CT,d,fsu
gas-CC_d_fsa_H2-CT,Gas-CC_H2-CT,d,fsa
gas-CC_d_fsl_H2-CT,Gas-CC_H2-CT,d,fsl
gas-CC_d_fg_H2-CT,Gas-CC_H2-CT,d,fg
gas-CC_d_sg_H2-CT,Gas-CC_H2-CT,d,sg
gas-CC_d_ss_H2-CT,Gas-CC_H2-CT,d,ss
gas-CC_d_ww_H2-CT,Gas-CC_H2-CT,d,ww
