t,atb22_1p2_moderate,atb22_1p2_advanced
2010,1103.425748,905.5965887
2011,1103.425748,905.5965887
2012,1103.425748,905.5965887
2013,1103.425748,905.5965887
2014,1103.425748,905.5965887
2015,1103.425748,905.5965887
2016,1103.425748,905.5965887
2017,1103.425748,905.5965887
2018,1103.425748,905.5965887
2019,1103.425748,905.5965887
2020,1103.425748,905.5965887
2021,1103.425748,905.5965887
2022,1103.425748,905.5965887
2023,1091.901719,895.9932315
2024,1077.496684,884.4692028
2025,1064.051983,872.9451741
2026,1041.003926,841.2540952
2027,1017.955869,809.5630162
2028,996.8284826,780.7529445
2029,974.7407609,750.0222013
2030,953.613375,720.2517938
2031,933.4463248,692.4020578
2032,912.3189388,662.6316503
2033,892.1518886,634.7819143
2034,867.1831597,598.2891567
2035,843.1747666,561.7963992
2036,818.2060378,526.2639773
2037,795.1579803,490.7315555
2038,770.1892515,456.1594694
2039,761.54623,449.4371193
2040,750.982537,441.7544335
2041,740.418844,434.0717477
2042,730.8154868,427.3493977
2043,720.2517938,419.6667119
2044,710.6484365,411.9840261
2045,700.0847436,404.3013402
2046,690.4813863,397.5789902
2047,679.9176933,389.8963044
2048,671.2746718,384.13429
2049,661.6713146,376.4516042
2050,652.0679573,368.7689184
