nercr,t,source,MW,MW_TotalDemand
MISO,2024,NERC_LTRA_2023,2125,121933
MISO,2025,NERC_LTRA_2023,1129,122726
MISO,2026,NERC_LTRA_2023,1159,123315
MISO,2027,NERC_LTRA_2023,1057,123888
MISO,2028,NERC_LTRA_2023,906,124659
MISO,2029,NERC_LTRA_2023,911,125140
MISO,2030,NERC_LTRA_2023,806,125591
MISO,2031,NERC_LTRA_2023,805,126135
MISO,2032,NERC_LTRA_2023,781,126593
MISO,2033,NERC_LTRA_2023,781,126593
NPCC_NE,2024,NERC_LTRA_2023,1297,24633
NPCC_NE,2025,NERC_LTRA_2023,1504,24708
NPCC_NE,2026,NERC_LTRA_2023,567,24866
NPCC_NE,2027,NERC_LTRA_2023,84,25052
NPCC_NE,2028,NERC_LTRA_2023,84,25307
NPCC_NE,2029,NERC_LTRA_2023,84,25636
NPCC_NE,2030,NERC_LTRA_2023,84,26036
NPCC_NE,2031,NERC_LTRA_2023,84,26505
NPCC_NE,2032,NERC_LTRA_2023,84,27046
NPCC_NE,2033,NERC_LTRA_2023,84,27598
NPCC_NY,2024,NERC_LTRA_2023,1932,32280
NPCC_NY,2025,NERC_LTRA_2023,1815,32390
NPCC_NY,2026,NERC_LTRA_2023,3212,32440
NPCC_NY,2027,NERC_LTRA_2023,3518,32410
NPCC_NY,2028,NERC_LTRA_2023,3518,32310
NPCC_NY,2029,NERC_LTRA_2023,3518,32300
NPCC_NY,2030,NERC_LTRA_2023,3518,32490
NPCC_NY,2031,NERC_LTRA_2023,3518,32750
NPCC_NY,2032,NERC_LTRA_2023,3518,33110
NPCC_NY,2033,NERC_LTRA_2023,3518,33520
PJM,2024,NERC_LTRA_2023,-607,149737
PJM,2025,NERC_LTRA_2023,-105,150924
PJM,2026,NERC_LTRA_2023,0,152736
PJM,2027,NERC_LTRA_2023,0,154275
PJM,2028,NERC_LTRA_2023,0,155703
PJM,2029,NERC_LTRA_2023,0,156923
PJM,2030,NERC_LTRA_2023,0,157899
PJM,2031,NERC_LTRA_2023,0,158942
PJM,2032,NERC_LTRA_2023,0,159917
PJM,2033,NERC_LTRA_2023,0,160971
SERC_E,2024,NERC_LTRA_2023,624,44014
SERC_E,2025,NERC_LTRA_2023,624,44590
SERC_E,2026,NERC_LTRA_2023,624,44789
SERC_E,2027,NERC_LTRA_2023,624,44993
SERC_E,2028,NERC_LTRA_2023,624,45220
SERC_E,2029,NERC_LTRA_2023,624,45425
SERC_E,2030,NERC_LTRA_2023,624,45831
SERC_E,2031,NERC_LTRA_2023,624,46583
SERC_E,2032,NERC_LTRA_2023,624,46985
SERC_E,2033,NERC_LTRA_2023,624,47580
SERC_C,2024,NERC_LTRA_2023+p108_TVA_capacity,1298,42259
SERC_C,2025,NERC_LTRA_2023+p108_TVA_capacity,423,42595
SERC_C,2026,NERC_LTRA_2023+p108_TVA_capacity,423,42560
SERC_C,2027,NERC_LTRA_2023+p108_TVA_capacity,423,42737
SERC_C,2028,NERC_LTRA_2023+p108_TVA_capacity,423,42739
SERC_C,2029,NERC_LTRA_2023+p108_TVA_capacity,423,42765
SERC_C,2030,NERC_LTRA_2023+p108_TVA_capacity,423,42764
SERC_C,2031,NERC_LTRA_2023+p108_TVA_capacity,423,42858
SERC_C,2032,NERC_LTRA_2023+p108_TVA_capacity,423,42877
SERC_C,2033,NERC_LTRA_2023+p108_TVA_capacity,423,43109
SERC_F,2024,NERC_LTRA_2023,594,53190
SERC_F,2025,NERC_LTRA_2023,700,53591
SERC_F,2026,NERC_LTRA_2023,499,54107
