nercr,t,MW,MW_TotalDemand
MISO,2024,16100,121933
NPCC_NE,2024,1800,24633
NPCC_NY,2024,5000,32280
PJM,2024,11800,149737
SERC_E,2024,2800,44014
SERC_C,2024,4400,42259
SERC_F,2024,2900,53190
SERC_SE,2024,4800,46354
SPP,2024,4000,53603
ERCOT,2024,800,84325
WECC_CA,2024,12600,57178
WECC_NW,2024,8800,62899
WECC_SW,2024,7300,26749
