,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
p1,0,10.3,24,58.4,94,128.2,230.4,433.1,720.8,1009,1748.5,2457.1,2652.8,2727.9,2774.4,2827.7,2876.1,2953.4,3024,3036.8,3082.8
p10,534.6,865.9,1697,3201.4,4765.3,5433.2,5990.8,6755.5,7761.3,8939.8,10276,11438.4,12396,12991.2,13556.2,14088.7,14588.3,15042.3,15460.6,15842.4,16167.8
p100,0,0,0.4,1,2.5,5,10.5,20.1,36.2,64,107.5,148.4,180.1,182.4,185,188.8,194.9,204.5,214.2,222.1,234.8
p101,8.4,26.9,56.6,100.9,215.4,397.1,765.7,1392.9,2403.4,4020.2,6318.1,8098.3,9394.4,9653,9917.9,10212.4,10559.9,11024.6,11564.7,12274.4,13081.3
p102,5.1,14.2,29.8,49.5,101.8,139.9,257.9,493.5,906.7,1625,2763.1,3766.9,4510.4,4583.3,4676.4,4796.9,4953.2,5240.3,5571.7,6011.4,6505.5
p103,0,0,13.1,25.7,45.9,65.9,115.8,216.5,436.9,875.2,1641.9,2643.6,3768.3,4360.4,4806.7,5160.1,5560.4,5990.7,6325.3,6788,7253.7
p104,0,0,1.2,3,4.5,6.5,10.7,18.5,33.5,61.6,108,162.6,221,251.9,278.4,303.2,331,362,391.4,420.6,452.9
p105,0,0,4.1,11.1,49.1,66.6,101.9,144.5,227.5,396.3,701.4,1080.3,1495.2,1751.1,1972.4,2175.6,2369.5,2576,2765.6,2965.9,3194.2
p106,0,0,0.8,2.2,10.9,19.7,35.6,50.9,77.9,134,233.7,362.6,510.4,610.9,694.3,763.6,823.6,875.7,931.2,992,1067
p107,0,0,1.4,3.9,17.8,26.8,50,76.5,127.7,234.4,431.2,688.2,986.5,1177.9,1336.7,1469.6,1585.9,1695.7,1799.8,1915.5,2056.4
p108,0,0,0.1,0.4,3.7,5.3,7.9,11.9,18.1,28.1,43.1,62.5,87.6,116.4,149.9,187.9,229.1,273.2,317.9,363.8,410.5
p109,0,0,0.2,1.1,6.6,8.6,14.8,24.8,41.5,71.8,123.9,194,289.7,402.7,542.1,708.7,900,1114.2,1341.1,1572.5,1808.8
p11,107.4,132.9,228.5,487.2,743.1,870.7,929.5,1032.8,1193.3,1399.9,1638.4,1853,2020.5,2119,2199.9,2269.5,2330.4,2388.1,2447.6,2498.2,2547.8
p110,0,0,0.1,0.3,2.5,3.4,4.7,6.7,9.9,15.2,23.4,34.4,48.8,66.1,87.3,112.2,140.2,170.6,202.2,234,266.6
p111,0,18.4,26.7,33.1,47.7,55.4,75.5,111.4,171.7,271.2,434.2,670.6,993,1355.9,1778.8,2018.4,2246.5,2473.2,2683.3,2887.8,3098.8
p112,0,16,35.6,43.8,61.7,71.7,92.5,130,191.6,291.1,448.3,673.1,982.6,1351.4,1785.9,2057.7,2321.8,2576.6,2814.5,3040.1,3268.9
