r,szn,HDD-CDD,t,Value
p1,spri,cdd,2010,4.650566882790001
p1,spri,cdd,2012,3.4443675491000003
p1,spri,cdd,2014,3.32231711885
p1,spri,cdd,2016,3.36967800129
p1,spri,cdd,2018,3.8529155483699995
p1,spri,cdd,2020,3.9046110627699995
p1,spri,cdd,2022,3.70093367476
p1,spri,cdd,2024,3.7886056172300004
p1,spri,cdd,2026,3.34244539175
p1,spri,cdd,2028,1.8942339878099999
p1,spri,cdd,2030,2.20280087284
p1,spri,cdd,2032,2.7282532522000005
p1,spri,cdd,2034,2.62242597592
p1,spri,cdd,2036,2.9345080525200005
p1,spri,cdd,2038,2.9245575168199998
p1,spri,cdd,2040,3.1769719193199997
p1,spri,cdd,2042,2.97273344855
p1,spri,cdd,2044,3.20984099784
p1,spri,cdd,2046,4.04534668202
p1,spri,cdd,2048,4.78528623447
p1,spri,cdd,2050,4.77733362615
p1,spri,hdd,2010,840.8265484169999
p1,spri,hdd,2012,830.2989433280001
p1,spri,hdd,2014,829.065085243
p1,spri,hdd,2016,802.684301686
p1,spri,hdd,2018,786.863118913
p1,spri,hdd,2020,790.398978145
p1,spri,hdd,2022,798.906527485
p1,spri,hdd,2024,784.208458646
p1,spri,hdd,2026,794.43975018
p1,spri,hdd,2028,791.383086198
p1,spri,hdd,2030,765.2110868230001
p1,spri,hdd,2032,753.8179689760001
p1,spri,hdd,2034,752.4687501980001
p1,spri,hdd,2036,756.077282468
p1,spri,hdd,2038,759.92933446
p1,spri,hdd,2040,743.106299353
p1,spri,hdd,2042,721.757313456
p1,spri,hdd,2044,711.1650423919999
p1,spri,hdd,2046,695.810968028
p1,spri,hdd,2048,675.09924537
p1,spri,hdd,2050,671.10661587
p1,summ,cdd,2010,77.935838567
p1,summ,cdd,2012,82.3348207211
p1,summ,cdd,2014,87.3892746207
p1,summ,cdd,2016,95.06951889129999
p1,summ,cdd,2018,102.44398701
p1,summ,cdd,2020,108.57759264799999
p1,summ,cdd,2022,110.041948305
p1,summ,cdd,2024,118.187603129
p1,summ,cdd,2026,127.051308208
p1,summ,cdd,2028,125.79683217
p1,summ,cdd,2030,132.474100262
p1,summ,cdd,2032,130.006267044
p1,summ,cdd,2034,132.52661184299998
p1,summ,cdd,2036,138.327490101
p1,summ,cdd,2038,142.411643597
p1,summ,cdd,2040,150.708265992
p1,summ,cdd,2042,159.89623882200002
p1,summ,cdd,2044,169.976232735
p1,summ,cdd,2046,175.011880792
p1,summ,cdd,2048,196.61054681299998
p1,summ,cdd,2050,210.00903102799998
p1,summ,hdd,2010,199.03723615400003
p1,summ,hdd,2012,190.651011975
p1,summ,hdd,2014,190.806848028
p1,summ,hdd,2016,184.328307258
p1,summ,hdd,2018,178.70620011900002
p1,summ,hdd,2020,158.568763197
p1,summ,hdd,2022,153.550229724
p1,summ,hdd,2024,145.825634122
p1,summ,hdd,2026,142.08808547299998
p1,summ,hdd,2028,137.248335578
p1,summ,hdd,2030,133.04282903200001
p1,summ,hdd,2032,130.756749006
p1,summ,hdd,2034,127.933394586
p1,summ,hdd,2036,117.709343376
p1,summ,hdd,2038,114.40256709200001
p1,summ,hdd,2040,116.033510835
p1,summ,hdd,2042,111.93576095200001
p1,summ,hdd,2044,108.497105455
p1,summ,hdd,2046,100.54762997
p1,summ,hdd,2048,91.8211531352
p1,summ,hdd,2050,85.44034505100001
p1,fall,cdd,2010,3.2767523593299996
p1,fall,cdd,2012,6.59161565908
p1,fall,cdd,2014,7.16739777375
p1,fall,cdd,2016,7.27055096947
p1,fall,cdd,2018,8.04761929295
p1,fall,cdd,2020,8.730664994189999
p1,fall,cdd,2022,9.87978086356
p1,fall,cdd,2024,14.6859740652
p1,fall,cdd,2026,15.8119634724
p1,fall,cdd,2028,18.1301330727
p1,fall,cdd,2030,19.756116358099998
p1,fall,cdd,2032,16.9537162257
p1,fall,cdd,2034,16.7445330147
p1,fall,cdd,2036,19.7953275106
p1,fall,cdd,2038,20.3935962417
p1,fall,cdd,2040,21.4360107764
p1,fall,cdd,2042,22.8165133825
p1,fall,cdd,2044,26.6154790943
p1,fall,cdd,2046,28.412058648000002
p1,fall,cdd,2048,28.626702075100003
p1,fall,cdd,2050,32.3740719813
p1,fall,hdd,2010,433.32082718699996
p1,fall,hdd,2012,406.973595037
p1,fall,hdd,2014,390.30331043
p1,fall,hdd,2016,389.023099796
p1,fall,hdd,2018,384.723446795
p1,fall,hdd,2020,372.13666053300005
p1,fall,hdd,2022,369.883977675
p1,fall,hdd,2024,351.403867306
p1,fall,hdd,2026,338.176627289
p1,fall,hdd,2028,339.426251072
p1,fall,hdd,2030,332.403356411
p1,fall,hdd,2032,343.290073786
p1,fall,hdd,2034,348.472278955
p1,fall,hdd,2036,339.294151366
p1,fall,hdd,2038,330.553318385
p1,fall,hdd,2040,328.6579374
p1,fall,hdd,2042,314.57999303
p1,fall,hdd,2044,307.434659626
p1,fall,hdd,2046,299.260116046
p1,fall,hdd,2048,283.945700765
p1,fall,hdd,2050,274.05565822799997
p1,wint,cdd,2010,0.0
