"i","sector","end_use"
"dr1_1","com","cooling"
"dr1_2","com","heating"
"dr1_3","com","refrigeration"
"dr1_4","com","water_heating"
"dr1_5","res","cooling"
"dr1_6","res","heating"
"dr1_7","res","pool_pump"
"dr1_8","res","water_heating"
"dr1_9","res","clothes_dryer"
"dr1_10","res","dishwasher"
"dr2_1","com","cooling"
"dr2_2","com","heating"
"dr2_3","com","interior_equipment"
"dr2_4","com","lighting"
"dr2_5","com","refrigeration"
"dr2_6","com","water_heating"
"dr2_7","res","cooling"
"dr2_8","res","pool_pump"
"dr2_9","res","water_heating"
"dr2_10","res","heating"
"dr2_11","res","clothes_dryer"
