r,tech,bin,year,var,value
p10,dr1_1,bin1,2010,Cost,0
p10,dr1_1,bin1,2020,Cost,50000
p10,dr1_1,bin1,2025,Cost,50000
p10,dr1_1,bin1,2030,Cost,50000
p10,dr1_1,bin1,2035,Cost,50000
p10,dr1_1,bin1,2040,Cost,50000
p10,dr1_1,bin2,2010,Cost,0
p10,dr1_1,bin2,2020,Cost,1.00E+05
p10,dr1_1,bin2,2025,Cost,1.00E+05
p10,dr1_1,bin2,2030,Cost,1.00E+05
p10,dr1_1,bin2,2035,Cost,1.00E+05
p10,dr1_1,bin2,2040,Cost,1.00E+05
p10,dr1_1,bin3,2010,Cost,0
p10,dr1_1,bin3,2020,Cost,150000
p10,dr1_1,bin3,2025,Cost,150000
p10,dr1_1,bin3,2030,Cost,150000
p10,dr1_1,bin3,2035,Cost,150000
p10,dr1_1,bin3,2040,Cost,150000
p10,dr1_1,bin4,2010,Cost,0
p10,dr1_1,bin4,2020,Cost,2.00E+05
p10,dr1_1,bin4,2025,Cost,2.00E+05
p10,dr1_1,bin4,2030,Cost,2.00E+05
p10,dr1_1,bin4,2035,Cost,2.00E+05
p10,dr1_1,bin4,2040,Cost,2.00E+05
p10,dr1_1,bin5,2010,Cost,0
p10,dr1_1,bin5,2020,Cost,3.00E+05
p10,dr1_1,bin5,2025,Cost,3.00E+05
p10,dr1_1,bin5,2030,Cost,3.00E+05
p10,dr1_1,bin5,2035,Cost,3.00E+05
p10,dr1_1,bin5,2040,Cost,3.00E+05
p10,dr1_1,bin1,2010,Cap,0
p10,dr1_1,bin1,2020,Cap,14.79567606
p10,dr1_1,bin1,2025,Cap,19.27712418
p10,dr1_1,bin1,2030,Cap,26.2814153
p10,dr1_1,bin1,2035,Cap,34.90272769
p10,dr1_1,bin1,2040,Cap,51.0459127
p10,dr1_1,bin2,2010,Cap,0
p10,dr1_1,bin2,2020,Cap,33.24325841
p10,dr1_1,bin2,2025,Cap,43.96981841
p10,dr1_1,bin2,2030,Cap,63.66812494
p10,dr1_1,bin2,2035,Cap,80.87772902
p10,dr1_1,bin2,2040,Cap,109.8229563
p10,dr1_1,bin3,2010,Cap,0
p10,dr1_1,bin3,2020,Cap,63.68987115
p10,dr1_1,bin3,2025,Cap,102.825621
p10,dr1_1,bin3,2030,Cap,110.7947357
p10,dr1_1,bin3,2035,Cap,144.5596831
p10,dr1_1,bin3,2040,Cap,155.7936842
p10,dr1_1,bin4,2010,Cap,0
p10,dr1_1,bin4,2020,Cap,86.43476403
p10,dr1_1,bin4,2025,Cap,91.92776925
p10,dr1_1,bin4,2030,Cap,113.5511905
p10,dr1_1,bin4,2035,Cap,100.4562977
p10,dr1_1,bin4,2040,Cap,107.8942921
p10,dr1_1,bin5,2010,Cap,0
p10,dr1_1,bin5,2020,Cap,113.0234573
p10,dr1_1,bin5,2025,Cap,127.9366811
p10,dr1_1,bin5,2030,Cap,128.1231743
p10,dr1_1,bin5,2035,Cap,139.0575354
p10,dr1_1,bin5,2040,Cap,135.5654865
p10,dr1_2,bin1,2010,Cost,0
p10,dr1_2,bin1,2020,Cost,50000
p10,dr1_2,bin1,2025,Cost,50000
p10,dr1_2,bin1,2030,Cost,50000
p10,dr1_2,bin1,2035,Cost,50000
p10,dr1_2,bin1,2040,Cost,50000
p10,dr1_2,bin2,2010,Cost,0
p10,dr1_2,bin2,2020,Cost,1.00E+05
p10,dr1_2,bin2,2025,Cost,1.00E+05
p10,dr1_2,bin2,2030,Cost,1.00E+05
p10,dr1_2,bin2,2035,Cost,1.00E+05
p10,dr1_2,bin2,2040,Cost,1.00E+05
p10,dr1_2,bin3,2010,Cost,0
p10,dr1_2,bin3,2020,Cost,150000
p10,dr1_2,bin3,2025,Cost,150000
p10,dr1_2,bin3,2030,Cost,150000
p10,dr1_2,bin3,2035,Cost,150000
p10,dr1_2,bin3,2040,Cost,150000
p10,dr1_2,bin4,2010,Cost,0
p10,dr1_2,bin4,2020,Cost,2.00E+05
p10,dr1_2,bin4,2025,Cost,2.00E+05
p10,dr1_2,bin4,2030,Cost,2.00E+05
p10,dr1_2,bin4,2035,Cost,2.00E+05
p10,dr1_2,bin4,2040,Cost,2.00E+05
p10,dr1_2,bin5,2010,Cost,0
p10,dr1_2,bin5,2020,Cost,3.00E+05
p10,dr1_2,bin5,2025,Cost,3.00E+05
p10,dr1_2,bin5,2030,Cost,3.00E+05
p10,dr1_2,bin5,2035,Cost,3.00E+05
p10,dr1_2,bin5,2040,Cost,3.00E+05
p10,dr1_2,bin1,2010,Cap,0
p10,dr1_2,bin1,2020,Cap,2.92381359
p10,dr1_2,bin1,2025,Cap,3.888878947
p10,dr1_2,bin1,2030,Cap,4.377779785
p10,dr1_2,bin1,2035,Cap,6.005326185
p10,dr1_2,bin1,2040,Cap,9.792469034
p10,dr1_2,bin2,2010,Cap,0
p10,dr1_2,bin2,2020,Cap,29.81243807
p10,dr1_2,bin2,2025,Cap,47.54991073
p10,dr1_2,bin2,2030,Cap,64.72520082
p10,dr1_2,bin2,2035,Cap,73.28319231
p10,dr1_2,bin2,2040,Cap,83.1439226
p10,dr1_2,bin3,2010,Cap,0
p10,dr1_2,bin3,2020,Cap,40.13614669
p10,dr1_2,bin3,2025,Cap,53.39977465
p10,dr1_2,bin3,2030,Cap,55.48577983
p10,dr1_2,bin3,2035,Cap,58.32620281
p10,dr1_2,bin3,2040,Cap,66.65165267
p10,dr1_2,bin4,2010,Cap,0
p10,dr1_2,bin4,2020,Cap,55.61553493
p10,dr1_2,bin4,2025,Cap,44.14475823
