"dr_type","pos_hrs","neg_hrs"
"dr1_1",8,-8
"dr1_2",7,-7
"dr1_3",4,-4
"dr1_4",4,-4
"dr1_5",4,-4
"dr1_6",4,-4
"dr1_7",12,-12
"dr1_8",4,-4
"dr1_9",4,-4
"dr1_10",8,-8
