"i","r","timeslice","value"
"dr1_1","p10","h9",5.02364583597566
"dr1_1","p11","h9",5.02364583597566
"dr1_1","p9","h9",5.02364583597566
"dr1_2","p10","h9",6.84483574791105
"dr1_2","p11","h9",6.84483574791105
"dr1_2","p9","h9",6.84483574791105
"dr1_3","p10","h9",0.803406516210441
"dr1_3","p11","h9",0.803406516210441
"dr1_3","p9","h9",0.803406516210441
"dr1_4","p10","h9",1.82338164211991
"dr1_4","p11","h9",1.82338164211991
"dr1_4","p9","h9",1.82338164211991
"dr1_5","p10","h9",6.03611310402176
"dr1_5","p11","h9",6.03611310402176
"dr1_5","p9","h9",6.03611310402176
"dr1_6","p10","h9",4.31997394428589
"dr1_6","p11","h9",4.31997394428589
"dr1_6","p9","h9",4.31997394428589
"dr1_7","p10","h9",1.09475775400203
"dr1_7","p11","h9",1.09475775400203
"dr1_7","p9","h9",1.09475775400203
"dr1_8","p10","h9",1.41490490877904
"dr1_8","p11","h9",1.41490490877904
"dr1_8","p9","h9",1.41490490877904
"dr1_1","p60","h9",1.49011942057405
"dr1_1","p61","h9",1.49011942057405
"dr1_1","p62","h9",1.49011942057405
"dr1_1","p63","h9",1.49011942057405
"dr1_1","p64","h9",1.49011942057405
"dr1_1","p65","h9",1.49011942057405
"dr1_1","p67","h9",1.49011942057405
"dr1_2","p60","h9",15.0755003752983
"dr1_2","p61","h9",15.0755003752983
"dr1_2","p62","h9",15.0755003752983
"dr1_2","p63","h9",15.0755003752983
"dr1_2","p64","h9",15.0755003752983
"dr1_2","p65","h9",15.0755003752983
"dr1_2","p67","h9",15.0755003752983
"dr1_3","p60","h9",0.704813970339764
"dr1_3","p61","h9",0.704813970339764
"dr1_3","p62","h9",0.704813970339764
"dr1_3","p63","h9",0.704813970339764
"dr1_3","p64","h9",0.704813970339764
"dr1_3","p65","h9",0.704813970339764
"dr1_3","p67","h9",0.704813970339764
"dr1_4","p60","h9",1.36501649002809
"dr1_4","p61","h9",1.36501649002809
"dr1_4","p62","h9",1.36501649002809
"dr1_4","p63","h9",1.36501649002809
"dr1_4","p64","h9",1.36501649002809
"dr1_4","p65","h9",1.36501649002809
"dr1_4","p67","h9",1.36501649002809
"dr1_9","p60","h9",1.03683419380323
"dr1_9","p61","h9",1.03683419380323
"dr1_9","p62","h9",1.03683419380323
"dr1_9","p63","h9",1.03683419380323
"dr1_9","p64","h9",1.03683419380323
"dr1_9","p65","h9",1.03683419380323
"dr1_9","p67","h9",1.03683419380323
"dr1_5","p60","h9",4.37211745017094
"dr1_5","p61","h9",4.37211745017094
"dr1_5","p62","h9",4.37211745017094
"dr1_5","p63","h9",4.37211745017094
"dr1_5","p64","h9",4.37211745017094
"dr1_5","p65","h9",4.37211745017094
"dr1_5","p67","h9",4.37211745017094
"dr1_10","p60","h9",0.508508794620089
"dr1_10","p61","h9",0.508508794620089
"dr1_10","p62","h9",0.508508794620089
"dr1_10","p63","h9",0.508508794620089
"dr1_10","p64","h9",0.508508794620089
"dr1_10","p65","h9",0.508508794620089
"dr1_10","p67","h9",0.508508794620089
"dr1_6","p60","h9",8.33123816182434
"dr1_6","p61","h9",8.33123816182434
"dr1_6","p62","h9",8.33123816182434
"dr1_6","p63","h9",8.33123816182434
"dr1_6","p64","h9",8.33123816182434
"dr1_6","p65","h9",8.33123816182434
"dr1_6","p67","h9",8.33123816182434
"dr1_7","p60","h9",0.845905338527147
"dr1_7","p61","h9",0.845905338527147
"dr1_7","p62","h9",0.845905338527147
"dr1_7","p63","h9",0.845905338527147
"dr1_7","p64","h9",0.845905338527147
"dr1_7","p65","h9",0.845905338527147
"dr1_7","p67","h9",0.845905338527147
"dr1_8","p60","h9",0.996687028708145
"dr1_8","p61","h9",0.996687028708145
"dr1_8","p62","h9",0.996687028708145
"dr1_8","p63","h9",0.996687028708145
"dr1_8","p64","h9",0.996687028708145
"dr1_8","p65","h9",0.996687028708145
"dr1_8","p67","h9",0.996687028708145
"dr1_1","p129","h9",6.8635834362816
"dr1_1","p130","h9",6.8635834362816
"dr1_1","p131","h9",6.8635834362816
"dr1_1","p132","h9",6.8635834362816
"dr1_1","p133","h9",6.8635834362816
"dr1_1","p134","h9",6.8635834362816
"dr1_2","p129","h9",7.19621452047108
"dr1_2","p130","h9",7.19621452047108
"dr1_2","p131","h9",7.19621452047108
"dr1_2","p132","h9",7.19621452047108
"dr1_2","p133","h9",7.19621452047108
"dr1_2","p134","h9",7.19621452047108
"dr1_3","p129","h9",0.647505254687616
"dr1_3","p130","h9",0.647505254687616
"dr1_3","p131","h9",0.647505254687616
"dr1_3","p132","h9",0.647505254687616
"dr1_3","p133","h9",0.647505254687616
"dr1_3","p134","h9",0.647505254687616
"dr1_4","p129","h9",1.49423344848692
"dr1_4","p130","h9",1.49423344848692
"dr1_4","p131","h9",1.49423344848692
"dr1_4","p132","h9",1.49423344848692
"dr1_4","p133","h9",1.49423344848692
"dr1_4","p134","h9",1.49423344848692
"dr1_6","p129","h9",2.54840612676145
"dr1_6","p130","h9",2.54840612676145
"dr1_6","p131","h9",2.54840612676145
"dr1_6","p132","h9",2.54840612676145
"dr1_6","p133","h9",2.54840612676145
"dr1_6","p134","h9",2.54840612676145
"dr1_8","p129","h9",0.979512373597158
"dr1_8","p130","h9",0.979512373597158
"dr1_8","p131","h9",0.979512373597158
"dr1_8","p132","h9",0.979512373597158
"dr1_8","p133","h9",0.979512373597158
"dr1_8","p134","h9",0.979512373597158
"dr1_5","p129","h9",6.51645112448997
"dr1_5","p130","h9",6.51645112448997
"dr1_5","p131","h9",6.51645112448997
"dr1_5","p132","h9",6.51645112448997
"dr1_5","p133","h9",6.51645112448997
"dr1_5","p134","h9",6.51645112448997
"dr1_1","p10","h10",4.550006511631
"dr1_1","p11","h10",4.550006511631
"dr1_1","p9","h10",4.550006511631
"dr1_2","p10","h10",5.64719128093044
"dr1_2","p11","h10",5.64719128093044
"dr1_2","p9","h10",5.64719128093044
"dr1_3","p10","h10",0.553637910983894
"dr1_3","p11","h10",0.553637910983894
"dr1_3","p9","h10",0.553637910983894
"dr1_4","p10","h10",1.05831513686218
"dr1_4","p11","h10",1.05831513686218
"dr1_4","p9","h10",1.05831513686218
"dr1_5","p10","h10",5.98059914192944
"dr1_5","p11","h10",5.98059914192944
"dr1_5","p9","h10",5.98059914192944
"dr1_6","p10","h10",4.28612476959447
"dr1_6","p11","h10",4.28612476959447
"dr1_6","p9","h10",4.28612476959447
"dr1_7","p10","h10",1.16525333495521
"dr1_7","p11","h10",1.16525333495521
"dr1_7","p9","h10",1.16525333495521
"dr1_8","p10","h10",0.878196053403086
"dr1_8","p11","h10",0.878196053403086
"dr1_8","p9","h10",0.878196053403086
"dr1_1","p60","h10",1.36946027825614
"dr1_1","p61","h10",1.36946027825614
"dr1_1","p62","h10",1.36946027825614
"dr1_1","p63","h10",1.36946027825614
"dr1_1","p64","h10",1.36946027825614
"dr1_1","p65","h10",1.36946027825614
"dr1_1","p67","h10",1.36946027825614
"dr1_2","p60","h10",12.7792248590538
"dr1_2","p61","h10",12.7792248590538
"dr1_2","p62","h10",12.7792248590538
"dr1_2","p63","h10",12.7792248590538
"dr1_2","p64","h10",12.7792248590538
"dr1_2","p65","h10",12.7792248590538
"dr1_2","p67","h10",12.7792248590538
"dr1_3","p60","h10",0.411013056889195
"dr1_3","p61","h10",0.411013056889195
"dr1_3","p62","h10",0.411013056889195
"dr1_3","p63","h10",0.411013056889195
"dr1_3","p64","h10",0.411013056889195
"dr1_3","p65","h10",0.411013056889195
"dr1_3","p67","h10",0.411013056889195
"dr1_4","p60","h10",0.652343370463161
"dr1_4","p61","h10",0.652343370463161
"dr1_4","p62","h10",0.652343370463161
"dr1_4","p63","h10",0.652343370463161
"dr1_4","p64","h10",0.652343370463161
"dr1_4","p65","h10",0.652343370463161
"dr1_4","p67","h10",0.652343370463161
"dr1_9","p60","h10",0.612138645395603
"dr1_9","p61","h10",0.612138645395603
"dr1_9","p62","h10",0.612138645395603
"dr1_9","p63","h10",0.612138645395603
"dr1_9","p64","h10",0.612138645395603
"dr1_9","p65","h10",0.612138645395603
"dr1_9","p67","h10",0.612138645395603
"dr1_5","p60","h10",4.35465365049956
"dr1_5","p61","h10",4.35465365049956
"dr1_5","p62","h10",4.35465365049956
"dr1_5","p63","h10",4.35465365049956
"dr1_5","p64","h10",4.35465365049956
"dr1_5","p65","h10",4.35465365049956
"dr1_5","p67","h10",4.35465365049956
"dr1_10","p60","h10",0.414892884899322
"dr1_10","p61","h10",0.414892884899322
"dr1_10","p62","h10",0.414892884899322
"dr1_10","p63","h10",0.414892884899322
"dr1_10","p64","h10",0.414892884899322
"dr1_10","p65","h10",0.414892884899322
"dr1_10","p67","h10",0.414892884899322
"dr1_6","p60","h10",8.2425400216081
"dr1_6","p61","h10",8.2425400216081
"dr1_6","p62","h10",8.2425400216081
"dr1_6","p63","h10",8.2425400216081
"dr1_6","p64","h10",8.2425400216081
"dr1_6","p65","h10",8.2425400216081
"dr1_6","p67","h10",8.2425400216081
"dr1_7","p60","h10",0.662142233745253
"dr1_7","p61","h10",0.662142233745253
"dr1_7","p62","h10",0.662142233745253
"dr1_7","p63","h10",0.662142233745253
"dr1_7","p64","h10",0.662142233745253
"dr1_7","p65","h10",0.662142233745253
"dr1_7","p67","h10",0.662142233745253
"dr1_8","p60","h10",0.318247535731263
"dr1_8","p61","h10",0.318247535731263
"dr1_8","p62","h10",0.318247535731263
"dr1_8","p63","h10",0.318247535731263
"dr1_8","p64","h10",0.318247535731263
"dr1_8","p65","h10",0.318247535731263
"dr1_8","p67","h10",0.318247535731263
"dr1_1","p129","h10",6.71786337257538
"dr1_1","p130","h10",6.71786337257538
"dr1_1","p131","h10",6.71786337257538
