,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
p1,0,10.3,24,58.4,94,128.2,230.4,450.8,765.5,1077.4,1861.3,2615,2799.7,2869.9,2910.7,2959.3,3002.9,3076.3,3143.3,3149.8,3190.8
p10,534.6,865.9,1697,3201.4,4765.3,5433.2,5990.8,7032.2,8242.5,9546,10939.1,12173.5,13082.3,13667.6,14222.3,14744.2,15231.6,15668.3,16070.5,16432,16734.2
p100,0,0,0.4,1,2.5,5,10.5,20.9,38.4,68.3,114.4,157.9,190.1,191.9,194.1,197.6,203.5,213,222.6,230.4,243
p101,8.4,26.9,56.6,100.9,215.4,397.1,765.7,1450,2552.4,4292.8,6725.8,8618.7,9914.6,10155.6,10405.2,10687.5,11025.6,11483.4,12020.9,12731.2,13539.6
p102,5.1,14.2,29.8,49.5,101.8,139.9,257.9,513.7,962.9,1735.2,2941.4,4009,4760.1,4821.9,4906.2,5020.1,5171.6,5458.4,5791.5,6235.1,6733.4
p103,0,0,13.1,25.7,45.9,65.9,115.8,225.4,464,934.5,1747.9,2813.5,3976.9,4587.4,5042.9,5400.2,5805.6,6240,6574.8,7040.6,7507.8
p104,0,0,1.2,3,4.5,6.5,10.7,19.3,35.6,65.8,115,173,233.2,265,292.1,317.3,345.6,377.1,406.8,436.3,468.8
p105,0,0,4.1,11.1,49.1,66.6,101.9,150.4,241.6,423.2,746.7,1149.7,1578,1842.3,2069.3,2276.8,2474,2683.2,2874.7,3076.3,3306.1
p106,0,0,0.8,2.2,10.9,19.7,35.6,53,82.7,143.1,248.8,385.9,538.7,642.7,728.4,799.1,859.9,912.1,967.9,1028.9,1104.4
p107,0,0,1.4,3.9,17.8,26.8,50,79.6,135.6,250.3,459,732.4,1041.1,1239.2,1402.4,1538,1655.8,1766.3,1870.8,1986.8,2128.4
p108,0,0,0.1,0.4,3.7,5.3,7.9,12.4,19.2,30,45.9,66.5,92.5,122.5,157.3,196.6,239.2,284.6,330.4,377.3,424.9
p109,0,0,0.2,1.1,6.6,8.6,14.8,25.8,44.1,76.7,131.9,206.5,305.7,423.7,568.7,741.7,939.7,1160.6,1394,1631,1872.2
p11,107.4,132.9,228.5,487.2,743.1,870.7,929.5,1075.1,1267.3,1494.8,1744.1,1972.1,2132.4,2229.3,2308,2375.1,2433.2,2487.5,2544.2,2591.2,2637.1
p110,0,0,0.1,0.3,2.5,3.4,4.7,7,10.5,16.2,24.9,36.6,51.5,69.5,91.6,117.4,146.4,177.7,210.2,242.7,275.9
p111,0,18.4,26.7,33.1,47.7,55.4,75.5,116,182.3,289.6,462.2,713.7,1048,1426.5,1866.2,2112.3,2345.6,2576.1,2789.2,2995.3,3207.4
p112,0,16,35.6,43.8,61.7,71.7,92.5,135.3,203.5,310.8,477.2,716.4,1037,1421.8,1873.7,2153.4,2424.2,2683.8,2925.5,3153.2,3383.4
p113,0,3.9,6.6,7.9,10.8,11.8,14.9,21.7,32.7,51.3,82.1,131.2,204.1,300.3,420.6,497.2,568.7,635.8,696.8,745,804.2
