,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17
p1,0.004,0.343,0.422,0.051,0.0,0.241,0.253,0.006,0.0,0.113,0.119,0.0,0.002,0.277,0.308,0.025,0.396
p10,0.003,0.442,0.486,0.032,0.0,0.396,0.367,0.004,0.0,0.292,0.273,0.001,0.002,0.421,0.447,0.019,0.469
p100,0.002,0.345,0.36,0.039,0.0,0.287,0.276,0.008,0.0,0.221,0.241,0.003,0.001,0.329,0.349,0.029,0.345
p101,0.0,0.348,0.353,0.029,0.0,0.323,0.32,0.011,0.0,0.283,0.328,0.008,0.0,0.381,0.427,0.031,0.264
p102,0.0,0.348,0.361,0.027,0.0,0.323,0.314,0.008,0.0,0.286,0.327,0.006,0.0,0.383,0.423,0.024,0.278
p103,0.001,0.342,0.399,0.057,0.0,0.253,0.28,0.015,0.0,0.146,0.197,0.005,0.0,0.314,0.367,0.04,0.391
p104,0.001,0.343,0.414,0.06,0.0,0.247,0.288,0.016,0.0,0.134,0.191,0.006,0.0,0.303,0.371,0.042,0.418
p105,0.002,0.34,0.415,0.054,0.0,0.269,0.306,0.015,0.0,0.158,0.215,0.006,0.001,0.308,0.373,0.038,0.387
p106,0.0,0.324,0.419,0.061,0.0,0.269,0.332,0.021,0.0,0.158,0.241,0.008,0.0,0.292,0.377,0.045,0.352
p107,0.001,0.333,0.423,0.054,0.0,0.288,0.337,0.016,0.0,0.176,0.247,0.006,0.001,0.302,0.38,0.038,0.38
p108,0.004,0.395,0.349,0.021,0.0,0.367,0.274,0.002,0.0,0.238,0.21,0.0,0.002,0.37,0.322,0.012,0.343
p109,0.001,0.34,0.39,0.048,0.0,0.296,0.316,0.015,0.0,0.195,0.249,0.006,0.0,0.315,0.359,0.036,0.362
p11,0.002,0.45,0.437,0.019,0.0,0.415,0.339,0.001,0.0,0.328,0.269,0.0,0.001,0.44,0.415,0.01,0.453
p110,0.001,0.319,0.397,0.045,0.0,0.285,0.341,0.013,0.0,0.199,0.271,0.005,0.0,0.301,0.362,0.032,0.385
p111,0.001,0.328,0.408,0.053,0.0,0.258,0.298,0.012,0.0,0.153,0.201,0.003,0.0,0.302,0.37,0.035,0.382
p112,0.001,0.341,0.382,0.048,0.0,0.28,0.288,0.013,0.0,0.165,0.199,0.004,0.0,0.311,0.338,0.034,0.365
p113,0.001,0.335,0.408,0.053,0.0,0.277,0.317,0.015,0.0,0.169,0.227,0.005,0.0,0.305,0.361,0.038,0.384
p114,0.001,0.335,0.385,0.054,0.0,0.279,0.299,0.017,0.0,0.173,0.223,0.006,0.0,0.303,0.333,0.039,0.341
p115,0.001,0.333,0.366,0.043,0.0,0.275,0.28,0.01,0.0,0.179,0.211,0.002,0.001,0.31,0.333,0.029,0.339
p116,0.001,0.335,0.377,0.043,0.0,0.283,0.29,0.01,0.0,0.191,0.228,0.003,0.001,0.312,0.341,0.03,0.35
p117,0.001,0.331,0.371,0.044,0.0,0.287,0.295,0.012,0.0,0.193,0.235,0.004,0.0,0.31,0.338,0.03,0.373
p118,0.001,0.338,0.384,0.042,0.0,0.29,0.318,0.011,0.0,0.227,0.28,0.004,0.0,0.328,0.369,0.031,0.364
p119,0.002,0.344,0.363,0.039,0.0,0.273,0.265,0.008,0.0,0.19,0.207,0.002,0.001,0.33,0.336,0.027,0.308
p12,0.005,0.504,0.461,0.03,0.0,0.451,0.358,0.004,0.0,0.292,0.247,0.0,0.002,0.473,0.423,0.018,0.379
p120,0.003,0.344,0.356,0.039,0.0,0.273,0.27,0.008,0.0,0.2,0.22,0.002,0.001,0.326,0.347,0.029,0.298
p121,0.002,0.361,0.356,0.037,0.0,0.301,0.273,0.007,0.0,0.226,0.228,0.002,0.001,0.337,0.338,0.026,0.301
p122,0.003,0.361,0.341,0.034,0.0,0.296,0.256,0.006,0.0,0.217,0.205,0.001,0.001,0.343,0.326,0.023,0.321
p123,0.003,0.373,0.352,0.032,0.0,0.309,0.267,0.006,0.0,0.233,0.229,0.002,0.001,0.353,0.34,0.023,0.342
p124,0.003,0.369,0.383,0.034,0.0,0.312,0.286,0.006,0.0,0.222,0.225,0.002,0.002,0.352,0.36,0.025,0.376
p125,0.003,0.375,0.35,0.031,0.0,0.318,0.268,0.005,0.0,0.24,0.22,0.001,0.001,0.364,0.35,0.02,0.37
p126,0.003,0.368,0.338,0.029,0.0,0.313,0.256,0.004,0.0,0.231,0.202,0.001,0.002,0.354,0.329,0.019,0.349
p127,0.004,0.366,0.341,0.034,0.0,0.288,0.239,0.005,0.0,0.192,0.175,0.001,0.002,0.345,0.317,0.023,0.321
p128,0.005,0.368,0.337,0.03,0.0,0.312,0.248,0.004,0.0,0.221,0.18,0.0,0.003,0.353,0.313,0.02,0.336
p129,0.006,0.361,0.321,0.031,0.0,0.283,0.227,0.004,0.0,0.194,0.159,0.0,0.004,0.353,0.307,0.019,0.342
p13,0.004,0.492,0.437,0.018,0.0,0.468,0.349,0.001,0.0,0.368,0.28,0.0,0.003,0.51,0.435,0.01,0.375
p130,0.007,0.379,0.288,0.026,0.001,0.322,0.209,0.003,0.0,0.236,0.16,0.0,0.005,0.378,0.277,0.015,0.294
p131,0.006,0.379,0.317,0.026,0.0,0.321,0.225,0.002,0.0,0.233,0.17,0.0,0.003,0.368,0.295,0.014,0.316
p132,0.005,0.362,0.333,0.029,0.0,0.304,0.244,0.003,0.0,0.226,0.188,0.0,0.003,0.347,0.315,0.017,0.329
p133,0.006,0.39,0.312,0.024,0.0,0.325,0.217,0.002,0.0,0.236,0.167,0.0,0.004,0.375,0.288,0.013,0.302
p134,0.009,0.374,0.301,0.026,0.001,0.314,0.214,0.002,0.0,0.224,0.156,0.0,0.006,0.366,0.291,0.014,0.346
p14,0.009,0.451,0.393,0.028,0.0,0.357,0.255,0.002,0.0,0.183,0.139,0.0,0.003,0.374,0.307,0.015,0.373
p15,0.002,0.41,0.543,0.078,0.0,0.337,0.432,0.02,0.0,0.169,0.244,0.005,0.0,0.355,0.468,0.052,0.462
p16,0.003,0.433,0.494,0.063,0.0,0.352,0.394,0.015,0.0,0.164,0.202,0.003,0.001,0.369,0.426,0.044,0.471
p17,0.003,0.394,0.462,0.066,0.0,0.293,0.327,0.013,0.0,0.157,0.191,0.002,0.001,0.331,0.379,0.043,0.402
p18,0.004,0.424,0.435,0.051,0.0,0.314,0.319,0.009,0.0,0.179,0.193,0.001,0.001,0.353,0.378,0.034,0.437
p19,0.006,0.42,0.406,0.046,0.0,0.325,0.276,0.005,0.0,0.168,0.134,0.0,0.003,0.388,0.353,0.027,0.45
p2,0.006,0.395,0.422,0.047,0.0,0.301,0.276,0.006,0.0,0.142,0.141,0.0,0.002,0.327,0.328,0.025,0.414
p20,0.005,0.426,0.407,0.045,0.0,0.326,0.287,0.006,0.0,0.205,0.18,0.001,0.002,0.366,0.354,0.029,0.404
p21,0.005,0.437,0.448,0.05,0.0,0.363,0.359,0.01,0.0,0.218,0.236,0.002,0.002,0.394,0.424,0.034,0.413
p22,0.008,0.443,0.367,0.041,0.0,0.345,0.251,0.006,0.0,0.205,0.178,0.001,0.004,0.388,0.325,0.027,0.36
p23,0.006,0.44,0.43,0.042,0.0,0.342,0.303,0.005,0.0,0.203,0.191,0.001,0.003,0.387,0.378,0.025,0.381
p24,0.007,0.477,0.362,0.034,0.0,0.4,0.28,0.005,0.0,0.25,0.209,0.001,0.003,0.422,0.339,0.022,0.296
p25,0.002,0.415,0.491,0.057,0.0,0.357,0.405,0.015,0.0,0.214,0.266,0.004,0.001,0.38,0.457,0.041,0.452
p26,0.004,0.458,0.438,0.051,0.0,0.379,0.349,0.013,0.0,0.202,0.217,0.003,0.002,0.395,0.396,0.038,0.403
p27,0.001,0.424,0.5,0.046,0.0,0.402,0.417,0.013,0.0,0.316,0.353,0.006,0.001,0.445,0.503,0.036,0.403
p28,0.0,0.395,0.504,0.05,0.0,0.378,0.431,0.014,0.0,0.297,0.375,0.006,0.0,0.421,0.526,0.04,0.403
p29,0.005,0.422,0.43,0.053,0.0,0.397,0.383,0.017,0.0,0.308,0.339,0.005,0.002,0.443,0.482,0.044,0.29
p3,0.008,0.441,0.425,0.036,0.0,0.342,0.275,0.003,0.0,0.158,0.139,0.0,0.003,0.375,0.333,0.019,0.399
p30,0.0,0.417,0.456,0.035,0.0,0.408,0.41,0.01,0.0,0.338,0.379,0.005,0.0,0.46,0.519,0.032,0.305
p31,0.002,0.463,0.425,0.03,0.0,0.437,0.378,0.006,0.0,0.355,0.339,0.002,0.001,0.473,0.463,0.023,0.353
p32,0.007,0.416,0.417,0.038,0.0,0.335,0.309,0.005,0.0,0.23,0.254,0.001,0.004,0.383,0.392,0.023,0.409
p33,0.005,0.446,0.363,0.029,0.0,0.389,0.313,0.005,0.0,0.283,0.265,0.001,0.002,0.42,0.371,0.02,0.315
p34,0.005,0.462,0.382,0.03,0.0,0.412,0.35,0.006,0.0,0.307,0.302,0.002,0.002,0.446,0.413,0.023,0.365
p35,0.006,0.437,0.407,0.037,0.0,0.334,0.275,0.004,0.0,0.177,0.173,0.0,0.003,0.388,0.364,0.02,0.418
p36,0.003,0.374,0.453,0.061,0.0,0.284,0.325,0.014,0.0,0.139,0.223,0.003,0.001,0.335,0.413,0.039,0.43
p37,0.002,0.348,0.448,0.065,0.0,0.259,0.321,0.013,0.0,0.123,0.206,0.003,0.001,0.311,0.416,0.043,0.427
p38,0.002,0.362,0.453,0.059,0.0,0.287,0.336,0.013,0.0,0.169,0.253,0.003,0.001,0.327,0.415,0.038,0.427
p39,0.006,0.443,0.422,0.03,0.0,0.367,0.315,0.004,0.0,0.241,0.247,0.001,0.003,0.4,0.381,0.017,0.399
p4,0.006,0.467,0.455,0.038,0.0,0.361,0.302,0.003,0.0,0.171,0.162,0.0,0.002,0.403,0.372,0.019,0.41
p40,0.001,0.355,0.473,0.061,0.0,0.301,0.377,0.016,0.0,0.2,0.303,0.006,0.0,0.333,0.433,0.04,0.43
p41,0.001,0.359,0.435,0.052,0.0,0.301,0.347,0.013,0.0,0.193,0.265,0.004,0.001,0.333,0.394,0.035,0.403
p42,0.003,0.347,0.423,0.057,0.0,0.251,0.295,0.01,0.0,0.133,0.199,0.002,0.001,0.318,0.399,0.037,0.437
p43,0.004,0.35,0.414,0.051,0.0,0.257,0.297,0.009,0.0,0.158,0.216,0.002,0.002,0.318,0.383,0.033,0.387
p44,0.002,0.354,0.433,0.054,0.0,0.28,0.324,0.011,0.0,0.159,0.24,0.003,0.001,0.324,0.394,0.035,0.429
p45,0.002,0.344,0.444,0.054,0.0,0.283,0.349,0.012,0.0,0.179,0.267,0.003,0.001,0.317,0.408,0.036,0.424
p46,0.005,0.36,0.387,0.043,0.0,0.268,0.268,0.007,0.0,0.166,0.199,0.001,0.002,0.333,0.355,0.027,0.351
p47,0.002,0.448,0.419,0.026,0.0,0.423,0.369,0.006,0.0,0.358,0.341,0.002,0.001,0.466,0.447,0.019,0.401
p48,0.0,0.361,0.536,0.074,0.0,0.321,0.46,0.031,0.0,0.259,0.422,0.018,0.0,0.36,0.531,0.059,0.473
p49,0.0,0.374,0.522,0.071,0.0,0.316,0.425,0.024,0.0,0.237,0.365,0.013,0.0,0.356,0.497,0.051,0.49
p5,0.004,0.371,0.464,0.058,0.0,0.275,0.303,0.008,0.0,0.13,0.152,0.001,0.001,0.29,0.338,0.029,0.435
p50,0.0,0.351,0.479,0.054,0.0,0.306,0.385,0.016,0.0,0.238,0.337,0.007,0.0,0.323,0.436,0.039,0.42
p51,0.001,0.334,0.457,0.053,0.0,0.286,0.361,0.014,0.0,0.219,0.309,0.005,0.0,0.312,0.415,0.034,0.417
p52,0.001,0.37,0.516,0.07,0.0,0.315,0.42,0.023,0.0,0.232,0.365,0.01,0.0,0.348,0.481,0.048,0.5
p53,0.001,0.342,0.466,0.056,0.0,0.295,0.368,0.014,0.0,0.217,0.311,0.005,0.0,0.319,0.416,0.038,0.418
p54,0.002,0.336,0.413,0.046,0.0,0.308,0.337,0.011,0.0,0.22,0.275,0.003,0.001,0.327,0.368,0.03,0.382
p55,0.001,0.347,0.434,0.045,0.0,0.305,0.352,0.01,0.0,0.209,0.278,0.003,0.001,0.316,0.393,0.03,0.398
p56,0.001,0.349,0.437,0.044,0.0,0.298,0.346,0.01,0.0,0.214,0.268,0.003,0.0,0.313,0.391,0.028,0.386
p57,0.001,0.368,0.415,0.037,0.0,0.308,0.334,0.01,0.0,0.225,0.273,0.004,0.0,0.324,0.385,0.027,0.369
p58,0.001,0.365,0.342,0.024,0.0,0.332,0.306,0.005,0.0,0.258,0.264,0.002,0.001,0.356,0.368,0.019,0.323
p59,0.001,0.449,0.437,0.028,0.0,0.423,0.386,0.006,0.0,0.365,0.353,0.002,0.001,0.478,0.481,0.022,0.392
p6,0.005,0.428,0.474,0.057,0.0,0.333,0.328,0.01,0.0,0.158,0.177,0.001,0.002,0.341,0.366,0.032,0.463
p60,0.0,0.349,0.498,0.065,0.0,0.321,0.436,0.027,0.0,0.254,0.399,0.015,0.0,0.344,0.498,0.051,0.408
p61,0.0,0.349,0.487,0.056,0.0,0.326,0.427,0.024,0.0,0.267,0.408,0.015,0.0,0.347,0.496,0.047,0.402
p62,0.0,0.352,0.504,0.068,0.0,0.329,0.453,0.032,0.0,0.261,0.418,0.02,0.0,0.356,0.521,0.057,0.437
p63,0.001,0.352,0.439,0.047,0.0,0.303,0.365,0.016,0.0,0.234,0.318,0.008,0.0,0.308,0.416,0.036,0.396
p64,0.0,0.337,0.434,0.048,0.0,0.294,0.371,0.02,0.0,0.224,0.328,0.011,0.0,0.291,0.414,0.039,0.377
p65,0.0,0.334,0.456,0.049,0.0,0.297,0.39,0.019,0.0,0.218,0.337,0.012,0.0,0.293,0.436,0.037,0.388
p66,0.0,0.343,0.382,0.032,0.0,0.314,0.34,0.009,0.0,0.234,0.288,0.005,0.0,0.314,0.385,0.026,0.361
p67,0.0,0.309,0.409,0.043,0.0,0.281,0.365,0.013,0.0,0.206,0.307,0.008,0.0,0.285,0.412,0.035,0.374
p68,0.003,0.356,0.408,0.047,0.0,0.275,0.299,0.009,0.0,0.161,0.214,0.002,0.002,0.326,0.363,0.03,0.387
p69,0.003,0.353,0.414,0.043,0.0,0.28,0.303,0.008,0.0,0.165,0.222,0.002,0.002,0.322,0.379,0.027,0.408
p7,0.005,0.456,0.471,0.057,0.0,0.373,0.352,0.013,0.0,0.179,0.199,0.003,0.002,0.386,0.401,0.036,0.405
p70,0.003,0.366,0.399,0.036,0.0,0.314,0.305,0.007,0.0,0.198,0.236,0.002,0.001,0.34,0.363,0.024,0.362
p71,0.002,0.357,0.41,0.038,0.0,0.308,0.313,0.007,0.0,0.202,0.237,0.001,0.001,0.337,0.365,0.023,0.352
p72,0.003,0.366,0.398,0.036,0.0,0.319,0.306,0.006,0.0,0.211,0.231,0.001,0.001,0.34,0.36,0.022,0.416
p73,0.003,0.373,0.379,0.035,0.0,0.328,0.315,0.007,0.0,0.218,0.231,0.001,0.001,0.344,0.352,0.023,0.353
p74,0.003,0.34,0.423,0.06,0.0,0.24,0.284,0.013,0.0,0.147,0.21,0.004,0.002,0.315,0.394,0.041,0.417
p75,0.006,0.387,0.356,0.032,0.0,0.294,0.235,0.004,0.0,0.177,0.176,0.0,0.003,0.358,0.334,0.019,0.361
p76,0.006,0.374,0.349,0.033,0.0,0.289,0.237,0.004,0.0,0.165,0.172,0.001,0.003,0.346,0.33,0.021,0.345
p77,0.004,0.367,0.372,0.033,0.0,0.307,0.282,0.005,0.0,0.187,0.204,0.001,0.002,0.348,0.35,0.021,0.354
p78,0.006,0.363,0.393,0.039,0.0,0.296,0.295,0.007,0.0,0.165,0.187,0.0,0.003,0.334,0.358,0.023,0.399
p79,0.006,0.391,0.348,0.027,0.0,0.32,0.243,0.003,0.0,0.194,0.176,0.0,0.003,0.363,0.326,0.016,0.377
p8,0.004,0.491,0.496,0.042,0.0,0.406,0.362,0.006,0.0,0.222,0.224,0.001,0.002,0.42,0.418,0.024,0.458
p80,0.005,0.387,0.361,0.028,0.0,0.309,0.254,0.003,0.0,0.194,0.185,0.0,0.003,0.353,0.326,0.016,0.357
p81,0.004,0.371,0.382,0.034,0.0,0.318,0.292,0.005,0.0,0.206,0.212,0.001,0.002,0.341,0.346,0.021,0.41
p82,0.004,0.362,0.382,0.035,0.0,0.305,0.287,0.005,0.0,0.197,0.209,0.001,0.002,0.335,0.341,0.019,0.388
