Retail sales of electricity annual,,,,,,,,,
https://www.eia.gov/electricity/data/browser/#/topic/5?agg=1,0&geo=fv&endsec=4&linechart=ELEC.SALES.NEW-COM.A~ELEC.SALES.MAT-COM.A~ELEC.SALES.ENC-COM.A~ELEC.SALES.WNC-COM.A~ELEC.SALES.SAT-COM.A~ELEC.SALES.ESC-COM.A~ELEC.SALES.WSC-COM.A~ELEC.SALES.MTN-COM.A~ELEC.SALES.PCC-COM.A&columnchart=ELEC.SALES.NEW-COM.A&map=ELEC.SALES.NEW-COM.A&freq=A&start=2010&end=2012&chartindexed=0&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=,,,,,,,,
17:36:48 GMT-0700 (Mountain Standard Time),,,,,,,,,
Data source: U.S. Energy Information Administration,,,,,,,,,
Year,Commercial : New England million kilowatthours,Commercial : Middle Atlantic million kilowatthours,Commercial : East North Central million kilowatthours,Commercial : West North Central million kilowatthours,Commercial : South Atlantic million kilowatthours,Commercial : East South Central million kilowatthours,Commercial : West South Central million kilowatthours,Commercial : Mountain million kilowatthours,Commercial : Pacific Contiguous million kilowatthours
2016,52753.115,158714.807,185751.096,102759.981,313557.385,93577.03702,196873.323,95537.63702,161824.224
2015,53383.252,159473.528,183420.2639,101710.9168,311709.108,92400.27401,194164.081,94880.47892,163671.6709
2014,53107.03802,158042.821,182860.101,100716.279,306877.062,89757.78201,196361.677,93898.29703,164573.7901
2013,44938.27201,157718.429,182798.468,100980.166,303433.976,91369.84201,192511.064,94636.28404,162596.877
2012,44864.227,157278.208,183332.9559,99542.15184,303319.182,82289.87798,189412.918,94113.503,166834.954
2011,45018.47802,159059.381,183358.739,99482.87399,305562.871,83741.466,184253.522,93413.49704,167944.07
2010,45948.46602,164764.589,183451.945,100021.439,310063.356,85598.302,176863.79,91864.64999,165438.566
2009,45225.78801,161135.319,179733.836,97740.46999,303540.922,81714.667,171982.323,92398.17099,167151.679
2008,54656.75901,165332.259,186098.228,99538.12704,306365.18,84852.29902,167303.331,94416.79302,171217.974
2007,56808.48999,162733.54,188477.255,98999.85501,308753.045,86292.35701,163862.996,94563.11501,169475.921
2006,54170.87898,161089.62,182656.291,95608.201,297339.92,83042.655,162887.013,90722.24099,165917.932
2005,54776.713,162366.045,182906.773,94190.29503,282320.046,82510.68,161320.114,87500.52599,161029.77
2004,53683.29901,156806.922,173609.707,89440.09599,272592.101,80608.48699,149934.713,84671.09799,162845.292
2003,52389.248,152329.294,172186.256,90005.19701,264610.406,78430.32,146164.221,83522.148,153100.36
2002,49938.993,140331.678,160982.687,82298.05699,244396.616,72707.43101,128833.138,77802.95201,141798.886
2001,49424.434,135804.167,161761.7,80344.642,241264.146,70537.31299,128339.557,75057.88499,135116.22
