PCA_Code,NEMS_Region,F_AREA
p1,,994669363.6
p2,,653746412.7
p3,,472330.2774
p5,,95037557.76
p6,,13982000.9
p9,,1713167187
p10,,479359504.9
p11,,40946123.53
p12,,9056232.138
p13,,8926.812857
p17,,6172.389189
p24,,2403463.181
p28,,121853232.2
p30,,23244823.46
p31,,144494208
p33,,597658.283
p35,,6.274002147
p37,,222900.7466
p39,,52.24319729
p42,,53889701.85
p43,,75330544.63
p46,,153588373.9
p50,,237.5274819
p58,,3803834021
p59,,31389775.72
p61,,194650090.8
p65,,1225792025
p66,,201524972.1
p67,,314862469.6
p68,,253.4273542
p70,,176.3727561
p74,,995296182.4
p75,,162900789.1
p77,,257.8496233
p79,,4705288.209
p80,,21416453.07
p85,,5594.868234
p87,,108377120.7
p88,,28813.89216
p89,,7024.38959
p90,,178193624.8
p91,,493280002.2
p92,,80.5992362
p94,,629948171.5
p96,,554031054.6
p97,,93.92024415
p98,,1725421910
p99,,551756258.1
p101,,2113153625
p102,,600050357.4
p103,,1608960049
p105,,2382526.379
p111,,173031074.9
p118,,74.86418477
p122,,11308105.09
p123,,1473065990
p124,,187109438.2
p125,,56476846.33
p126,,334773875.4
p127,,804121556.7
p128,,269643682.1
p129,,57514469.47
p130,,59411375.25
p131,,662607627.6
p132,,65692230.51
p133,,166221829.7
p134,,1438393335
,AKGD,1.26E+11
,AKMS,1.35E+12
,AZNM,610277093.1
,CAMX,624977178.2
,ERCT,1664069429
,FRCC,724786852.9
,HIMS,14946843982
,HIOA,1584806857
,MROE,671014904.1
,MROW,635115248.5
,NEWE,1371378975
,NWPP,1228965786
,NYCW,68486337.91
,NYLI,288190855.5
,NYUP,311585140
,RFCE,1262757474
,RFCM,635013180.6
,RFCW,666843708.6
,SRDA,778894486.9
,SRSE,409540927.8
,SRVC,1545011834
p1,NWPP,42357226430
p2,NWPP,64478007312
p3,NWPP,54452004184
p4,NWPP,12017265103
p5,NWPP,1.20E+11
p6,NWPP,48917313816
p7,NWPP,81851667103
p8,CAMX,5015900663
p8,NWPP,34536013092
p9,CAMX,1.79E+11
p9,NWPP,10007983044
p10,AZNM,19030825816
p10,CAMX,1.49E+11
p10,NWPP,144056905.4
p11,AZNM,3885572934
p11,CAMX,7046802565
p12,AZNM,723480094.9
p12,CAMX,9327909.993
p12,NWPP,2.65E+11
p13,AZNM,18718741836
p13,CAMX,63281884.53
p13,NWPP,2172426520
p14,NWPP,19967367345
p15,NWPP,1.41E+11
p16,NWPP,55756544106
