i,region_type
ice,p
battery_2,p
battery_4,p
battery_6,p
battery_8,p
battery_10,p
biopower,p
beccs_mod,p
beccs_max,p
caes,p
can-imports,p
coal-CCS_mod,p
coal-CCS_max,p
coal-CCS-F1,p
coal-CCS-F2,p
coal-CCS-F3,p
Coal-IGCC,p
coal-new,p
CoalOldScr,p
CoalOldUns,p
CofireNew,p
CofireOld,p
csp-ns,s
distpv,p
Gas-CC,p
Gas-CC-CCS_mod,p
Gas-CC-CCS_max,p
Gas-CC-CCS-F1,p
Gas-CC-CCS-F2,p
Gas-CC-CCS-F3,p
Gas-CT,p
RE-CT,p
RE-CC,p
geothermal,p
Hydro,p
lfill-gas,p
MHKwave,p
Nuclear,p
Nuclear-SMR,p
Ocean,p
o-g-s,p
pumped-hydro,p
pumped-hydro-flex,p
hydD,p
hydND,p
hydSD,p
hydSND,p
hydUD,p
hydUND,p
hydNPD,p
hydNPND,p
hydED,p
hydEND,p
upv_1,p
upv_2,p
upv_3,p
upv_4,p
upv_5,p
upv_6,p
upv_7,p
upv_8,p
upv_9,p
upv_10,p
dupv_1,p
dupv_2,p
dupv_3,p
dupv_4,p
dupv_5,p
dupv_6,p
dupv_7,p
dupv_8,p
dupv_9,p
dupv_10,p
pvb1_1,p
pvb1_2,p
pvb1_3,p
pvb1_4,p
pvb1_5,p
pvb1_6,p
pvb1_7,p
pvb1_8,p
pvb1_9,p
pvb1_10,p
pvb2_1,p
pvb2_2,p
pvb2_3,p
pvb2_4,p
pvb2_5,p
pvb2_6,p
pvb2_7,p
pvb2_8,p
pvb2_9,p
pvb2_10,p
pvb3_1,p
pvb3_2,p
pvb3_3,p
pvb3_4,p
pvb3_5,p
pvb3_6,p
pvb3_7,p
pvb3_8,p
pvb3_9,p
pvb3_10,p
wind-ofs_1,s
wind-ofs_2,s
wind-ofs_3,s
wind-ofs_4,s
wind-ofs_5,s
wind-ofs_6,s
wind-ofs_7,s
wind-ofs_8,s
wind-ofs_9,s
wind-ofs_10,s
wind-ofs_11,s
wind-ofs_12,s
wind-ofs_13,s
wind-ofs_14,s
wind-ofs_15,s
wind-ons_1,s
wind-ons_2,s
wind-ons_3,s
wind-ons_4,s
wind-ons_5,s
wind-ons_6,s
wind-ons_7,s
wind-ons_8,s
wind-ons_9,s
wind-ons_10,s
csp1_1,s
csp1_2,s
csp1_3,s
csp1_4,s
csp1_5,s
csp1_6,s
csp1_7,s
csp1_8,s
csp1_9,s
csp1_10,s
csp1_11,s
csp1_12,s
csp2_1,s
csp2_2,s
csp2_3,s
csp2_4,s
csp2_5,s
csp2_6,s
csp2_7,s
csp2_8,s
csp2_9,s
csp2_10,s
csp2_11,s
csp2_12,s
csp3_1,s
csp3_2,s
csp3_3,s
csp3_4,s
csp3_5,s
csp3_6,s
csp3_7,s
csp3_8,s
csp3_9,s
csp3_10,s
csp3_11,s
csp3_12,s
csp4_1,s
csp4_2,s
csp4_3,s
csp4_4,s
csp4_5,s
csp4_6,s
csp4_7,s
csp4_8,s
csp4_9,s
csp4_10,s
csp4_11,s
csp4_12,s
dr1_1,p
dr1_2,p
dr1_3,p
dr1_4,p
dr1_5,p
dr1_6,p
dr1_7,p
dr1_8,p
dr1_9,p
dr1_10,p
dr1_11,p
dr1_12,p
dr1_13,p
dr1_14,p
dr1_15,p
dr1_16,p
dr1_17,p
dr1_18,p
dr1_19,p
dr1_20,p
dr2_1,p
dr2_2,p
dr2_3,p
dr2_4,p
dr2_5,p
dr2_6,p
dr2_7,p
dr2_8,p
dr2_9,p
dr2_10,p
dr2_11,p
dr2_12,p
dr2_13,p
dr2_14,p
dr2_15,p
dr2_16,p
dr2_17,p
dr2_18,p
dr2_19,p
dr2_20,p
deep-egs_pbinary_1,p
deep-egs_pbinary_2,p
deep-egs_pbinary_3,p
deep-egs_pbinary_4,p
deep-egs_pbinary_5,p
deep-egs_pbinary_6,p
deep-egs_pbinary_7,p
deep-egs_pbinary_8,p
deep-egs_pflash_1,p
deep-egs_pflash_2,p
deep-egs_pflash_3,p
deep-egs_pflash_4,p
deep-egs_pflash_5,p
deep-egs_pflash_6,p
deep-egs_pflash_7,p
deep-egs_pflash_8,p
geohydro_pbinary_1,p
geohydro_pbinary_2,p
geohydro_pbinary_3,p
geohydro_pbinary_4,p
geohydro_pbinary_5,p
geohydro_pbinary_6,p
geohydro_pbinary_7,p
geohydro_pbinary_8,p
geohydro_pflash_1,p
geohydro_pflash_2,p
geohydro_pflash_3,p
geohydro_pflash_4,p
geohydro_pflash_5,p
geohydro_pflash_6,p
geohydro_pflash_7,p
geohydro_pflash_8,p
NF-EGS_pbinary_1,p
NF-EGS_pbinary_2,p
NF-EGS_pbinary_3,p
NF-EGS_pbinary_4,p
NF-EGS_pbinary_5,p
NF-EGS_pbinary_6,p
NF-EGS_pbinary_7,p
NF-EGS_pbinary_8,p
NF-EGS_pflash_1,p
NF-EGS_pflash_2,p
NF-EGS_pflash_3,p
NF-EGS_pflash_4,p
NF-EGS_pflash_5,p
NF-EGS_pflash_6,p
NF-EGS_pflash_7,p
NF-EGS_pflash_8,p
undisc_pbinary_1,p
undisc_pbinary_2,p
undisc_pbinary_3,p
undisc_pbinary_4,p
undisc_pbinary_5,p
undisc_pbinary_6,p
undisc_pbinary_7,p
undisc_pbinary_8,p
undisc_pflash_1,p
undisc_pflash_2,p
undisc_pflash_3,p
undisc_pflash_4,p
undisc_pflash_5,p
undisc_pflash_6,p
undisc_pflash_7,p
undisc_pflash_8,p
electrolyzer,p
smr,p
smr_ccs,p
dac,p
dac_gas,p
