r,szn,t,Value
p1,wint,2010,1.0
p1,wint,2012,1.0572309778536801
p1,wint,2014,1.07279813929866
p1,wint,2016,1.08776413903107
p1,wint,2018,1.1020888270267
p1,wint,2020,1.1157367182268898
p1,wint,2022,1.12867699253849
p1,wint,2024,1.14088349483389
p1,wint,2026,1.152334734951
p1,wint,2028,1.16301388769327
p1,wint,2030,1.1729087928296698
p1,wint,2032,1.1820119550947
p1,wint,2034,1.19032054418841
p1,wint,2036,1.1978363947763402
p1,wint,2038,1.20456600648959
p1,wint,2040,1.2105205439247801
p1,wint,2042,1.2157158366440501
p1,wint,2044,1.2201723791751
p1,wint,2046,1.2239153310111102
p1,wint,2048,1.2269745166108401
p1,wint,2050,1.22938442539853
p1,wint,2052,1.231184211764
p1,wint,2054,1.23241769506256
p1,wint,2056,1.23313335961507
p1,wint,2058,1.2333843547078998
p1,wint,2060,1.23322849459297
p1,wint,2062,1.23272825848772
p1,wint,2064,1.2319507905751201
p1,wint,2066,1.23096790000366
p1,wint,2068,1.2298560608873799
p1,wint,2070,1.2286964123058302
p1,wint,2072,1.2275747583041001
p1,wint,2074,1.22658156789281
p1,wint,2076,1.22581197504809
p1,wint,2078,1.2253657787116201
p1,wint,2080,1.2253474427906001
p1,wint,2082,1.22586609615777
p1,wint,2084,1.2270355326513898
p1,wint,2086,1.22897421107524
p1,wint,2088,1.2318052551986498
p1,wint,2090,1.23565645375646
p1,wint,2092,1.24066026044906
p1,wint,2094,1.24695379394234
p1,wint,2096,1.25467883786775
p1,wint,2098,1.2639818408222399
p1,spri,2010,1.0
p1,spri,2012,1.0286593137875202
p1,spri,2014,1.0402945625375302
p1,spri,2016,1.05120851056041
p1,spri,2018,1.06142134731802
p1,spri,2020,1.07095400075682
p1,spri,2022,1.07982813730785
p1,spri,2024,1.08806616188678
p1,spri,2026,1.0956912178938498
p1,spri,2028,1.10272718721394
p1,spri,2030,1.10919869021651
p1,spri,2032,1.1151310857556103
p1,spri,2034,1.12055047116991
p1,spri,2036,1.12548368228267
p1,spri,2038,1.12995829340177
p1,spri,2040,1.1340026173196698
p1,spri,2042,1.13764570531344
p1,spri,2044,1.14091734714475
p1,spri,2046,1.1438480710598797
p1,spri,2048,1.1464691437896999
p1,spri,2050,1.1488125705496899
p1,spri,2052,1.15091109503992
p1,spri,2054,1.15279819944508
p1,spri,2056,1.15450810443444
p1,spri,2058,1.1560757691619
p1,spri,2060,1.1575368912659199
p1,spri,2062,1.1589279068696001
p1,spri,2064,1.1602859905806202
p1,spri,2066,1.16164905549127
p1,spri,2068,1.16305575317845
p1,spri,2070,1.16454547370364
p1,spri,2072,1.1661583456129299
p1,spri,2074,1.16793523593703
p1,spri,2076,1.1699177501912201
p1,spri,2078,1.1721482323754
p1,spri,2080,1.17466976497408
p1,spri,2082,1.17752616895635
p1,spri,2084,1.1807620037759199
p1,spri,2086,1.18442256737108
p1,spri,2088,1.18855389616475
p1,spri,2090,1.19320276506442
p1,spri,2092,1.19841668746221
p1,spri,2094,1.20424391523484
p1,spri,2096,1.2107334387435902
p1,spri,2098,1.2179349868343998
p1,summ,2010,1.0
p1,summ,2012,0.910371067582234
p1,summ,2014,0.9170809487689829
p1,summ,2016,0.9208282057601459
p1,summ,2018,0.9220129652180201
p1,summ,2020,0.9210144115724641
p1,summ,2022,0.9181907870208981
p1,summ,2024,0.9138793915283041
p1,summ,2026,0.908396582827222
p1,summ,2028,0.9020377764177591
p1,summ,2030,0.8950774455675771
p1,summ,2032,0.887769121311903
p1,summ,2034,0.880345392453523
p1,summ,2036,0.873017905562787
p1,summ,2038,0.865977364977604
p1,summ,2040,0.859393532803445
p1,summ,2042,0.85341522891334
p1,summ,2044,0.8481703309478841
p1,summ,2046,0.8437657743152299
p1,summ,2048,0.8402875521910942
p1,summ,2050,0.837800715518752
p1,summ,2052,0.836349373009042
p1,summ,2054,0.835956691140364
p1,summ,2056,0.836624894158677
p1,summ,2058,0.838335264077502
p1,summ,2060,0.8410481406779221
p1,summ,2062,0.8447029215085808
p1,summ,2064,0.8492180618856842
p1,summ,2066,0.8544910748929959
p1,summ,2068,0.8603985313818441
p1,summ,2070,0.866796059971118
p1,summ,2072,0.8735183470472659
p1,summ,2074,0.8803791367643
p1,summ,2076,0.8871712310437909
p1,summ,2078,0.8936664895748728
p1,summ,2080,0.89961582981424
p1,summ,2082,0.904749226986147
p1,summ,2084,0.908775714082412
p1,summ,2086,0.91138338186241
p1,summ,2088,0.9122393788530829
p1,summ,2090,0.91098991134893
p1,summ,2092,0.9072602434120121
p1,summ,2094,0.900654696871953
p1,summ,2096,0.8907566513259352
p1,summ,2098,0.8771285441387041
p1,fall,2010,1.0
p1,fall,2012,1.00261552785595
p1,fall,2014,1.0060416642575798
p1,fall,2016,1.0088625760512602
p1,fall,2018,1.0111473030171099
p1,fall,2020,1.01296043645673
p1,fall,2022,1.01436211919314
p1,fall,2024,1.0154080455708099
p1,fall,2026,1.01614946145568
p1,fall,2028,1.01663316423512
p1,fall,2030,1.01690150281793
p1,fall,2032,1.01699237763439
p1,fall,2034,1.01693924063619
p1,fall,2036,1.01677109529651
p1,fall,2038,1.01651249660994
p1,fall,2040,1.0161835510925301
p1,fall,2042,1.01579991678177
p1,fall,2044,1.01537280323661
p1,fall,2046,1.01490897153744
p1,fall,2048,1.01441073428609
p1,fall,2050,1.0138759556058399
p1,fall,2052,1.01329805114142
p1,fall,2054,1.0126659880589999
p1,fall,2056,1.01196428504621
p1,fall,2058,1.0111730123121099
p1,fall,2060,1.01026779158722
p1,fall,2062,1.00921979612349
p1,fall,2064,1.00799575069434
p1,fall,2066,1.0065579315946098
p1,fall,2068,1.00486416664061
p1,fall,2070,1.00286783517008
p1,fall,2072,1.00051786804221
p1,fall,2074,0.997758747637639
p1,fall,2076,0.994530507858461
p1,fall,2078,0.9907687341282021
p1,fall,2080,0.9864045633918409
p1,fall,2082,0.981364684115802
p1,fall,2084,0.9755713362879591
p1,fall,2086,0.968942311417627
p1,fall,2088,0.9613909525355699
p1,fall,2090,0.952826154194001
p1,fall,2092,0.943152362466576
p1,fall,2094,0.9322695749483979
p1,fall,2096,0.920073340756018
p1,fall,2098,0.906454760527432
p2,wint,2010,1.0
p2,wint,2012,1.14142008429371
p2,wint,2014,1.17025843948484
p2,wint,2016,1.1960989289655901
p2,wint,2018,1.2191378706373701
p2,wint,2020,1.23956694114952
p2,wint,2022,1.25757317589929
p2,wint,2024,1.2733389690318702
p2,wint,2026,1.28704207344037
p2,wint,2028,1.29885560076581
p2,wint,2030,1.3089480213971498
p2,wint,2032,1.3174831644712501
p2,wint,2034,1.3246202178729198
