ba,timezone
p1,-8
p2,-8
p3,-8
p4,-8
p5,-8
p6,-8
p7,-7
p8,-8
p9,-8
p10,-8
p11,-8
p12,-8
p13,-8
p14,-8
p15,-7
p16,-7
p17,-7
p18,-7
p19,-7
p20,-7
p21,-7
p22,-7
p23,-7
p24,-7
p25,-7
p26,-7
p27,-7
p28,-7
p29,-7
p30,-7
p31,-7
p32,-7
p33,-7
p34,-7
p35,-7
p36,-7
p37,-6
p38,-6
p39,-7
p40,-6
p41,-6
p42,-6
p43,-6
p44,-6
p45,-6
p46,-6
p47,-7
p48,-6
p49,-6
p50,-6
p51,-6
p52,-6
p53,-6
p54,-6
p55,-6
p56,-6
p57,-6
p58,-6
p59,-7
p60,-6
p61,-6
p62,-6
p63,-6
p64,-6
p65,-6
p66,-6
p67,-6
p68,-6
p69,-6
p70,-6
p71,-6
p72,-6
p73,-6
p74,-5
p75,-6
p76,-6
p77,-6
p78,-6
p79,-6
p80,-6
p81,-6
p82,-6
p83,-6
p84,-6
p85,-6
p86,-6
p87,-6
p88,-6
p89,-6
p90,-6
p91,-6
p92,-6
p93,-6
p94,-5
p95,-5
p96,-5
p97,-5
p98,-5
p99,-5
p100,-5
p101,-5
p102,-5
p103,-5
p104,-5
p105,-5
p106,-5
p107,-5
p108,-6
p109,-5
p110,-5
p111,-5
p112,-5
p113,-5
p114,-5
p115,-5
p116,-5
p117,-5
p118,-5
p119,-5
p120,-5
p121,-5
p122,-5
p123,-5
p124,-5
p125,-5
p126,-5
p127,-5
p128,-5
p129,-5
p130,-5
p131,-5
p132,-5
p133,-5
p134,-5
