,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
CCGT-GAS,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COGENERATION-BAGASSE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
CT-GAS,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIESEL,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYDRO-PONDAGE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HYDRO-PUMPED,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
HYDRO-ROR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HYDRO-STORAGE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
NUCLEAR,1,1,1,1,1,1,,,,,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
SUBCRITICAL-COAL,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBCRITICAL-LIGNITE,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBCRITICAL-OIL,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUPERCRITICAL-COAL,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHR,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPV,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
DISTPV,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
WIND,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
BATTERY_2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
BATTERY_4,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
BATTERY_6,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
BATTERY_8,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
BATTERY_10,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
