"r","rs","i","h","value"
"Andhra_Pradesh",4,"UPV","H17",0.290241758241759
"Andhra_Pradesh",4,"UPV","H15",0
"Andhra_Pradesh",4,"UPV","H21",0
"Andhra_Pradesh",4,"UPV","H16",0
"Andhra_Pradesh",4,"UPV","H19",0.0788754578754579
"Andhra_Pradesh",4,"UPV","H4",0.569254032258065
"Andhra_Pradesh",4,"UPV","H6",0
"Andhra_Pradesh",4,"UPV","H3",0.441134408602151
"Andhra_Pradesh",4,"UPV","H1",0
"Andhra_Pradesh",4,"UPV","H7",0
"Andhra_Pradesh",4,"UPV","H2",0.0386236559139785
"Andhra_Pradesh",4,"UPV","H5",0.17097311827957
"Andhra_Pradesh",4,"ONSWIND","H32",0.186831967213115
"Andhra_Pradesh",4,"ONSWIND","H34",0.150107843137255
"Andhra_Pradesh",4,"ONSWIND","H31",0.13127868852459
"Andhra_Pradesh",4,"ONSWIND","H29",0.130368852459016
"Andhra_Pradesh",4,"ONSWIND","H35",0.023025
"Andhra_Pradesh",4,"ONSWIND","H30",0.135360655737705
"Andhra_Pradesh",4,"ONSWIND","H33",0.172639344262295
"Andhra_Pradesh",4,"ONSWIND","H25",0.239907608695652
"Andhra_Pradesh",4,"ONSWIND","H27",0.211173252279635
"Andhra_Pradesh",4,"ONSWIND","H24",0.196703804347826
"Andhra_Pradesh",4,"ONSWIND","H22",0.226307971014493
"Andhra_Pradesh",4,"ONSWIND","H28",0.174525
"Andhra_Pradesh",4,"ONSWIND","H23",0.242521739130435
"Andhra_Pradesh",4,"ONSWIND","H26",0.281301818181818
"Andhra_Pradesh",4,"ONSWIND","H11",0.0441101694915254
"Andhra_Pradesh",4,"ONSWIND","H13",0.0434030612244898
"Andhra_Pradesh",4,"ONSWIND","H10",0.020457627118644
"Andhra_Pradesh",4,"ONSWIND","H8",0.0391694915254237
"Andhra_Pradesh",4,"ONSWIND","H14",0.050525
"Andhra_Pradesh",4,"ONSWIND","H9",0.0286214689265536
"Andhra_Pradesh",4,"ONSWIND","H12",0.0535310734463277
"Andhra_Pradesh",4,"ONSWIND","H18",0.120426373626374
"Andhra_Pradesh",4,"ONSWIND","H20",0.0936995708154506
"Andhra_Pradesh",4,"ONSWIND","H17",0.0843846153846154
"Andhra_Pradesh",4,"ONSWIND","H15",0.0998153846153846
"Andhra_Pradesh",4,"ONSWIND","H21",0.0405
"Andhra_Pradesh",4,"ONSWIND","H16",0.105190476190476
"Andhra_Pradesh",4,"ONSWIND","H19",0.122417582417582
"Andhra_Pradesh",4,"ONSWIND","H4",0.0842782258064515
"Andhra_Pradesh",4,"ONSWIND","H6",0.0723076923076923
"Andhra_Pradesh",4,"ONSWIND","H3",0.0446129032258064
"Andhra_Pradesh",4,"ONSWIND","H1",0.0665921658986175
