allt,i,cost_cap,cost_fom,cost_vom,heat_rate
2017,WIND,66600000.0,666000.0,0.0,0.0
2018,WIND,66600000.0,666000.0,0.0,0.0
2019,WIND,66600000.0,666000.0,0.0,0.0
2020,WIND,66600000.0,666000.0,0.0,0.0
2021,WIND,66180000.0,661800.0,0.0,0.0
2022,WIND,65760000.0,657600.0,0.0,0.0
2023,WIND,65340000.0,653400.0,0.0,0.0
2024,WIND,64920000.0,649200.0,0.0,0.0
2025,WIND,64500000.0,645000.0,0.0,0.0
2026,WIND,64080000.0,640800.0,0.0,0.0
2027,WIND,63660000.0,636600.0,0.0,0.0
2028,WIND,63240000.0,632400.0,0.0,0.0
2029,WIND,62820000.0,628200.0,0.0,0.0
2030,WIND,62400000.0,624000.0,0.0,0.0
2031,WIND,62200000.0,622000.0,0.0,0.0
2032,WIND,62000000.0,620000.0,0.0,0.0
2033,WIND,61800000.0,618000.0,0.0,0.0
2034,WIND,61600000.0,616000.0,0.0,0.0
2035,WIND,61400000.0,614000.0,0.0,0.0
2036,WIND,61200000.0,612000.0,0.0,0.0
2037,WIND,61000000.0,610000.0,0.0,0.0
2038,WIND,60800000.0,608000.0,0.0,0.0
2039,WIND,60600000.0,606000.0,0.0,0.0
2040,WIND,60400000.0,604000.0,0.0,0.0
2041,WIND,60270000.0,602700.0,0.0,0.0
2042,WIND,60140000.0,601400.0,0.0,0.0
2043,WIND,60010000.0,600100.0,0.0,0.0
2044,WIND,59880000.0,598800.0,0.0,0.0
2045,WIND,59750000.0,597500.0,0.0,0.0
2046,WIND,59620000.0,596200.0,0.0,0.0
2047,WIND,59490000.0,594900.0,0.0,0.0
2048,WIND,59360000.0,593600.0,0.0,0.0
2049,WIND,59230000.0,592300.0,0.0,0.0
2050,WIND,59100000.0,591000.0,0.0,0.0
2017,UPV,54000000.0,540000.0,0.0,0.0
2018,UPV,54000000.0,540000.0,0.0,0.0
2019,UPV,54000000.0,540000.0,0.0,0.0
2020,UPV,54000000.0,540000.0,0.0,0.0
2021,UPV,52500000.0,525000.0,0.0,0.0
2022,UPV,51000000.0,510000.0,0.0,0.0
2023,UPV,49500000.0,495000.0,0.0,0.0
2024,UPV,48000000.0,480000.0,0.0,0.0
2025,UPV,46500000.0,465000.0,0.0,0.0
2026,UPV,45000000.0,450000.0,0.0,0.0
2027,UPV,43500000.0,435000.0,0.0,0.0
2028,UPV,42000000.0,420000.0,0.0,0.0
2029,UPV,40500000.0,405000.0,0.0,0.0
2030,UPV,39000000.0,390000.0,0.0,0.0
2031,UPV,37800000.0,378000.0,0.0,0.0
2032,UPV,36600000.0,366000.0,0.0,0.0
2033,UPV,35400000.0,354000.0,0.0,0.0
2034,UPV,34200000.0,342000.0,0.0,0.0
2035,UPV,33000000.0,330000.0,0.0,0.0
2036,UPV,31800000.0,318000.0,0.0,0.0
2037,UPV,30600000.0,306000.0,0.0,0.0
2038,UPV,29400000.0,294000.0,0.0,0.0
2039,UPV,28200000.0,282000.0,0.0,0.0
2040,UPV,27000000.0,270000.0,0.0,0.0
2041,UPV,26600000.0,266000.0,0.0,0.0
2042,UPV,26200000.0,262000.0,0.0,0.0
2043,UPV,25800000.0,258000.0,0.0,0.0
2044,UPV,25400000.0,254000.0,0.0,0.0
2045,UPV,25000000.0,250000.0,0.0,0.0
2046,UPV,24600000.0,246000.0,0.0,0.0
2047,UPV,24200000.0,242000.0,0.0,0.0
2048,UPV,23800000.0,238000.0,0.0,0.0
2049,UPV,23400000.0,234000.0,0.0,0.0
2050,UPV,23000000.0,230000.0,0.0,0.0
2017,DISTPV,108594185.0,1085942.0,0.0,0.0
2018,DISTPV,105947172.0,1059472.0,0.0,0.0
2019,DISTPV,103364679.0,1033647.0,0.0,0.0
2020,DISTPV,100845136.0,1008451.0,0.0,0.0
2021,DISTPV,95980435.0,959804.0,0.0,0.0
2022,DISTPV,91115734.0,911157.0,0.0,0.0
2023,DISTPV,86251033.0,862510.0,0.0,0.0
2024,DISTPV,81386332.0,813863.0,0.0,0.0
2025,DISTPV,76521631.0,765216.0,0.0,0.0
2026,DISTPV,71656929.0,716569.0,0.0,0.0
2027,DISTPV,66792228.0,667922.0,0.0,0.0
2028,DISTPV,61927527.0,619275.0,0.0,0.0
2029,DISTPV,57062826.0,570628.0,0.0,0.0
2030,DISTPV,52198125.0,521981.0,0.0,0.0
2031,DISTPV,51591832.0,515918.0,0.0,0.0
2032,DISTPV,50985540.0,509855.0,0.0,0.0
2033,DISTPV,50379247.0,503792.0,0.0,0.0
2034,DISTPV,49772954.0,497730.0,0.0,0.0
2035,DISTPV,49166662.0,491667.0,0.0,0.0
2036,DISTPV,48560369.0,485604.0,0.0,0.0
2037,DISTPV,47954076.0,479541.0,0.0,0.0
2038,DISTPV,47347784.0,473478.0,0.0,0.0
2039,DISTPV,46741491.0,467415.0,0.0,0.0
2040,DISTPV,46135198.0,461352.0,0.0,0.0
2041,DISTPV,45528906.0,455289.0,0.0,0.0
2042,DISTPV,44922613.0,449226.0,0.0,0.0
2043,DISTPV,44316320.0,443163.0,0.0,0.0
2044,DISTPV,43710028.0,437100.0,0.0,0.0
2045,DISTPV,43103735.0,431037.0,0.0,0.0
2046,DISTPV,42497442.0,424974.0,0.0,0.0
2047,DISTPV,41891150.0,418911.0,0.0,0.0
2048,DISTPV,41284857.0,412849.0,0.0,0.0
2049,DISTPV,40678564.0,406786.0,0.0,0.0
2050,DISTPV,40072272.0,400723.0,0.0,0.0
2017,BATTERY_2,57806097.0,1445152.0,0.0,0.0
2018,BATTERY_2,57806097.0,1445152.0,0.0,0.0
2019,BATTERY_2,57806097.0,1445152.0,0.0,0.0
2020,BATTERY_2,57806097.0,1445152.0,0.0,0.0
2021,BATTERY_2,50116322.0,1252908.0,0.0,0.0
2022,BATTERY_2,48730487.0,1218262.0,0.0,0.0
2023,BATTERY_2,47344652.0,1183616.0,0.0,0.0
2024,BATTERY_2,45958817.0,1148970.0,0.0,0.0
2025,BATTERY_2,44572982.0,1114325.0,0.0,0.0
2026,BATTERY_2,43631890.0,1090797.0,0.0,0.0
2027,BATTERY_2,42690797.0,1067270.0,0.0,0.0
2028,BATTERY_2,41749705.0,1043743.0,0.0,0.0
2029,BATTERY_2,40808613.0,1020215.0,0.0,0.0
2030,BATTERY_2,39867520.0,996688.0,0.0,0.0
2031,BATTERY_2,39867520.0,996688.0,0.0,0.0
2032,BATTERY_2,39867520.0,996688.0,0.0,0.0
2033,BATTERY_2,39867520.0,996688.0,0.0,0.0
2034,BATTERY_2,39867520.0,996688.0,0.0,0.0
2035,BATTERY_2,39867520.0,996688.0,0.0,0.0
2036,BATTERY_2,39867520.0,996688.0,0.0,0.0
2037,BATTERY_2,39867520.0,996688.0,0.0,0.0
2038,BATTERY_2,39867520.0,996688.0,0.0,0.0
2039,BATTERY_2,39867520.0,996688.0,0.0,0.0
2040,BATTERY_2,39867520.0,996688.0,0.0,0.0
2041,BATTERY_2,39867520.0,996688.0,0.0,0.0
2042,BATTERY_2,39867520.0,996688.0,0.0,0.0
2043,BATTERY_2,39867520.0,996688.0,0.0,0.0
2044,BATTERY_2,39867520.0,996688.0,0.0,0.0
2045,BATTERY_2,39867520.0,996688.0,0.0,0.0
2046,BATTERY_2,39867520.0,996688.0,0.0,0.0
2047,BATTERY_2,39867520.0,996688.0,0.0,0.0
2048,BATTERY_2,39867520.0,996688.0,0.0,0.0
2049,BATTERY_2,39867520.0,996688.0,0.0,0.0
2050,BATTERY_2,39867520.0,996688.0,0.0,0.0
2017,BATTERY_4,101024477.0,2525612.0,0.0,0.0
2018,BATTERY_4,101024477.0,2525612.0,0.0,0.0
2019,BATTERY_4,101024477.0,2525612.0,0.0,0.0
2020,BATTERY_4,101024477.0,2525612.0,0.0,0.0
2021,BATTERY_4,86298238.0,2157456.0,0.0,0.0
2022,BATTERY_4,83911887.0,2097797.0,0.0,0.0
2023,BATTERY_4,81525536.0,2038138.0,0.0,0.0
2024,BATTERY_4,79139185.0,1978480.0,0.0,0.0
2025,BATTERY_4,76752835.0,1918821.0,0.0,0.0
2026,BATTERY_4,75132312.0,1878308.0,0.0,0.0
2027,BATTERY_4,73511790.0,1837795.0,0.0,0.0
2028,BATTERY_4,71891268.0,1797282.0,0.0,0.0
2029,BATTERY_4,70270746.0,1756769.0,0.0,0.0
2030,BATTERY_4,68650224.0,1716256.0,0.0,0.0
2031,BATTERY_4,68650224.0,1716256.0,0.0,0.0
2032,BATTERY_4,68650224.0,1716256.0,0.0,0.0
2033,BATTERY_4,68650224.0,1716256.0,0.0,0.0
2034,BATTERY_4,68650224.0,1716256.0,0.0,0.0
2035,BATTERY_4,68650224.0,1716256.0,0.0,0.0
2036,BATTERY_4,68650224.0,1716256.0,0.0,0.0
2037,BATTERY_4,68650224.0,1716256.0,0.0,0.0
2038,BATTERY_4,68650224.0,1716256.0,0.0,0.0
2039,BATTERY_4,68650224.0,1716256.0,0.0,0.0
2040,BATTERY_4,68650224.0,1716256.0,0.0,0.0
2041,BATTERY_4,68650224.0,1716256.0,0.0,0.0
2042,BATTERY_4,68650224.0,1716256.0,0.0,0.0
2043,BATTERY_4,68650224.0,1716256.0,0.0,0.0
2044,BATTERY_4,68650224.0,1716256.0,0.0,0.0
2045,BATTERY_4,68650224.0,1716256.0,0.0,0.0
2046,BATTERY_4,68650224.0,1716256.0,0.0,0.0
2047,BATTERY_4,68650224.0,1716256.0,0.0,0.0
2048,BATTERY_4,68650224.0,1716256.0,0.0,0.0
2049,BATTERY_4,68650224.0,1716256.0,0.0,0.0
2050,BATTERY_4,68650224.0,1716256.0,0.0,0.0
2017,BATTERY_6,144242856.0,3606071.0,0.0,0.0
2018,BATTERY_6,144242856.0,3606071.0,0.0,0.0
