t,i,r,rs,value
2022,NEPAL_STORAGE,Bihar,sk,55.72323424
2023,NEPAL_STORAGE,Bihar,sk,6.31717025
2024,NEPAL_STORAGE,Bihar,sk,6.31717025
2025,NEPAL_STORAGE,Bihar,sk,6.31717025
2026,NEPAL_STORAGE,Bihar,sk,-24.7737761
2027,NEPAL_STORAGE,Bihar,sk,3.89215288
2028,NEPAL_STORAGE,Bihar,sk,3.89215288
2029,NEPAL_STORAGE,Bihar,sk,3.89215288
2030,NEPAL_STORAGE,Bihar,sk,-6.65045266
2031,NEPAL_STORAGE,Bihar,sk,94.46191173
2032,NEPAL_STORAGE,Bihar,sk,98.1804098
2033,NEPAL_STORAGE,Bihar,sk,198.040035
2034,NEPAL_STORAGE,Bihar,sk,174.3123034
2035,NEPAL_STORAGE,Bihar,sk,171.2385607
2036,NEPAL_STORAGE,Bihar,sk,184.4114973
2037,NEPAL_STORAGE,Bihar,sk,135.5978252
2038,NEPAL_STORAGE,Bihar,sk,184.411497
2039,NEPAL_STORAGE,Bihar,sk,135.321941
2040,NEPAL_STORAGE,Bihar,sk,41.702066
2041,NEPAL_STORAGE,Bihar,sk,0
2042,NEPAL_STORAGE,Bihar,sk,0
2043,NEPAL_STORAGE,Bihar,sk,0
2044,NEPAL_STORAGE,Bihar,sk,0
2045,NEPAL_STORAGE,Bihar,sk,0
2046,NEPAL_STORAGE,Bihar,sk,0
2047,NEPAL_STORAGE,Bihar,sk,0
2048,NEPAL_STORAGE,Bihar,sk,0
2049,NEPAL_STORAGE,Bihar,sk,0
2050,NEPAL_STORAGE,Bihar,sk,0
2022,NEPAL_STORAGE,UP_Lucknow,sk,69.58727987
2023,NEPAL_STORAGE,UP_Lucknow,sk,7.888894118
2024,NEPAL_STORAGE,UP_Lucknow,sk,7.88889406
2025,NEPAL_STORAGE,UP_Lucknow,sk,7.888894132
2026,NEPAL_STORAGE,UP_Lucknow,sk,30.09715707
2027,NEPAL_STORAGE,UP_Lucknow,sk,9.621084061
2028,NEPAL_STORAGE,UP_Lucknow,sk,9.621083989
2029,NEPAL_STORAGE,UP_Lucknow,sk,9.621083989
2030,NEPAL_STORAGE,UP_Lucknow,sk,17.15166717
2031,NEPAL_STORAGE,UP_Lucknow,sk,78.80008918
2032,NEPAL_STORAGE,UP_Lucknow,sk,163.0981572
2033,NEPAL_STORAGE,UP_Lucknow,sk,95.3210291
2034,NEPAL_STORAGE,UP_Lucknow,sk,198.1647301
2035,NEPAL_STORAGE,UP_Lucknow,sk,114.465322
2036,NEPAL_STORAGE,UP_Lucknow,sk,190.9508761
2037,NEPAL_STORAGE,UP_Lucknow,sk,140.4062324
2038,NEPAL_STORAGE,UP_Lucknow,sk,190.9508754
2039,NEPAL_STORAGE,UP_Lucknow,sk,140.1205645
2040,NEPAL_STORAGE,UP_Lucknow,sk,295.5517202
2041,NEPAL_STORAGE,UP_Lucknow,sk,0
2042,NEPAL_STORAGE,UP_Lucknow,sk,0
2043,NEPAL_STORAGE,UP_Lucknow,sk,0
2044,NEPAL_STORAGE,UP_Lucknow,sk,0
2045,NEPAL_STORAGE,UP_Lucknow,sk,0
2046,NEPAL_STORAGE,UP_Lucknow,sk,0
2047,NEPAL_STORAGE,UP_Lucknow,sk,0
2048,NEPAL_STORAGE,UP_Lucknow,sk,0
2049,NEPAL_STORAGE,UP_Lucknow,sk,0
2050,NEPAL_STORAGE,UP_Lucknow,sk,0
2022,NEPAL_STORAGE,UP_Varanasi,sk,19.88108586
2023,NEPAL_STORAGE,UP_Varanasi,sk,2.253857049
2024,NEPAL_STORAGE,UP_Varanasi,sk,2.253857033
2025,NEPAL_STORAGE,UP_Varanasi,sk,2.253857053
2026,NEPAL_STORAGE,UP_Varanasi,sk,8.598757776
2027,NEPAL_STORAGE,UP_Varanasi,sk,2.748743716
2028,NEPAL_STORAGE,UP_Varanasi,sk,2.748743696
2029,NEPAL_STORAGE,UP_Varanasi,sk,2.748743696
2030,NEPAL_STORAGE,UP_Varanasi,sk,4.90023131
2031,NEPAL_STORAGE,UP_Varanasi,sk,22.51318548
2032,NEPAL_STORAGE,UP_Varanasi,sk,46.59714351
2033,NEPAL_STORAGE,UP_Varanasi,sk,27.23321801
2034,NEPAL_STORAGE,UP_Varanasi,sk,56.6156634
2035,NEPAL_STORAGE,UP_Varanasi,sk,32.70274251
2036,NEPAL_STORAGE,UP_Varanasi,sk,54.5546653
2037,NEPAL_STORAGE,UP_Varanasi,sk,40.11406058
2038,NEPAL_STORAGE,UP_Varanasi,sk,54.55466509
2039,NEPAL_STORAGE,UP_Varanasi,sk,40.03244528
2040,NEPAL_STORAGE,UP_Varanasi,sk,84.43912646
2041,NEPAL_STORAGE,UP_Varanasi,sk,0
2042,NEPAL_STORAGE,UP_Varanasi,sk,0
2043,NEPAL_STORAGE,UP_Varanasi,sk,0
2044,NEPAL_STORAGE,UP_Varanasi,sk,0
2045,NEPAL_STORAGE,UP_Varanasi,sk,0
2046,NEPAL_STORAGE,UP_Varanasi,sk,0
2047,NEPAL_STORAGE,UP_Varanasi,sk,0
2048,NEPAL_STORAGE,UP_Varanasi,sk,0
2049,NEPAL_STORAGE,UP_Varanasi,sk,0
2050,NEPAL_STORAGE,UP_Varanasi,sk,0
