i,r,rs,value
HYDRO-PONDAGE,Andhra_Pradesh,sk,510
HYDRO-ROR,Andhra_Pradesh,sk,0
HYDRO-STORAGE,Andhra_Pradesh,sk,2682.11
HYDRO-PUMPED,Andhra_Pradesh,sk,1200
HYDRO-PONDAGE,Maharashtra,sk,494
HYDRO-ROR,Maharashtra,sk,0
HYDRO-STORAGE,Maharashtra,sk,2534.08
HYDRO-PUMPED,Maharashtra,sk,400
HYDRO-PONDAGE,Rajasthan,sk,189
HYDRO-ROR,Rajasthan,sk,0
HYDRO-STORAGE,Rajasthan,sk,245.85
HYDRO-PUMPED,Rajasthan,sk,0
HYDRO-PONDAGE,Karnataka,sk,742
HYDRO-ROR,Karnataka,sk,0
HYDRO-STORAGE,Karnataka,sk,4212.93
HYDRO-PUMPED,Karnataka,sk,0
HYDRO-PONDAGE,Arunachal_Pradesh,sk,3115
HYDRO-ROR,Arunachal_Pradesh,sk,0
HYDRO-STORAGE,Arunachal_Pradesh,sk,3683.11
HYDRO-PUMPED,Arunachal_Pradesh,sk,0
HYDRO-PONDAGE,Assam,sk,100
HYDRO-ROR,Assam,sk,240
HYDRO-STORAGE,Assam,sk,284.11
HYDRO-PUMPED,Assam,sk,0
HYDRO-PONDAGE,Bihar,sk,0
HYDRO-ROR,Bihar,sk,0
HYDRO-STORAGE,Bihar,sk,70.7
HYDRO-PUMPED,Bihar,sk,0
HYDRO-PONDAGE,Chandigarh,sk,0
HYDRO-ROR,Chandigarh,sk,0
HYDRO-STORAGE,Chandigarh,sk,0
HYDRO-PUMPED,Chandigarh,sk,0
HYDRO-PONDAGE,Chhattisgarh,sk,0
HYDRO-ROR,Chhattisgarh,sk,0
HYDRO-STORAGE,Chhattisgarh,sk,196
HYDRO-PUMPED,Chhattisgarh,sk,0
HYDRO-PONDAGE,Gujarat,sk,250
HYDRO-ROR,Gujarat,sk,0
HYDRO-STORAGE,Gujarat,sk,389.39
HYDRO-PUMPED,Gujarat,sk,1440
HYDRO-PONDAGE,Daman_Diu,sk,0
HYDRO-ROR,Daman_Diu,sk,0
HYDRO-STORAGE,Daman_Diu,sk,0
HYDRO-PUMPED,Daman_Diu,sk,0
HYDRO-PONDAGE,Delhi,sk,0
HYDRO-ROR,Delhi,sk,0
HYDRO-STORAGE,Delhi,sk,0
HYDRO-PUMPED,Delhi,sk,0
HYDRO-PONDAGE,Goa,sk,0
HYDRO-ROR,Goa,sk,0
HYDRO-STORAGE,Goa,sk,0.05
HYDRO-PUMPED,Goa,sk,0
HYDRO-PONDAGE,Haryana,sk,0
HYDRO-ROR,Haryana,sk,0
HYDRO-STORAGE,Haryana,sk,73.5
HYDRO-PUMPED,Haryana,sk,0
