i,r,value
DIESEL,Andhra_Pradesh,36.8
CCGT-GAS,Andhra_Pradesh,4914.4
SUBCRITICAL-COAL,Andhra_Pradesh,5080
SUPERCRITICAL-COAL,Andhra_Pradesh,3580
WHR,Assam,37.5
CCGT-GAS,Assam,339.5
CT-GAS,Assam,127
SUBCRITICAL-COAL,Assam,250
SUBCRITICAL-COAL,Bihar,3035
SUPERCRITICAL-COAL,Bihar,1920
SUBCRITICAL-COAL,Chhattisgarh,14718
SUPERCRITICAL-COAL,Chhattisgarh,4310
CCGT-GAS,Delhi,2237
CCGT-GAS,Goa,48
NUCLEAR,Gujarat,440
CCGT-GAS,Gujarat,6984
SUBCRITICAL-COAL,Gujarat,7459.06
SUBCRITICAL-LIGNITE,Gujarat,790
SUPERCRITICAL-COAL,Gujarat,7300
CCGT-GAS,Haryana,372
SUBCRITICAL-COAL,Haryana,4010
SUPERCRITICAL-COAL,Haryana,1320
CCGT-GAS,Jammu_Kashmir,175
SUBCRITICAL-COAL,Jharkhand,3750
DIESEL,Karnataka,153.12
NUCLEAR,Karnataka,880
SUBCRITICAL-COAL,Karnataka,3760
SUPERCRITICAL-COAL,Karnataka,1600
DIESEL,Kerala,159.96
CCGT-GAS,Kerala,559.9
SUBCRITICAL-COAL,Madhya_Pradesh,11743.5
SUPERCRITICAL-COAL,Madhya_Pradesh,5280
NUCLEAR,Maharashtra,1400
CCGT-GAS,Maharashtra,3207.08
SUBCRITICAL-COAL,Maharashtra,14910
SUPERCRITICAL-COAL,Maharashtra,5940
DIESEL,Manipur,36
SUBCRITICAL-COAL,Odisha,6870
CCGT-GAS,Puducherry,32.5
SUBCRITICAL-COAL,Punjab,1460
SUPERCRITICAL-COAL,Punjab,3380
NUCLEAR,Rajasthan,1280
CCGT-GAS,Rajasthan,1024.8
SUBCRITICAL-COAL,Rajasthan,5670
SUPERCRITICAL-COAL,Rajasthan,1320
DIESEL,Tamil_Nadu,411.701
NUCLEAR,Tamil_Nadu,1440
CCGT-GAS,Tamil_Nadu,997.8
SUBCRITICAL-COAL,Tamil_Nadu,6250
SUPERCRITICAL-COAL,Tamil_Nadu,1320
SUBCRITICAL-COAL,Telangana,5400
CCGT-GAS,Tripura,868
CT-GAS,Tripura,238
COGENERATION-BAGASSE,Uttar_Pradesh,450
NUCLEAR,Uttar_Pradesh,440
CCGT-GAS,Uttar_Pradesh,1493.14
SUBCRITICAL-COAL,Uttar_Pradesh,14320
SUPERCRITICAL-COAL,Uttar_Pradesh,3300
CCGT-GAS,Uttarakhand,450
CCGT-GAS,West_Bengal,100
SUBCRITICAL-COAL,West_Bengal,12195
