i,r,rs,value
HYDRO-PONDAGE,Andhra_Pradesh,sk,140
HYDRO-PONDAGE,Arunachal_Pradesh,sk,405
HYDRO-PONDAGE,Gujarat,sk,1050
HYDRO-PONDAGE,Himachal_Pradesh,sk,5869
HYDRO-PONDAGE,Jammu_Kashmir,sk,1709
HYDRO-PONDAGE,Jharkhand,sk,143.2
HYDRO-PONDAGE,Karnataka,sk,494.2
HYDRO-PONDAGE,Kerala,sk,48
HYDRO-PONDAGE,Madhya_Pradesh,sk,375
HYDRO-PONDAGE,Maharashtra,sk,259
HYDRO-PONDAGE,Odisha,sk,114.75
HYDRO-PONDAGE,Sikkim,sk,570
HYDRO-PONDAGE,Tamil_Nadu,sk,703.2
HYDRO-PONDAGE,Telangana,sk,216
HYDRO-PONDAGE,Uttar_Pradesh,sk,102.6
HYDRO-PONDAGE,Uttarakhand,sk,240
HYDRO-PONDAGE,West_Bengal,sk,132
HYDRO-PUMPED,Maharashtra,sk,250
HYDRO-PUMPED,Tamil_Nadu,sk,400
HYDRO-PUMPED,Telangana,sk,900
HYDRO-PUMPED,West_Bengal,sk,900
HYDRO-ROR,Assam,sk,100
HYDRO-ROR,Gujarat,sk,240
HYDRO-ROR,Himachal_Pradesh,sk,1339.02
HYDRO-ROR,Jammu_Kashmir,sk,1740
HYDRO-ROR,Kerala,sk,138.65
HYDRO-ROR,Madhya_Pradesh,sk,550
HYDRO-ROR,Maharashtra,sk,80
HYDRO-ROR,Manipur,sk,35
HYDRO-ROR,Meghalaya,sk,166
HYDRO-ROR,Mizoram,sk,30
HYDRO-ROR,Punjab,sk,496.3
HYDRO-ROR,Sikkim,sk,206
HYDRO-ROR,Tamil_Nadu,sk,555
HYDRO-ROR,Uttar_Pradesh,sk,99
HYDRO-ROR,Uttarakhand,sk,2516.35
HYDRO-ROR,West_Bengal,sk,196
HYDRO-STORAGE,Andhra_Pradesh,sk,1240
HYDRO-STORAGE,Arunachal_Pradesh,sk,710
HYDRO-STORAGE,Assam,sk,250
HYDRO-STORAGE,Chhattisgarh,sk,120
HYDRO-STORAGE,Gujarat,sk,700
HYDRO-STORAGE,Himachal_Pradesh,sk,3055
HYDRO-STORAGE,Jharkhand,sk,130
HYDRO-STORAGE,Karnataka,sk,3195
HYDRO-STORAGE,Kerala,sk,1677.5
HYDRO-STORAGE,Madhya_Pradesh,sk,1470
HYDRO-STORAGE,Maharashtra,sk,2298
HYDRO-STORAGE,Manipur,sk,70
HYDRO-STORAGE,Meghalaya,sk,156
HYDRO-STORAGE,Mizoram,sk,30
HYDRO-STORAGE,Nagaland,sk,75
HYDRO-STORAGE,Odisha,sk,2039.8
HYDRO-STORAGE,Punjab,sk,600
HYDRO-STORAGE,Rajasthan,sk,411
HYDRO-STORAGE,Sikkim,sk,1506
HYDRO-STORAGE,Tamil_Nadu,sk,520
HYDRO-STORAGE,Telangana,sk,1519.6
HYDRO-STORAGE,Uttar_Pradesh,sk,300
HYDRO-STORAGE,Uttarakhand,sk,1219
HYDRO-STORAGE,West_Bengal,sk,50
