allt,i,cost_cap,cost_fom,cost_vom,heat_rate
2023,BATTERY_10,162876081.0,4071902.0,0.0,0.0
2024,BATTERY_10,148798895.0,3719972.0,0.0,0.0
2025,BATTERY_10,140347886.0,3508697.0,0.0,0.0
2026,BATTERY_10,132814944.0,3320374.0,0.0,0.0
2027,BATTERY_10,126270701.0,3156768.0,0.0,0.0
2028,BATTERY_10,119420436.0,2985511.0,0.0,0.0
2029,BATTERY_10,113182215.0,2829555.0,0.0,0.0
2030,BATTERY_10,107626672.0,2690667.0,0.0,0.0
2031,BATTERY_10,106324417.0,2658110.0,0.0,0.0
2032,BATTERY_10,104979084.0,2624477.0,0.0,0.0
2033,BATTERY_10,103633751.0,2590844.0,0.0,0.0
2034,BATTERY_10,102288417.0,2557210.0,0.0,0.0
2035,BATTERY_10,100943084.0,2523577.0,0.0,0.0
2036,BATTERY_10,99597750.0,2489944.0,0.0,0.0
2037,BATTERY_10,98252417.0,2456310.0,0.0,0.0
2038,BATTERY_10,96907084.0,2422677.0,0.0,0.0
2039,BATTERY_10,95561750.0,2389044.0,0.0,0.0
2040,BATTERY_10,94216417.0,2355410.0,0.0,0.0
2041,BATTERY_10,92871083.0,2321777.0,0.0,0.0
2042,BATTERY_10,91525750.0,2288144.0,0.0,0.0
2043,BATTERY_10,90180417.0,2254510.0,0.0,0.0
2044,BATTERY_10,88835083.0,2220877.0,0.0,0.0
2045,BATTERY_10,87489750.0,2187244.0,0.0,0.0
2046,BATTERY_10,86144416.0,2153610.0,0.0,0.0
2047,BATTERY_10,84799083.0,2119977.0,0.0,0.0
2048,BATTERY_10,83453750.0,2086344.0,0.0,0.0
2049,BATTERY_10,82108416.0,2052710.0,0.0,0.0
2050,BATTERY_10,80746016.0,2018650.0,0.0,0.0
2051,BATTERY_10,80746016.0,2018650.0,0.0,0.0
2052,BATTERY_10,80746016.0,2018650.0,0.0,0.0
2053,BATTERY_10,80746016.0,2018650.0,0.0,0.0
2054,BATTERY_10,80746016.0,2018650.0,0.0,0.0
2055,BATTERY_10,80746016.0,2018650.0,0.0,0.0
2056,BATTERY_10,80746016.0,2018650.0,0.0,0.0
2057,BATTERY_10,80746016.0,2018650.0,0.0,0.0
2058,BATTERY_10,80746016.0,2018650.0,0.0,0.0
2059,BATTERY_10,80746016.0,2018650.0,0.0,0.0
2060,BATTERY_10,80746016.0,2018650.0,0.0,0.0
2061,BATTERY_10,80746016.0,2018650.0,0.0,0.0
2062,BATTERY_10,80746016.0,2018650.0,0.0,0.0
2063,BATTERY_10,80746016.0,2018650.0,0.0,0.0
2064,BATTERY_10,80746016.0,2018650.0,0.0,0.0
2065,BATTERY_10,80746016.0,2018650.0,0.0,0.0
2066,BATTERY_10,80746016.0,2018650.0,0.0,0.0
2067,BATTERY_10,80746016.0,2018650.0,0.0,0.0
2068,BATTERY_10,80746016.0,2018650.0,0.0,0.0
2069,BATTERY_10,80746016.0,2018650.0,0.0,0.0
2070,BATTERY_10,80746016.0,2018650.0,0.0,0.0
2023,BATTERY_2,43635051.0,1090876.0,0.0,0.0
2024,BATTERY_2,41390945.0,1034774.0,0.0,0.0
2025,BATTERY_2,39311594.0,982790.0,0.0,0.0
2026,BATTERY_2,38150310.0,953758.0,0.0,0.0
2027,BATTERY_2,37067488.0,926687.0,0.0,0.0
2028,BATTERY_2,35678644.0,891966.0,0.0,0.0
2029,BATTERY_2,34901845.0,872546.0,0.0,0.0
