,0,1,2,3,4,5,6,7,8
1,1,,,,,,,,
2a,0.8,0.2,,,,,,,
2b,0.6,0.4,,,,,,,
3a,0.3,0.4,0.3,,,,,,
5a,0.1,0.1,0.2,0.3,0.3,,,,
5b,0.2,0.25,0.25,0.2,0.1,,,,
9,0.03,0.01,0.04,0.05,0.1,0.15,0.21,0.26,0.15
3b,0.4,0.5,0.1,,,,,,
