t,i,r,c,wVC,cap
2022,CCGT-GAS,Andhra_Pradesh,init-3,1735.302607,583
2028,CCGT-GAS,Andhra_Pradesh,init-3,1735.302607,583
2036,CCGT-GAS,Andhra_Pradesh,init-3,1735.302607,583
2046,CCGT-GAS,Andhra_Pradesh,init-3,1735.302607,583
2030,CCGT-GAS,Andhra_Pradesh,init-3,1735.302607,583
2025,CCGT-GAS,Andhra_Pradesh,init-3,1735.302607,583
2023,CCGT-GAS,Andhra_Pradesh,init-3,1735.302607,583
2039,CCGT-GAS,Andhra_Pradesh,init-3,1735.302607,583
2041,CCGT-GAS,Andhra_Pradesh,init-3,1735.302607,583
2042,CCGT-GAS,Andhra_Pradesh,init-3,1735.302607,583
2029,CCGT-GAS,Andhra_Pradesh,init-3,1735.302607,583
2031,CCGT-GAS,Andhra_Pradesh,init-3,1735.302607,583
2037,CCGT-GAS,Andhra_Pradesh,init-3,1735.302607,583
2045,CCGT-GAS,Andhra_Pradesh,init-3,1735.302607,583
2026,CCGT-GAS,Andhra_Pradesh,init-3,1735.302607,583
2040,CCGT-GAS,Andhra_Pradesh,init-3,1735.302607,583
2035,CCGT-GAS,Andhra_Pradesh,init-3,1735.302607,583
2033,CCGT-GAS,Andhra_Pradesh,init-3,1735.302607,583
2032,CCGT-GAS,Andhra_Pradesh,init-3,1735.302607,583
2017,CCGT-GAS,Andhra_Pradesh,init-4,5122.03,3850.4
2027,CCGT-GAS,Andhra_Pradesh,init-4,5122.03,3850.4
2043,CCGT-GAS,Andhra_Pradesh,init-4,5122.03,3850.4
2034,CCGT-GAS,Andhra_Pradesh,init-4,5122.03,3850.4
2024,CCGT-GAS,Andhra_Pradesh,init-4,5122.03,3850.4
2044,CCGT-GAS,Andhra_Pradesh,init-4,5122.03,3850.4
2021,CCGT-GAS,Andhra_Pradesh,init-4,5122.03,3850.4
2028,CCGT-GAS,Andhra_Pradesh,init-4,5122.03,3850.4
2047,CCGT-GAS,Andhra_Pradesh,init-4,5122.03,3850.4
2020,CCGT-GAS,Andhra_Pradesh,init-4,5122.03,3850.4
2045,CCGT-GAS,Andhra_Pradesh,init-4,5122.03,3850.4
2041,CCGT-GAS,Andhra_Pradesh,init-4,5122.03,3850.4
2019,CCGT-GAS,Andhra_Pradesh,init-4,5122.03,3850.4
2035,CCGT-GAS,Andhra_Pradesh,init-4,5122.03,3850.4
2018,CCGT-GAS,Andhra_Pradesh,init-4,5122.03,3850.4
2036,CCGT-GAS,Andhra_Pradesh,init-4,5122.03,3850.4
2031,CCGT-GAS,Andhra_Pradesh,init-4,5122.03,3850.4
2046,CCGT-GAS,Andhra_Pradesh,init-4,5122.03,3850.4
2033,CCGT-GAS,Andhra_Pradesh,init-4,5122.03,3850.4
2029,CCGT-GAS,Andhra_Pradesh,init-4,5122.03,3850.4
2022,CCGT-GAS,Andhra_Pradesh,init-4,5122.03,3850.4
2025,CCGT-GAS,Andhra_Pradesh,init-4,5122.03,3850.4
2023,CCGT-GAS,Andhra_Pradesh,init-4,5122.03,3850.4
2030,CCGT-GAS,Andhra_Pradesh,init-4,5122.03,3850.4
2042,CCGT-GAS,Andhra_Pradesh,init-4,5122.03,3850.4
2037,CCGT-GAS,Andhra_Pradesh,init-4,5122.03,3850.4
2026,CCGT-GAS,Andhra_Pradesh,init-4,5122.03,3850.4
2038,CCGT-GAS,Andhra_Pradesh,init-4,5122.03,3850.4
2039,CCGT-GAS,Andhra_Pradesh,init-4,5122.03,3850.4
2032,CCGT-GAS,Andhra_Pradesh,init-4,5122.03,3850.4
2040,CCGT-GAS,Andhra_Pradesh,init-4,5122.03,3850.4
2046,CCGT-GAS,Assam,init-7,2701.97,315.5
2028,CCGT-GAS,Assam,init-7,2658.144374,339.5
2038,CCGT-GAS,Assam,init-7,2701.97,315.5
2017,CCGT-GAS,Assam,init-7,2658.144374,339.5
2024,CCGT-GAS,Assam,init-7,2658.144374,339.5
2039,CCGT-GAS,Assam,init-7,2701.97,315.5
2020,CCGT-GAS,Assam,init-7,2658.144374,339.5
2026,CCGT-GAS,Assam,init-7,2658.144374,339.5
2047,CCGT-GAS,Assam,init-7,2701.97,315.5
2042,CCGT-GAS,Assam,init-7,2701.97,315.5
2037,CCGT-GAS,Assam,init-7,2701.97,315.5
2044,CCGT-GAS,Assam,init-7,2701.97,315.5
2023,CCGT-GAS,Assam,init-7,2658.144374,339.5
2021,CCGT-GAS,Assam,init-7,2658.144374,339.5
2031,CCGT-GAS,Assam,init-7,2658.144374,339.5
2036,CCGT-GAS,Assam,init-7,2701.97,315.5
2018,CCGT-GAS,Assam,init-7,2658.144374,339.5
2032,CCGT-GAS,Assam,init-7,2701.97,315.5
2030,CCGT-GAS,Assam,init-7,2658.144374,339.5
2019,CCGT-GAS,Assam,init-7,2658.144374,339.5
2041,CCGT-GAS,Assam,init-7,2701.97,315.5
2027,CCGT-GAS,Assam,init-7,2658.144374,339.5
2043,CCGT-GAS,Assam,init-7,2701.97,315.5
2035,CCGT-GAS,Assam,init-7,2701.97,315.5
2025,CCGT-GAS,Assam,init-7,2658.144374,339.5
2022,CCGT-GAS,Assam,init-7,2658.144374,339.5
2034,CCGT-GAS,Assam,init-7,2701.97,315.5
2033,CCGT-GAS,Assam,init-7,2701.97,315.5
2045,CCGT-GAS,Assam,init-7,2701.97,315.5
2040,CCGT-GAS,Assam,init-7,2701.97,315.5
2029,CCGT-GAS,Assam,init-7,2658.144374,339.5
2024,CCGT-GAS,Delhi,init-1,582.03,282
2047,CCGT-GAS,Delhi,init-1,582.03,102
2041,CCGT-GAS,Delhi,init-1,582.03,282
2044,CCGT-GAS,Delhi,init-1,582.03,102
2031,CCGT-GAS,Delhi,init-1,582.03,282
2042,CCGT-GAS,Delhi,init-1,582.03,102
2034,CCGT-GAS,Delhi,init-1,582.03,282
2017,CCGT-GAS,Delhi,init-1,582.03,282
2036,CCGT-GAS,Delhi,init-1,582.03,282
2045,CCGT-GAS,Delhi,init-1,582.03,102
2022,CCGT-GAS,Delhi,init-1,582.03,282
2026,CCGT-GAS,Delhi,init-1,582.03,282
2025,CCGT-GAS,Delhi,init-1,582.03,282
2039,CCGT-GAS,Delhi,init-1,582.03,282
2033,CCGT-GAS,Delhi,init-1,582.03,282
2038,CCGT-GAS,Delhi,init-1,582.03,282
2030,CCGT-GAS,Delhi,init-1,582.03,282
2040,CCGT-GAS,Delhi,init-1,582.03,282
2023,CCGT-GAS,Delhi,init-1,582.03,282
2037,CCGT-GAS,Delhi,init-1,582.03,282
2046,CCGT-GAS,Delhi,init-1,582.03,102
2027,CCGT-GAS,Delhi,init-1,582.03,282
2020,CCGT-GAS,Delhi,init-1,582.03,282
2021,CCGT-GAS,Delhi,init-1,582.03,282
2032,CCGT-GAS,Delhi,init-1,582.03,282
2019,CCGT-GAS,Delhi,init-1,582.03,282
2018,CCGT-GAS,Delhi,init-1,582.03,282
2043,CCGT-GAS,Delhi,init-1,582.03,102
2029,CCGT-GAS,Delhi,init-1,582.03,282
2028,CCGT-GAS,Delhi,init-1,582.03,282
2035,CCGT-GAS,Delhi,init-1,582.03,282
2042,CCGT-GAS,Delhi,init-2,2619.296675,1955
2024,CCGT-GAS,Delhi,init-2,2619.296675,1955
2039,CCGT-GAS,Delhi,init-2,2619.296675,1955
2041,CCGT-GAS,Delhi,init-2,2619.296675,1955
2032,CCGT-GAS,Delhi,init-2,2619.296675,1955
2036,CCGT-GAS,Delhi,init-2,2619.296675,1955
2047,CCGT-GAS,Delhi,init-2,2619.296675,1955
2030,CCGT-GAS,Delhi,init-2,2619.296675,1955
2043,CCGT-GAS,Delhi,init-2,2619.296675,1955
2035,CCGT-GAS,Delhi,init-2,2619.296675,1955
2038,CCGT-GAS,Delhi,init-2,2619.296675,1955
2026,CCGT-GAS,Delhi,init-2,2619.296675,1955
2017,CCGT-GAS,Delhi,init-2,2619.296675,1955
2023,CCGT-GAS,Delhi,init-2,2619.296675,1955
2021,CCGT-GAS,Delhi,init-2,2619.296675,1955
2022,CCGT-GAS,Delhi,init-2,2619.296675,1955
2044,CCGT-GAS,Delhi,init-2,2619.296675,1955
2027,CCGT-GAS,Delhi,init-2,2619.296675,1955
2028,CCGT-GAS,Delhi,init-2,2619.296675,1955
2031,CCGT-GAS,Delhi,init-2,2619.296675,1955
2018,CCGT-GAS,Delhi,init-2,2619.296675,1955
2045,CCGT-GAS,Delhi,init-2,2619.296675,1955
2019,CCGT-GAS,Delhi,init-2,2619.296675,1955
2046,CCGT-GAS,Delhi,init-2,2619.296675,1955
2029,CCGT-GAS,Delhi,init-2,2619.296675,1955
2040,CCGT-GAS,Delhi,init-2,2619.296675,1955
2020,CCGT-GAS,Delhi,init-2,2619.296675,1955
2033,CCGT-GAS,Delhi,init-2,2619.296675,1955
2025,CCGT-GAS,Delhi,init-2,2619.296675,1955
2037,CCGT-GAS,Delhi,init-2,2619.296675,1955
2034,CCGT-GAS,Delhi,init-2,2619.296675,1955
2026,CCGT-GAS,Goa,init-7,2866.18,48
2038,CCGT-GAS,Goa,init-7,2866.18,48
2042,CCGT-GAS,Goa,init-7,2866.18,48
2036,CCGT-GAS,Goa,init-7,2866.18,48
2043,CCGT-GAS,Goa,init-7,2866.18,48
2033,CCGT-GAS,Goa,init-7,2866.18,48
2021,CCGT-GAS,Goa,init-7,2866.18,48
2034,CCGT-GAS,Goa,init-7,2866.18,48
2032,CCGT-GAS,Goa,init-7,2866.18,48
2018,CCGT-GAS,Goa,init-7,2866.18,48
2027,CCGT-GAS,Goa,init-7,2866.18,48
2019,CCGT-GAS,Goa,init-7,2866.18,48
2017,CCGT-GAS,Goa,init-7,2866.18,48
2045,CCGT-GAS,Goa,init-7,2866.18,48
2047,CCGT-GAS,Goa,init-7,2866.18,48
2022,CCGT-GAS,Goa,init-7,2866.18,48
2030,CCGT-GAS,Goa,init-7,2866.18,48
2025,CCGT-GAS,Goa,init-7,2866.18,48
2040,CCGT-GAS,Goa,init-7,2866.18,48
2044,CCGT-GAS,Goa,init-7,2866.18,48
2039,CCGT-GAS,Goa,init-7,2866.18,48
2029,CCGT-GAS,Goa,init-7,2866.18,48
2028,CCGT-GAS,Goa,init-7,2866.18,48
2035,CCGT-GAS,Goa,init-7,2866.18,48
2046,CCGT-GAS,Goa,init-7,2866.18,48
2037,CCGT-GAS,Goa,init-7,2866.18,48
2041,CCGT-GAS,Goa,init-7,2866.18,48
2020,CCGT-GAS,Goa,init-7,2866.18,48
2031,CCGT-GAS,Goa,init-7,2866.18,48
2024,CCGT-GAS,Goa,init-7,2866.18,48
2023,CCGT-GAS,Goa,init-7,2866.18,48
2042,CCGT-GAS,Haryana,init-7,1381.97,372
2046,CCGT-GAS,Haryana,init-7,1381.97,372
2035,CCGT-GAS,Haryana,init-7,1381.97,372
2037,CCGT-GAS,Haryana,init-7,1381.97,372
2047,CCGT-GAS,Haryana,init-7,1381.97,372
2036,CCGT-GAS,Haryana,init-7,1381.97,372
2030,CCGT-GAS,Haryana,init-7,1381.97,372
2021,CCGT-GAS,Haryana,init-7,1381.97,372
2038,CCGT-GAS,Haryana,init-7,1381.97,372
2019,CCGT-GAS,Haryana,init-7,1381.97,372
2031,CCGT-GAS,Haryana,init-7,1381.97,372
2023,CCGT-GAS,Haryana,init-7,1381.97,372
2028,CCGT-GAS,Haryana,init-7,1381.97,372
2018,CCGT-GAS,Haryana,init-7,1381.97,372
2044,CCGT-GAS,Haryana,init-7,1381.97,372
2017,CCGT-GAS,Haryana,init-7,1381.97,372
2041,CCGT-GAS,Haryana,init-7,1381.97,372
2045,CCGT-GAS,Haryana,init-7,1381.97,372
2040,CCGT-GAS,Haryana,init-7,1381.97,372
2024,CCGT-GAS,Haryana,init-7,1381.97,372
2034,CCGT-GAS,Haryana,init-7,1381.97,372
2029,CCGT-GAS,Haryana,init-7,1381.97,372
2043,CCGT-GAS,Haryana,init-7,1381.97,372
2027,CCGT-GAS,Haryana,init-7,1381.97,372
2033,CCGT-GAS,Haryana,init-7,1381.97,372
2039,CCGT-GAS,Haryana,init-7,1381.97,372
2025,CCGT-GAS,Haryana,init-7,1381.97,372
2032,CCGT-GAS,Haryana,init-7,1381.97,372
2022,CCGT-GAS,Haryana,init-7,1381.97,372
2020,CCGT-GAS,Haryana,init-7,1381.97,372
2026,CCGT-GAS,Haryana,init-7,1381.97,372
2035,CCGT-GAS,Jammu_Kashmir,init-7,13541.98,175
2027,CCGT-GAS,Jammu_Kashmir,init-7,13541.98,175
