t,r,i,value
2017,Andhra_Pradesh,CCGT-GAS,0
2019,Andhra_Pradesh,CCGT-GAS,0
2021,Andhra_Pradesh,CCGT-GAS,107.4
2023,Andhra_Pradesh,CCGT-GAS,193
2025,Andhra_Pradesh,CCGT-GAS,240
2027,Andhra_Pradesh,CCGT-GAS,316
2029,Andhra_Pradesh,CCGT-GAS,0
2031,Andhra_Pradesh,CCGT-GAS,170
2033,Andhra_Pradesh,CCGT-GAS,0
2035,Andhra_Pradesh,CCGT-GAS,561
2037,Andhra_Pradesh,CCGT-GAS,0
2039,Andhra_Pradesh,CCGT-GAS,0
2041,Andhra_Pradesh,CCGT-GAS,167
2043,Andhra_Pradesh,CCGT-GAS,0
2045,Andhra_Pradesh,CCGT-GAS,0
2047,Andhra_Pradesh,CCGT-GAS,0
2017,Andhra_Pradesh,CCGT-LNG,0
2019,Andhra_Pradesh,CCGT-LNG,0
2021,Andhra_Pradesh,CCGT-LNG,0
2023,Andhra_Pradesh,CCGT-LNG,0
2025,Andhra_Pradesh,CCGT-LNG,0
2027,Andhra_Pradesh,CCGT-LNG,0
2029,Andhra_Pradesh,CCGT-LNG,0
2031,Andhra_Pradesh,CCGT-LNG,0
2033,Andhra_Pradesh,CCGT-LNG,0
2035,Andhra_Pradesh,CCGT-LNG,0
2037,Andhra_Pradesh,CCGT-LNG,0
2039,Andhra_Pradesh,CCGT-LNG,0
2041,Andhra_Pradesh,CCGT-LNG,0
2043,Andhra_Pradesh,CCGT-LNG,0
2045,Andhra_Pradesh,CCGT-LNG,0
2047,Andhra_Pradesh,CCGT-LNG,0
2017,Andhra_Pradesh,COGENERATION-BAGASSE,0
2019,Andhra_Pradesh,COGENERATION-BAGASSE,0
2021,Andhra_Pradesh,COGENERATION-BAGASSE,0
2023,Andhra_Pradesh,COGENERATION-BAGASSE,0
2025,Andhra_Pradesh,COGENERATION-BAGASSE,0
2027,Andhra_Pradesh,COGENERATION-BAGASSE,0
2029,Andhra_Pradesh,COGENERATION-BAGASSE,0
2031,Andhra_Pradesh,COGENERATION-BAGASSE,0
2033,Andhra_Pradesh,COGENERATION-BAGASSE,0
2035,Andhra_Pradesh,COGENERATION-BAGASSE,0
2037,Andhra_Pradesh,COGENERATION-BAGASSE,0
2039,Andhra_Pradesh,COGENERATION-BAGASSE,0
2041,Andhra_Pradesh,COGENERATION-BAGASSE,0
2043,Andhra_Pradesh,COGENERATION-BAGASSE,0
