allt,i,cost_cap,cost_fom,cost_vom,heat_rate
2017,ONSWIND,66600000,666000,0,0
2018,ONSWIND,66600000,666000,0,0
2019,ONSWIND,66600000,666000,0,0
2020,ONSWIND,66600000,666000,0,0
2021,ONSWIND,65007261,654700,0,0
2022,ONSWIND,63341642,643354,0,0
2023,ONSWIND,61594586,631961,0,0
2024,ONSWIND,59756144,620521,0,0
2025,ONSWIND,57814677,609031,0,0
2026,ONSWIND,55756481,597490,0,0
2027,ONSWIND,53565310,585897,0,0
2028,ONSWIND,51221756,574250,0,0
2029,ONSWIND,48702441,562547,0,0
2030,ONSWIND,45978947,550786,0,0
2031,ONSWIND,45715843,544872,0,0
2032,ONSWIND,45451128,538922,0,0
2033,ONSWIND,45184753,532934,0,0
2034,ONSWIND,44916667,526909,0,0
2035,ONSWIND,44646814,520844,0,0
2036,ONSWIND,44375140,514740,0,0
2037,ONSWIND,44101585,508595,0,0
2038,ONSWIND,43826087,502408,0,0
2039,ONSWIND,43548583,496179,0,0
2040,ONSWIND,43269006,489906,0,0
2041,ONSWIND,43037271,484150,0,0
2042,ONSWIND,42802990,478337,0,0
2043,ONSWIND,42566077,472466,0,0
2044,ONSWIND,42326438,466535,0,0
2045,ONSWIND,42083978,460542,0,0
2046,ONSWIND,41838596,454487,0,0
2047,ONSWIND,41590187,448367,0,0
2048,ONSWIND,41338639,442180,0,0
2049,ONSWIND,41083837,435925,0,0
2050,ONSWIND,40825658,429601,0,0
2017,OFSWIND,152343877,1791888.245,0,0
2018,OFSWIND,152343877,1791888.245,0,0
2019,OFSWIND,152343877,1791888.245,0,0
2020,OFSWIND,152343877,1791888.245,0,0
2021,OFSWIND,148700573.1,1761485.337,0,0
2022,OFSWIND,144890560.3,1730958.664,0,0
2023,OFSWIND,140894264.7,1700305.537,0,0
2024,OFSWIND,136688928.7,1669525.955,0,0
2025,OFSWIND,132247928.5,1638611.847,0,0
2026,OFSWIND,127539917.1,1607560.522,0,0
2027,OFSWIND,122527732.7,1576369.29,0,0
2028,OFSWIND,117166980.4,1545032.77,0,0
2029,OFSWIND,111404184.4,1513545.581,0,0
2030,OFSWIND,105174340,1481902.341,0,0
2031,OFSWIND,104572503.9,1465990.589,0,0
2032,OFSWIND,103966982.8,1449981.977,0,0
2033,OFSWIND,103357664.4,1433871.126,0,0
2034,OFSWIND,102744432.3,1417660.726,0,0
2035,OFSWIND,102127158.2,1401342.705,0,0
2036,OFSWIND,101505718.7,1384919.753,0,0
2037,OFSWIND,100879976.6,1368386.49,0,0
2038,OFSWIND,100249789.9,1351740.225,0,0
2039,OFSWIND,99615014.57,1334980.958,0,0
2040,OFSWIND,98975497.39,1318103.307,0,0
